Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-9.69,-29.23,-19.16,-6.73,-16.12,30.96,-13.24,24.62,-11.70,36.69,-2.91,53.19
46703,-9.73,-29.32,-19.40,-6.50,-16.18,30.71,-13.23,24.52,-11.69,36.78,-2.91,53.12
46775,-9.79,-29.42,-19.65,-6.32,-16.21,30.40,-13.21,24.41,-11.67,36.89,-2.91,53.07
46847,-9.85,-29.51,-19.90,-6.12,-16.27,30.09,-13.19,24.31,-11.66,36.96,-2.90,52.99
46919,-9.91,-29.58,-20.14,-5.94,-16.33,29.80,-13.22,24.21,-11.65,37.06,-2.95,52.95
46991,-9.97,-29.66,-20.39,-5.78,-16.39,29.47,-13.21,24.09,-11.62,37.11,-2.98,52.93
47063,-9.89,-30.01,-21.07,-6.53,-17.72,30.35,-15.15,25.65,-12.83,39.12,-3.53,56.18
47135,-7.69,-31.06,-22.44,-3.71,-22.07,33.53,-22.21,31.88,-15.98,42.87,-3.05,66.38
47207,0.39,-30.94,-18.84,-4.77,-21.40,33.49,-23.33,34.92,-17.48,45.56,4.10,69.63
47279,11.36,-29.16,-15.36,-4.70,-21.72,32.34,-20.78,35.17,-15.06,45.29,11.13,71.75
47351,21.40,-29.42,-15.94,-5.35,-29.90,30.18,-25.78,33.40,-13.72,43.00,18.66,73.75
47423,34.57,-30.01,-19.83,-7.36,-36.83,26.32,-32.31,29.56,-11.87,40.60,25.29,74.79
47495,47.22,-32.42,-29.75,-8.25,-54.52,21.88,-51.04,26.41,-22.87,37.95,31.80,76.85
47567,59.59,-33.86,-52.51,-8.70,-76.36,20.40,-65.97,29.59,-36.09,34.00,35.75,76.97
47639,67.21,-34.42,-71.16,-8.30,-94.52,21.16,-79.69,31.98,-51.12,32.71,38.60,74.93
47711,70.62,-35.39,-89.65,-6.99,-111.27,23.49,-97.78,36.81,-73.06,33.96,40.91,73.70
47783,75.88,-35.41,-106.95,-4.78,-126.24,28.33,-117.70,39.17,-89.65,39.33,42.80,72.43
47855,78.47,-34.87,-121.57,-2.82,-138.52,29.97,-133.55,40.95,-99.35,43.29,45.16,71.02
47927,78.59,-35.50,-132.17,-1.30,-148.45,32.21,-142.01,41.22,-104.16,45.29,48.03,70.30
47999,78.17,-34.58,-136.05,-0.19,-153.86,33.56,-146.48,42.54,-106.59,45.22,49.91,70.13
48071,76.88,-33.22,-137.59,1.75,-159.00,33.74,-151.23,44.21,-110.68,46.22,51.90,69.19
48143,72.69,-33.05,-140.34,2.94,-162.50,33.78,-154.51,45.99,-114.32,47.64,52.90,67.91
48215,67.60,-32.09,-143.04,4.56,-165.50,34.74,-156.23,48.06,-115.90,48.57,53.92,67.15
48287,62.45,-31.66,-143.47,6.61,-166.12,36.07,-157.10,49.75,-117.13,48.66,55.74,66.68
48359,60.59,-29.93,-143.89,7.63,-166.51,37.17,-157.31,51.34,-117.43,48.84,57.00,65.01
48431,60.25,-30.59,-143.84,9.98,-166.64,38.84,-156.92,53.21,-117.24,49.01,58.55,64.21
48503,44.67,-30.72,-143.66,13.07,-166.39,41.72,-156.05,55.88,-116.59,49.34,60.04,62.44
48575,39.58,-31.48,-144.12,15.47,-166.71,43.56,-156.50,57.71,-116.94,49.17,60.45,61.48
48647,36.23,-30.93,-144.64,18.76,-166.93,46.49,-156.45,60.40,-117.19,49.24,60.94,60.37
48719,33.34,-30.56,-145.18,21.56,-166.95,49.11,-156.19,62.79,-117.05,49.14,61.34,59.43
48791,32.18,-29.89,-145.56,24.59,-166.92,51.78,-155.67,65.15,-116.50,48.67,61.97,58.68
48863,32.09,-28.85,-145.63,27.39,-166.85,54.16,-155.53,67.28,-116.28,48.24,62.56,57.70
48935,31.55,-28.28,-145.59,30.09,-166.57,56.44,-155.11,69.33,-115.82,47.89,63.36,56.81
49007,31.29,-27.79,-145.33,32.63,-165.98,58.57,-154.46,71.18,-115.29,47.41,64.30,56.06
49079,31.37,-27.08,-145.29,34.94,-165.77,60.37,-154.18,72.89,-115.04,47.12,65.14,55.20
49151,31.59,-26.48,-145.17,37.35,-165.67,62.29,-154.16,74.74,-115.04,47.12,65.78,54.15
49223,31.70,-26.01,-145.08,39.74,-165.47,64.18,-153.96,76.55,-114.94,47.18,66.59,53.20
49295,31.94,-25.58,-144.86,42.00,-165.12,66.06,-153.58,78.49,-114.80,47.49,67.50,51.90
49367,32.66,-25.27,-144.54,44.36,-164.71,67.84,-153.21,80.43,-114.62,48.11,68.76,50.00
49439,33.69,-25.63,-143.67,47.05,-163.59,69.86,-152.34,83.30,-113.96,50.46,70.22,46.66
49511,35.48,-26.97,-142.76,50.25,-162.52,71.93,-151.53,85.81,-113.42,52.20,71.99,44.40
49583,36.65,-27.23,-142.11,52.61,-161.89,73.63,-151.39,88.35,-113.44,54.40,73.24,41.18
49655,37.57,-28.81,-141.65,56.11,-161.21,76.50,-150.98,91.85,-112.94,56.68,73.90,38.60
49727,38.48,-29.46,-141.91,58.59,-161.48,78.25,-151.19,93.58,-113.23,57.04,74.44,37.74
49799,38.36,-29.29,-142.02,60.50,-161.66,79.76,-151.24,94.97,-113.24,56.73,74.98,37.42
49871,38.54,-28.50,-141.93,62.29,-161.54,81.23,-151.03,96.20,-113.12,56.17,75.46,37.05
49943,38.72,-27.91,-141.97,64.17,-161.41,82.86,-150.77,97.51,-112.92,55.61,75.98,37.00
50015,38.89,-26.96,-142.02,65.77,-161.61,84.15,-151.00,98.55,-113.18,54.93,76.45,36.95
50087,39.01,-26.11,-142.17,67.07,-161.89,85.27,-151.30,99.44,-113.59,54.14,76.76,37.18
50159,38.11,-25.23,-142.18,68.71,-161.73,86.92,-150.93,100.89,-113.29,53.89,77.21,36.90
50231,38.31,-24.49,-142.31,70.20,-161.85,88.16,-150.91,102.01,-113.27,53.49,77.63,36.60
50303,38.94,-23.75,-142.36,71.74,-162.04,89.44,-151.16,103.12,-113.57,53.03,77.89,36.37
50375,38.79,-23.16,-142.35,73.28,-161.91,90.86,-151.02,104.28,-113.67,52.66,78.20,36.13
50447,38.71,-22.50,-142.45,74.64,-161.97,92.07,-150.99,105.39,-113.66,52.34,78.46,36.04
50519,38.65,-21.87,-142.62,76.15,-162.11,93.44,-150.97,106.46,-113.63,51.78,78.72,36.07
50591,38.80,-21.22,-142.78,77.62,-162.21,94.71,-151.03,107.46,-113.73,51.27,79.00,36.06
50663,39.50,-20.49,-142.86,79.01,-162.38,95.90,-151.20,108.41,-113.93,50.84,79.18,35.81
50735,39.74,-20.07,-142.89,80.56,-162.41,97.16,-151.26,109.41,-114.10,50.48,79.36,35.65
50807,40.27,-19.50,-142.98,81.82,-162.53,98.30,-151.34,110.41,-114.22,50.19,79.57,35.43
50879,40.36,-19.12,-143.23,83.19,-162.73,99.49,-151.43,111.42,-114.23,49.83,79.85,35.16
50951,40.40,-18.75,-143.33,84.51,-162.87,100.56,-151.50,112.32,-114.31,49.42,80.10,34.93
51023,40.40,-18.32,-143.35,85.74,-162.85,101.61,-151.55,113.13,-114.38,49.04,80.36,34.82
51095,40.31,-17.86,-143.56,86.97,-163.02,102.73,-151.59,114.06,-114.42,48.72,80.55,34.73
51167,40.55,-17.39,-143.58,88.29,-163.11,103.84,-151.63,114.92,-114.43,48.35,80.79,34.67
51239,40.46,-16.70,-143.61,89.48,-163.12,104.86,-151.64,115.77,-114.51,48.03,81.04,34.49
51311,40.54,-16.26,-143.72,90.66,-163.22,105.87,-151.66,116.63,-114.47,47.65,81.22,34.46
51383,40.51,-15.85,-143.77,91.91,-163.22,107.02,-151.56,117.58,-114.39,47.31,81.45,34.25
51455,40.30,-15.32,-143.85,93.03,-163.30,107.99,-151.58,118.34,-114.35,46.90,81.51,34.26
51527,40.49,-14.82,-143.94,94.24,-163.53,108.97,-151.85,119.23,-114.59,46.72,81.61,33.92
51599,40.66,-14.51,-144.04,95.40,-163.58,109.90,-151.79,119.94,-114.56,46.32,81.86,33.94
51671,40.75,-13.91,-144.05,96.38,-163.63,110.79,-151.76,120.66,-114.56,45.99,82.03,33.82
51743,40.80,-13.56,-144.16,97.39,-163.71,111.63,-151.78,121.35,-114.62,45.57,82.19,33.75
