Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-13.25,-21.55,-10.81,-1.62,-10.10,29.10,-2.39,16.92,-8.34,27.26,-4.58,44.08
46703,-13.17,-21.53,-10.71,-1.26,-10.01,28.93,-2.52,17.17,-8.37,27.33,-4.63,44.09
46775,-13.11,-21.53,-10.63,-0.93,-9.90,28.76,-2.63,17.40,-8.40,27.37,-4.70,44.13
46847,-13.03,-21.50,-10.54,-0.68,-9.79,28.62,-2.73,17.71,-8.41,27.44,-4.77,44.15
46919,-12.94,-21.50,-10.43,-0.37,-9.68,28.46,-2.84,17.92,-8.44,27.48,-4.81,44.16
46991,-12.88,-21.48,-10.36,-0.08,-9.58,28.27,-2.92,18.07,-8.47,27.59,-5.06,44.68
47063,-13.00,-21.23,-11.11,-0.79,-10.85,33.21,-2.58,20.47,-9.41,29.71,-6.46,51.00
47135,-17.33,-23.03,-7.99,2.40,-9.03,38.60,-0.85,28.56,-7.58,37.78,-5.14,60.56
47207,-13.76,-22.97,0.52,4.23,0.18,42.12,10.21,32.30,3.23,41.58,3.71,67.70
47279,-7.67,-23.87,17.85,3.48,16.96,43.71,23.69,33.72,15.85,41.27,9.73,71.10
47351,1.28,-23.67,31.72,-1.62,32.52,40.93,37.30,30.95,27.90,35.97,15.00,70.22
47423,5.12,-22.88,45.11,-9.11,47.29,37.02,50.76,28.01,39.29,32.22,19.51,69.93
47495,7.85,-20.36,56.97,-14.98,60.58,33.96,61.65,25.42,46.97,28.14,22.99,68.54
47567,8.55,-16.63,66.25,-19.44,70.52,31.41,68.23,23.04,51.43,24.85,25.20,66.80
47639,5.52,-14.85,71.23,-21.19,74.66,31.11,71.23,23.39,54.92,23.93,26.73,65.55
47711,0.93,-12.33,77.83,-20.26,78.57,34.40,75.13,24.18,58.91,21.65,28.57,63.22
47783,-4.06,-10.47,79.53,-21.48,81.25,32.78,77.49,22.67,60.55,19.17,30.15,60.99
47855,-7.92,-9.84,80.53,-22.66,83.06,31.46,78.66,20.73,61.24,16.60,31.20,58.38
47927,-11.57,-9.72,79.60,-24.48,84.03,29.61,79.24,19.02,61.83,14.52,32.07,56.27
47999,-14.74,-9.28,78.91,-25.36,84.58,27.99,79.56,17.28,62.20,11.99,33.10,54.72
48071,-15.77,-8.38,78.57,-25.98,85.53,26.88,80.20,16.24,62.75,10.65,34.34,53.02
48143,-16.44,-7.74,78.43,-26.77,86.13,25.57,80.68,15.12,63.03,9.42,35.43,51.51
48215,-16.38,-7.47,77.88,-27.55,86.42,24.33,80.86,14.00,63.13,8.07,36.46,50.12
48287,-17.06,-7.24,77.03,-28.14,86.56,22.77,80.85,12.72,63.00,6.51,37.58,48.52
48359,-17.69,-7.03,76.42,-28.63,86.55,21.60,80.88,11.61,63.61,5.77,38.74,47.14
48431,-18.68,-6.98,75.62,-29.15,86.45,20.15,80.71,10.77,63.52,4.85,39.59,45.03
48503,-19.30,-7.26,74.99,-29.36,86.28,19.24,80.64,9.93,63.39,4.18,40.56,43.84
48575,-19.69,-7.22,74.37,-29.65,86.24,18.26,80.79,9.00,63.44,3.15,41.63,42.64
48647,-19.88,-6.99,74.27,-29.88,86.68,17.43,81.28,8.27,63.78,2.49,42.76,41.96
48719,-20.31,-6.92,74.45,-29.69,87.02,16.58,81.77,7.42,64.17,1.29,44.02,40.73
48791,-19.92,-6.59,74.66,-29.71,87.22,15.58,81.88,6.43,63.89,0.25,44.92,39.52
48863,-19.94,-6.62,74.73,-29.84,87.44,15.01,82.09,5.78,64.09,-0.66,45.77,38.22
48935,-19.75,-6.78,73.64,-30.78,87.29,13.81,82.24,4.91,64.18,-1.83,46.41,36.94
49007,-19.57,-6.84,72.87,-31.29,87.44,12.61,82.41,4.23,64.48,-2.71,47.37,36.09
49079,-20.24,-6.72,71.80,-30.53,87.12,11.85,82.56,4.01,64.81,-2.76,48.09,35.82
49151,-22.15,-6.36,71.28,-29.05,86.17,12.17,83.00,3.83,65.49,-3.26,49.08,35.22
49223,-22.02,-5.99,71.10,-28.86,86.38,12.10,83.15,3.61,65.43,-3.65,49.72,34.71
49295,-21.58,-5.94,71.52,-28.36,86.35,11.97,83.20,3.58,65.47,-3.87,50.22,34.14
49367,-20.74,-5.95,72.19,-28.01,86.46,11.28,83.48,3.12,65.69,-4.51,51.14,33.21
49439,-19.78,-5.74,72.04,-28.81,87.11,10.24,83.93,2.54,66.22,-5.04,52.17,32.54
49511,-19.12,-5.15,72.42,-29.01,87.96,9.59,84.54,1.99,66.60,-5.92,53.20,31.74
49583,-18.52,-4.74,72.67,-29.03,88.42,9.38,85.06,1.73,67.02,-6.21,54.05,31.12
49655,-18.12,-4.54,72.78,-28.85,88.48,9.39,85.06,2.01,66.87,-6.67,54.97,30.95
