Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
43631,36.41,-116.70,-7.41,-24.52,-8.20,-52.24,-11.60,48.13,-9.05,27.40,-13.00,33.25
43703,35.62,-115.27,-7.40,-23.90,-8.18,-50.87,-11.55,47.70,-9.02,27.33,-12.97,33.44
43775,34.74,-113.57,-7.36,-23.15,-8.13,-49.44,-11.48,47.12,-8.96,27.20,-13.02,33.56
43847,33.99,-112.08,-7.40,-22.62,-8.10,-48.27,-11.39,46.41,-8.90,27.24,-13.00,33.77
43919,33.22,-110.56,-7.39,-21.99,-8.04,-46.94,-11.30,45.93,-8.85,27.19,-12.84,33.87
43991,32.36,-108.97,-7.60,-20.96,-8.06,-45.10,-10.78,45.68,-8.04,27.05,-12.94,35.05
44063,29.64,-108.71,-6.69,-18.97,-10.43,-40.51,-11.04,49.73,-6.96,40.41,-14.49,41.16
44135,31.95,-109.38,-2.37,-14.08,-10.28,-29.89,-12.94,62.49,-16.78,54.60,-20.77,54.61
44207,41.59,-102.37,6.69,-1.87,-9.18,-11.37,-11.72,81.42,-22.04,76.52,-33.38,76.91
44279,47.84,-84.77,13.43,16.53,-11.62,8.61,-17.10,100.38,-31.82,95.84,-46.99,96.81
44351,60.60,-69.01,18.57,31.53,-12.60,26.70,-20.94,114.56,-43.38,109.75,-61.29,107.39
44423,65.19,-60.90,19.31,41.23,-16.77,36.72,-24.68,123.02,-50.86,118.61,-71.40,114.52
44495,66.03,-54.91,19.53,48.88,-17.87,44.80,-26.00,129.84,-55.82,125.14,-78.51,118.49
44567,64.00,-50.46,21.34,55.71,-16.62,52.28,-26.40,136.19,-57.17,131.58,-83.45,123.49
44639,64.70,-46.48,22.43,61.99,-17.97,57.79,-28.31,138.47,-59.12,132.91,-86.45,123.70
44711,63.42,-45.62,21.99,65.83,-18.14,63.01,-28.75,142.75,-59.08,137.57,-88.94,127.41
44783,65.19,-42.80,22.73,70.15,-17.94,67.01,-28.59,144.95,-58.69,140.23,-89.48,129.16
44855,65.16,-40.22,24.78,72.72,-15.32,70.67,-26.14,146.74,-55.27,141.21,-87.94,131.67
44927,66.29,-36.28,28.09,75.39,-12.04,73.76,-23.16,147.32,-52.26,140.59,-86.16,131.87
44999,67.13,-34.74,28.61,77.02,-11.67,75.46,-22.14,152.49,-50.06,144.32,-85.76,131.79
45071,66.36,-34.10,32.45,78.70,-9.38,75.21,-20.68,149.67,-48.78,139.84,-82.08,129.22
45143,65.52,-33.76,33.57,76.22,-6.13,70.73,-15.33,145.36,-42.59,137.15,-76.95,129.53
