Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-5.42,-34.80,-20.78,16.14,-20.29,34.10,-8.98,19.84,-8.37,40.23,-4.06,50.72
46703,-5.51,-34.57,-20.78,15.93,-20.16,33.62,-9.07,20.11,-8.39,40.25,-4.07,50.70
46775,-5.56,-34.36,-20.83,15.68,-20.05,33.21,-9.19,20.29,-8.41,40.21,-4.10,50.69
46847,-5.65,-34.11,-20.87,15.49,-19.94,32.77,-9.29,20.44,-8.45,40.16,-4.14,50.68
46919,-5.69,-33.89,-20.89,15.21,-19.81,32.33,-9.39,20.62,-8.48,40.17,-4.19,50.73
46991,-5.78,-33.45,-20.91,15.41,-19.98,32.74,-9.68,22.21,-8.42,41.06,-5.28,52.85
47063,-8.27,-35.13,-20.28,17.82,-22.36,35.53,-14.16,30.11,-14.73,49.16,-7.75,64.74
47135,-1.75,-31.85,-13.60,25.43,-23.78,45.32,-16.96,40.90,-14.35,59.57,-5.60,74.87
47207,7.43,-32.66,-5.41,28.99,-21.21,52.86,-17.22,48.27,-14.60,67.25,-8.81,86.13
47279,21.97,-36.46,3.63,33.40,-27.20,59.10,-25.37,58.41,-22.44,74.60,-17.24,95.16
47351,33.25,-44.06,10.61,30.35,-27.53,54.05,-31.23,55.45,-25.42,75.58,-22.26,97.02
47423,36.80,-52.35,11.41,26.87,-29.03,48.86,-33.95,52.41,-28.70,75.56,-26.10,98.08
47495,40.41,-57.87,9.69,22.32,-33.17,42.40,-38.18,48.09,-33.15,74.06,-28.83,97.40
47567,41.03,-63.16,5.18,18.69,-38.93,36.52,-43.41,44.90,-37.31,74.76,-30.50,96.53
47639,39.34,-65.98,1.21,15.78,-44.25,31.77,-47.76,42.44,-40.64,75.04,-32.02,95.14
47711,38.17,-68.42,-2.26,13.03,-48.03,27.82,-49.98,39.27,-42.17,73.05,-32.49,93.27
47783,36.59,-70.01,-4.31,11.30,-51.03,25.14,-51.90,36.76,-43.31,71.23,-31.59,91.21
47855,36.21,-70.67,-7.13,10.54,-54.96,23.40,-54.29,35.52,-43.35,70.07,-30.17,89.88
