Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-2.91,-8.35,0.70,-15.23,-5.26,5.27,-14.15,10.68,-9.99,23.18,-9.04,41.42
46703,-3.05,-8.59,0.45,-14.70,-5.40,5.22,-14.23,10.90,-10.03,23.24,-9.17,41.26
46775,-2.98,-8.96,0.35,-14.12,-5.44,5.32,-14.13,11.14,-9.99,23.31,-9.13,41.19
46847,-3.12,-9.23,0.24,-13.28,-5.46,5.36,-14.05,11.42,-9.96,23.45,-9.07,41.10
46919,-3.26,-9.41,0.02,-12.78,-5.51,5.38,-14.00,11.70,-9.91,23.60,-9.05,41.07
46991,-3.42,-9.63,-0.18,-12.31,-5.56,5.37,-13.99,11.95,-9.93,23.76,-9.00,41.03
47063,-3.52,-9.87,-0.36,-11.87,-5.61,5.46,-13.99,12.27,-9.90,23.76,-8.96,40.96
47135,-3.60,-10.04,-0.47,-11.29,-5.63,5.51,-13.91,12.51,-9.83,23.82,-9.15,41.10
47207,-3.51,-9.90,-0.47,-10.22,-5.71,6.49,-13.25,13.95,-10.32,23.27,-9.03,46.52
47279,-6.55,-17.84,-1.62,-7.70,-16.38,18.93,-24.29,36.30,-29.84,38.56,-5.15,59.54
47351,-6.48,-33.09,10.34,-4.69,-39.24,24.88,-47.60,36.88,-50.15,43.32,-3.05,75.42
47423,6.12,-36.64,24.84,0.30,-41.56,19.29,-50.23,30.91,-50.51,37.68,-3.48,82.52
47495,16.13,-44.86,40.25,3.26,-43.36,12.58,-67.27,26.54,-61.24,35.55,-2.30,89.45
47567,25.31,-52.33,51.88,4.07,-43.52,3.37,-68.27,18.60,-66.23,34.51,-4.83,94.53
47639,32.97,-56.24,59.92,7.87,-44.94,-4.54,-69.26,13.15,-67.18,30.89,-6.45,96.45
47711,36.84,-59.13,63.13,10.23,-48.48,-8.95,-73.92,13.88,-71.21,32.58,-6.95,99.54
47783,40.65,-59.47,67.55,13.00,-52.54,-14.68,-77.38,10.05,-72.63,31.37,-6.67,99.73
47855,42.85,-59.34,72.38,15.56,-52.51,-19.31,-78.77,8.23,-72.77,28.95,-6.31,100.27
47927,44.69,-60.33,74.32,15.69,-52.62,-19.71,-77.93,7.70,-71.87,28.41,-5.40,100.28
47999,46.03,-59.83,75.66,17.72,-51.69,-19.83,-78.22,7.02,-72.00,28.77,-5.04,99.57
48071,47.11,-60.21,74.84,17.51,-52.02,-20.81,-77.44,2.82,-68.72,27.64,-4.55,98.68
48143,47.61,-59.69,75.06,17.51,-53.23,-19.19,-76.89,10.87,-70.24,28.46,-3.48,97.54
48215,47.32,-59.40,74.10,17.68,-52.66,-18.27,-75.56,10.51,-67.89,28.32,-2.26,97.14
48287,47.41,-58.81,74.94,18.00,-51.71,-21.38,-73.80,5.23,-63.71,26.77,-1.08,96.54
48359,47.46,-58.46,74.93,18.01,-51.84,-21.03,-73.30,4.40,-61.90,26.26,0.12,95.28
48431,47.05,-58.23,74.33,17.57,-52.24,-20.41,-72.28,4.92,-60.16,25.90,1.55,94.05
48503,46.37,-58.66,75.02,17.16,-51.36,-21.55,-70.74,3.11,-56.95,25.13,3.26,92.75
48575,45.62,-58.33,75.52,16.60,-51.05,-23.00,-67.28,3.31,-55.39,24.47,4.51,91.44
48647,45.46,-58.62,75.15,16.10,-49.92,-23.34,-65.29,3.21,-54.66,24.14,5.71,90.34
48719,44.92,-58.86,75.21,15.38,-49.99,-23.04,-64.88,3.52,-56.19,25.93,7.02,89.71
48791,45.30,-58.75,76.22,15.52,-48.86,-21.53,-64.73,7.58,-57.76,27.25,7.22,88.46
48863,45.44,-59.70,75.59,14.52,-48.61,-21.89,-64.15,7.00,-58.18,28.49,7.47,86.23
48935,45.58,-60.95,74.87,13.68,-48.19,-20.51,-63.64,8.91,-59.13,27.85,7.76,85.54
49007,46.01,-61.62,74.65,12.99,-47.86,-22.45,-63.13,9.33,-60.21,29.70,8.50,84.68
49079,46.23,-61.62,74.46,12.84,-47.48,-23.49,-62.60,7.16,-61.77,29.88,9.75,83.44
49151,46.38,-61.94,74.41,12.53,-46.64,-23.85,-61.66,6.46,-60.70,29.13,11.01,82.72
49223,46.26,-61.70,74.24,12.28,-46.15,-23.17,-60.79,6.56,-59.39,29.42,12.39,81.48
49295,45.86,-61.53,74.25,11.87,-45.77,-21.52,-60.18,8.24,-59.50,30.17,13.48,80.43
49367,45.55,-61.50,73.78,11.40,-45.78,-20.47,-59.40,8.97,-58.22,29.90,14.76,79.69
49439,45.73,-61.22,74.40,11.57,-44.30,-20.01,-57.92,9.60,-56.82,30.09,16.06,80.26
49511,46.43,-60.08,74.74,12.01,-43.77,-19.41,-57.18,10.37,-56.04,30.04,16.82,79.01
49583,46.19,-59.90,74.14,11.80,-43.52,-18.31,-56.76,10.85,-54.89,30.25,17.60,77.84
49655,45.52,-59.85,73.60,11.33,-43.44,-17.07,-56.04,12.28,-53.74,31.59,18.84,76.64
49727,44.57,-59.34,73.01,10.63,-43.34,-16.10,-55.13,13.15,-52.53,31.83,20.05,75.07
49799,43.65,-59.21,71.91,9.97,-42.82,-14.70,-54.30,14.21,-51.31,32.64,21.05,74.11
49871,42.82,-59.06,71.28,9.33,-42.94,-13.96,-53.64,15.05,-50.24,33.22,22.03,73.04
49943,42.20,-58.72,71.18,9.09,-42.39,-13.56,-52.48,15.40,-48.78,33.53,23.21,72.50
50015,41.59,-58.22,71.29,8.91,-42.05,-12.66,-51.61,16.03,-47.58,33.82,24.28,71.75
50087,41.19,-57.94,71.62,8.69,-41.43,-12.17,-50.88,16.55,-46.69,34.05,25.17,70.88
50159,40.86,-58.05,71.83,8.58,-40.76,-12.13,-50.13,16.57,-45.92,34.01,25.96,70.23
50231,40.93,-58.04,71.95,8.42,-40.04,-11.95,-49.37,16.41,-45.03,33.59,26.74,69.47
50303,40.81,-58.33,72.55,8.18,-39.23,-11.96,-48.25,16.42,-43.82,33.34,27.90,69.08
50375,40.75,-58.04,73.63,7.97,-38.31,-11.97,-47.13,16.27,-42.61,33.07,29.00,68.54
50447,40.57,-58.03,74.11,7.84,-37.82,-12.17,-46.27,16.11,-41.63,32.76,29.88,67.88
50519,40.58,-58.05,74.50,7.54,-37.25,-11.62,-45.43,16.59,-40.62,32.90,30.86,67.26
50591,40.16,-57.91,75.07,7.29,-36.92,-11.12,-44.68,16.94,-39.63,32.87,31.63,66.29
50663,39.77,-57.95,75.21,6.94,-36.32,-11.08,-43.64,16.95,-38.68,32.73,32.41,65.83
50735,39.77,-57.91,75.26,6.65,-35.88,-10.57,-42.76,17.24,-37.68,32.66,33.44,65.23
50807,39.45,-57.78,75.23,6.39,-35.68,-10.16,-42.14,17.62,-36.81,32.66,34.21,64.28
50879,39.08,-57.90,75.04,6.03,-35.62,-9.91,-41.68,17.86,-36.02,32.70,34.85,63.14
50951,38.67,-58.19,74.98,5.59,-35.32,-10.11,-40.68,17.57,-34.50,32.69,35.99,62.90
