Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-18.63,-51.96,-3.00,-12.07,-6.74,5.56,-17.79,31.12,-13.75,26.13,-8.79,41.37
46703,-18.40,-51.53,-3.16,-11.60,-6.75,5.74,-17.63,30.98,-13.73,26.24,-8.76,41.40
46775,-18.20,-51.14,-3.32,-11.10,-6.76,5.85,-17.45,30.83,-13.72,26.32,-8.72,41.45
46847,-18.02,-50.71,-3.48,-10.65,-6.79,5.99,-17.31,30.76,-13.69,26.43,-8.70,41.51
46919,-17.86,-50.26,-3.63,-10.20,-6.81,6.12,-17.16,30.64,-13.65,26.45,-8.67,41.55
46991,-17.68,-49.85,-3.82,-9.77,-6.85,6.24,-17.02,30.54,-13.61,26.45,-8.83,41.54
47063,-17.48,-49.30,-4.11,-9.02,-7.39,8.60,-15.83,35.49,-15.22,44.79,-10.89,48.27
47135,-18.03,-55.50,-0.12,-12.73,-4.94,9.17,-15.79,38.88,-15.07,46.33,-7.28,50.23
47207,-15.84,-59.54,-1.74,-12.73,-10.39,10.95,-17.14,42.16,-12.52,48.59,-2.71,52.75
47279,-14.01,-65.03,-9.13,-15.97,-21.94,9.71,-25.77,40.76,-20.19,45.67,1.59,56.32
47351,-19.09,-65.50,-14.73,-18.24,-37.01,5.89,-34.88,35.56,-20.49,40.86,6.69,57.22
47423,-20.86,-65.02,-18.54,-22.04,-47.67,-2.24,-44.97,28.48,-22.12,36.78,13.24,57.53
47495,-21.17,-59.36,-27.12,-21.75,-62.93,-6.13,-55.35,29.31,-31.58,36.74,18.43,57.71
47567,-27.33,-50.53,-38.21,-21.00,-75.47,-8.17,-64.50,29.80,-36.81,37.38,22.45,56.65
47639,-32.63,-44.55,-50.08,-18.97,-86.79,-7.88,-74.09,29.48,-41.59,38.77,25.52,55.37
47711,-39.13,-38.86,-60.29,-16.46,-96.18,-5.73,-81.34,29.86,-47.17,41.28,28.19,54.22
47783,-41.45,-35.54,-68.53,-14.44,-104.20,-4.28,-88.12,30.29,-55.05,43.84,29.80,53.66
47855,-42.51,-33.38,-73.79,-13.00,-109.23,-3.41,-93.26,30.15,-60.97,44.65,30.68,53.22
47927,-43.20,-31.33,-77.06,-12.16,-112.92,-2.53,-96.11,29.98,-62.69,44.22,31.61,52.90
47999,-42.89,-29.42,-78.64,-12.14,-114.32,-2.12,-97.09,29.97,-63.92,44.43,32.40,52.37
48071,-42.49,-29.17,-79.68,-11.87,-115.37,-1.76,-97.49,29.37,-63.82,43.50,33.32,51.89
48143,-41.91,-27.91,-79.90,-11.64,-115.91,-1.17,-97.76,29.61,-64.87,43.89,34.37,50.93
48215,-42.28,-27.32,-79.73,-11.28,-115.31,-1.17,-96.66,28.95,-66.47,43.68,35.32,50.77
48287,-45.84,-27.33,-77.15,-12.93,-115.99,-1.83,-96.52,28.68,-70.32,43.53,36.15,49.56
48359,-47.03,-26.97,-77.60,-11.77,-116.37,-0.59,-96.40,29.21,-69.92,43.21,37.22,48.23
