Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,0.94,-28.48,-5.81,13.81,-17.27,21.85,-13.19,40.34,-11.57,33.45,-6.50,44.49
46703,0.81,-28.53,-5.82,13.84,-17.03,21.75,-13.09,40.25,-11.55,33.50,-6.49,44.47
46775,0.71,-28.56,-5.85,13.89,-16.83,21.66,-13.02,40.14,-11.55,33.53,-6.47,44.46
46847,0.58,-28.61,-5.88,13.93,-16.64,21.54,-12.97,40.03,-11.56,33.53,-6.47,44.44
46919,0.47,-28.66,-5.92,13.92,-16.46,21.43,-12.93,39.91,-11.59,33.52,-6.53,44.59
46991,0.38,-28.40,-6.01,13.98,-16.56,20.56,-13.05,40.37,-12.21,33.78,-7.08,46.99
47063,2.03,-29.54,-7.60,16.42,-20.71,23.37,-15.99,46.12,-14.99,38.41,-9.32,56.93
47135,4.46,-25.64,-8.16,24.90,-26.68,32.09,-22.27,56.02,-24.30,54.40,-9.35,65.29
47207,7.33,-21.47,-11.05,34.12,-40.29,41.64,-35.70,66.65,-36.55,66.07,-11.66,77.29
47279,11.33,-10.47,-14.69,45.18,-50.67,50.67,-48.80,75.78,-48.88,75.42,-15.84,89.58
47351,17.91,1.24,-16.38,53.24,-61.53,56.43,-63.46,81.68,-64.50,83.03,-19.73,99.03
47423,22.08,11.50,-18.94,61.98,-74.89,60.26,-82.82,87.19,-83.52,89.04,-24.38,107.56
47495,25.29,19.21,-21.33,67.45,-92.51,60.71,-102.90,87.78,-96.66,92.68,-28.69,113.37
47567,28.02,25.54,-25.39,71.59,-114.49,59.81,-124.33,89.97,-110.93,96.40,-34.55,117.94
47639,29.00,31.97,-30.65,75.92,-142.94,58.71,-150.38,92.30,-130.22,100.13,-39.56,120.20
47711,30.51,36.34,-35.37,78.73,-173.53,57.29,-173.66,97.52,-150.25,104.93,-45.11,123.77
47783,30.69,40.30,-38.21,79.71,-180.00,59.76,-180.00,106.48,-166.90,112.47,-45.41,125.82
47855,29.88,44.55,-43.75,82.08,-180.00,58.43,-180.00,108.37,-177.82,118.06,-44.27,125.19
47927,27.26,46.13,-48.08,84.19,-180.00,58.57,-180.00,109.85,-180.00,120.72,-42.79,126.31
47999,24.24,47.81,-51.09,85.97,-180.00,58.48,-180.00,111.06,-180.00,123.86,-40.28,127.05
48071,20.37,48.26,-51.64,87.97,-180.00,58.45,-180.00,112.16,-180.00,125.35,-38.23,128.14
48143,16.73,49.50,-52.32,89.59,-180.00,58.79,-180.00,112.81,-180.00,127.35,-34.91,128.88
48215,13.16,49.82,-52.00,90.70,-180.00,59.37,-180.00,113.10,-180.00,128.89,-37.87,128.72
48287,10.07,49.65,-50.91,92.58,-180.00,59.49,-180.00,113.30,-180.00,129.59,-33.76,128.68
48359,7.53,49.13,-50.45,92.97,-180.00,60.41,-180.00,113.50,-180.00,129.83,-37.16,128.65
48431,6.53,48.51,-49.04,92.97,-180.00,61.39,-180.00,113.70,-180.00,129.53,-33.46,128.81
48503,4.59,47.76,-48.14,92.78,-180.00,62.07,-180.00,113.88,-180.00,129.62,-29.47,128.72
48575,4.32,47.51,-47.24,93.29,-180.00,62.85,-180.00,114.21,-177.47,129.83,-33.05,128.53
48647,3.47,46.56,-46.89,93.09,-180.00,64.02,-180.00,114.55,-174.07,129.55,-36.65,128.72
48719,3.04,45.95,-45.96,92.70,-180.00,64.90,-180.00,114.61,-170.00,129.28,-32.40,128.76
48791,3.29,45.60,-44.89,92.22,-180.00,65.53,-180.00,114.52,-166.52,128.94,-35.54,129.01
48863,3.23,45.04,-43.68,91.82,-180.00,66.28,-180.00,114.54,-162.95,128.85,-31.35,129.14
