Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
43631,-15.22,-34.89,-14.96,10.70,-3.49,16.39,-4.19,25.60,-6.05,30.24,-11.50,44.69
43703,-15.10,-34.70,-14.86,10.63,-3.52,16.37,-4.23,25.42,-5.95,29.78,-11.52,44.67
43775,-14.99,-34.62,-14.78,10.65,-3.57,16.31,-4.31,25.26,-5.99,29.82,-11.49,44.67
43847,-14.88,-34.38,-14.68,10.59,-3.57,16.26,-4.34,25.00,-6.01,29.97,-11.48,44.67
43919,-14.76,-34.16,-14.59,10.59,-3.61,16.25,-4.39,24.77,-6.03,30.04,-11.46,44.66
43991,-14.63,-33.99,-14.48,10.51,-3.63,16.22,-4.45,24.64,-6.07,30.09,-11.44,44.65
44063,-14.53,-33.79,-14.43,10.46,-3.66,16.11,-4.52,24.41,-6.10,30.13,-11.47,44.64
44135,-14.40,-33.63,-14.36,10.37,-3.72,15.98,-4.70,24.41,-6.00,30.52,-11.46,44.57
44207,-14.26,-33.90,-14.46,10.55,-4.54,15.13,-4.98,24.98,-6.94,32.57,-13.08,47.53
44279,-12.67,-36.51,-11.74,14.38,-10.27,24.26,-16.20,42.91,-21.90,47.47,-16.96,55.13
44351,-8.37,-41.97,-16.99,17.06,-32.06,27.27,-36.54,45.62,-42.20,54.07,-23.75,67.50
44423,4.53,-38.76,-21.73,26.69,-56.50,35.98,-59.46,51.96,-65.63,59.93,-36.15,79.53
44495,15.16,-33.93,-27.13,36.47,-74.28,39.30,-80.80,56.69,-93.20,65.23,-48.66,89.91
44567,21.88,-27.75,-35.68,43.80,-89.59,39.70,-96.35,59.04,-108.01,71.74,-57.82,95.44
44639,23.17,-25.82,-47.15,46.88,-110.41,37.18,-113.36,58.73,-122.38,75.37,-65.01,99.35
44711,24.03,-24.60,-59.11,49.53,-130.41,34.34,-129.76,58.38,-137.57,77.80,-69.86,100.93
44783,23.20,-25.66,-67.47,49.15,-142.46,32.36,-144.36,57.72,-153.50,79.74,-73.42,101.86
44855,20.84,-27.37,-77.75,48.44,-149.31,33.07,-150.73,58.28,-158.67,80.47,-74.50,100.14
44927,19.51,-29.13,-86.69,47.34,-160.31,31.18,-159.18,58.45,-163.20,80.78,-75.38,98.02
44999,18.27,-32.63,-91.83,45.68,-169.54,31.04,-166.81,57.83,-166.59,77.86,-75.52,99.88
45071,19.17,-34.85,-97.79,44.71,-169.86,32.26,-167.74,60.38,-165.95,78.65,-73.68,97.48
45143,18.13,-36.94,-101.37,45.75,-174.10,32.77,-172.45,61.71,-168.77,78.72,-70.75,97.81
45215,14.95,-36.03,-111.93,46.08,-179.45,34.33,-175.24,64.35,-167.50,79.56,-67.15,96.39
45287,12.72,-37.66,-115.47,47.35,-180.00,39.30,-177.30,67.97,-168.25,79.48,-64.90,97.56
45359,12.57,-34.37,-118.37,46.68,-179.58,39.10,-174.48,68.69,-165.03,80.39,-61.57,96.95
45431,10.56,-33.57,-118.56,47.91,-175.57,41.92,-170.52,69.27,-160.76,79.99,-59.23,98.89
45503,9.34,-31.73,-116.27,48.71,-171.30,44.40,-165.75,71.61,-156.11,81.58,-57.35,99.61
45575,9.20,-31.36,-114.24,47.95,-168.49,43.50,-162.91,72.47,-152.79,82.92,-55.69,97.08
45647,6.77,-34.19,-113.35,50.62,-165.76,46.83,-159.53,75.00,-148.56,84.82,-54.16,96.89
45719,3.04,-34.56,-111.58,54.11,-161.60,51.86,-155.09,80.17,-144.41,89.39,-51.70,95.20
45791,0.08,-35.59,-110.12,56.56,-158.58,55.61,-151.47,83.67,-140.57,92.91,-49.02,93.54
45863,-2.57,-35.16,-109.41,58.05,-156.60,57.78,-148.97,85.91,-137.05,94.95,-47.40,87.47
45935,-7.01,-40.21,-110.23,61.94,-155.52,62.39,-147.43,88.44,-135.08,95.99,-46.90,85.80
46007,-9.13,-42.93,-110.22,64.92,-154.00,67.92,-145.71,92.38,-133.53,98.70,-47.04,85.48
46079,-9.57,-42.80,-109.92,65.26,-152.75,70.93,-143.68,95.90,-130.68,101.63,-46.07,82.10
46151,-11.58,-43.94,-110.37,66.05,-151.94,71.70,-141.91,95.71,-128.09,101.59,-44.63,81.57
46223,-13.06,-44.67,-109.89,67.41,-150.77,74.71,-140.31,98.01,-125.86,103.07,-43.52,80.18
46295,-14.29,-45.57,-108.75,68.31,-148.24,76.46,-137.19,99.05,-122.90,103.22,-42.32,80.11
46367,-14.42,-45.35,-107.04,67.93,-138.99,77.10,-126.56,98.86,-115.23,101.87,-40.24,80.14
46439,-14.86,-44.82,-103.21,67.83,-122.28,78.57,-111.91,97.91,-103.14,100.99,-38.73,80.22
46511,-12.09,-44.10,-86.85,66.68,-98.75,79.06,-90.97,97.36,-87.39,100.06,-36.52,82.84
46583,-8.27,-39.29,-64.47,65.04,-80.75,78.57,-74.17,97.15,-75.10,98.47,-35.66,89.09
46655,2.23,-33.84,-48.86,64.92,-67.77,79.34,-63.08,99.07,-68.22,98.28,-34.96,97.67
46727,11.39,-25.50,-35.03,65.75,-58.92,79.66,-58.69,101.13,-66.88,98.37,-36.55,105.35
46799,19.76,-22.34,-30.43,66.57,-59.87,78.51,-67.29,100.18,-75.23,98.04,-38.93,110.73
46871,22.73,-26.48,-29.26,70.20,-65.68,76.63,-74.78,98.10,-79.59,96.00,-40.28,111.86
46943,24.19,-29.37,-30.94,67.94,-72.13,74.05,-83.13,95.72,-86.06,95.23,-41.87,112.31
47015,25.12,-31.26,-38.73,66.14,-82.17,71.08,-92.05,93.18,-90.46,93.41,-42.46,112.27
47087,24.78,-35.25,-40.58,63.05,-87.39,70.88,-99.24,93.49,-93.99,93.76,-42.38,108.92
47159,23.55,-37.04,-48.72,62.31,-95.45,70.25,-105.54,93.01,-96.17,92.41,-41.59,109.85
47231,22.08,-35.04,-60.71,62.71,-102.85,70.18,-111.15,93.29,-98.94,92.26,-40.19,110.29
47303,21.40,-33.68,-70.17,63.74,-108.15,70.85,-113.72,94.40,-99.08,92.87,-38.24,109.06
47375,19.34,-34.84,-75.66,63.60,-111.09,70.99,-115.58,94.55,-98.94,93.04,-36.48,108.45
47447,18.01,-35.93,-77.81,64.56,-113.52,72.52,-116.19,95.75,-97.22,92.76,-34.55,107.82
47519,15.13,-35.00,-82.04,64.67,-117.62,73.99,-118.57,96.88,-97.37,93.07,-32.34,107.37
47591,12.31,-35.15,-83.49,64.38,-115.81,74.66,-115.70,97.59,-94.12,92.81,-29.15,106.21
47663,10.85,-36.97,-80.03,65.05,-110.99,76.47,-110.76,98.96,-89.73,92.20,-27.10,104.96
47735,10.18,-38.57,-77.80,65.07,-107.09,76.83,-106.26,99.22,-85.11,91.62,-24.62,100.89
47807,6.57,-43.76,-76.11,67.63,-104.22,80.73,-103.58,102.01,-83.24,93.75,-24.52,99.37
47879,5.34,-45.19,-76.92,68.40,-104.32,82.40,-103.61,103.90,-82.90,96.05,-24.82,96.92
47951,2.90,-47.59,-78.07,70.82,-104.11,86.03,-101.68,106.35,-80.77,96.08,-25.98,95.38
48023,3.46,-47.61,-77.82,69.21,-103.57,84.27,-100.55,105.44,-78.83,95.35,-24.67,90.89
48095,-0.05,-50.48,-78.65,71.69,-103.18,86.44,-99.87,107.09,-77.68,96.44,-23.50,88.58
48167,-3.25,-52.58,-78.97,74.35,-102.39,89.93,-99.01,110.29,-76.86,99.02,-23.61,86.64
48239,-5.32,-54.27,-79.92,75.81,-101.93,93.21,-97.61,113.38,-75.44,100.67,-23.78,83.31
48311,-6.51,-56.13,-81.32,76.17,-102.22,94.64,-96.78,114.47,-73.60,100.70,-23.06,81.01
48383,-8.52,-57.86,-82.16,77.13,-101.85,96.74,-96.17,116.08,-71.90,100.75,-22.49,78.54
48455,-10.63,-59.91,-82.92,78.45,-101.40,99.64,-95.59,118.57,-70.74,101.93,-21.95,76.24
48527,-12.98,-61.18,-83.32,79.78,-100.19,102.85,-93.73,121.26,-67.78,103.36,-20.48,73.75
48599,-15.80,-60.14,-76.06,80.68,-83.48,104.28,-73.24,120.98,-46.33,109.15,-18.41,75.31
48671,-9.46,-52.31,-40.17,79.37,-47.51,108.39,-40.01,129.09,-26.22,117.65,-17.56,89.39
48743,7.45,-38.46,-7.48,85.74,-26.44,115.34,-26.59,136.89,-22.14,125.57,-18.94,103.70
48815,17.67,-24.43,-3.59,92.46,-28.74,117.47,-36.52,137.56,-35.07,128.61,-24.03,112.46
48887,25.83,-20.62,-6.16,93.42,-42.77,113.45,-48.37,134.17,-44.18,127.69,-25.31,113.59
48959,23.97,-22.83,-12.41,86.47,-54.64,106.14,-60.29,128.02,-52.55,123.55,-26.79,114.30
49031,24.61,-27.30,-22.66,84.95,-66.97,100.68,-72.90,122.55,-58.91,119.69,-26.43,112.23
49103,20.53,-30.09,-35.30,85.98,-78.93,99.83,-84.07,120.57,-64.97,117.20,-26.19,113.00
49175,18.36,-30.02,-45.78,85.09,-85.67,99.44,-89.50,121.63,-67.62,117.25,-24.32,112.55
49247,15.19,-30.56,-56.09,86.34,-92.86,100.13,-95.49,122.91,-70.33,117.40,-23.12,112.68
49319,13.11,-30.98,-63.22,87.39,-96.53,100.78,-97.72,123.87,-70.67,117.31,-20.56,112.70
49391,8.97,-30.46,-72.12,88.55,-100.43,101.30,-100.50,124.78,-70.15,117.71,-18.93,112.93
49463,7.54,-30.01,-71.26,89.48,-97.94,103.33,-96.50,127.18,-64.39,119.27,-15.22,111.95
49535,5.16,-30.03,-69.92,90.02,-96.10,103.18,-95.32,128.57,-61.73,122.31,-12.28,110.94
49607,-1.58,-31.09,-66.23,95.34,-89.39,109.40,-88.07,132.97,-55.79,121.86,-13.79,107.05
49679,-4.38,-32.95,-67.49,97.56,-89.47,111.35,-86.30,135.82,-52.27,121.43,-13.31,99.96
49751,-9.10,-38.35,-68.90,99.49,-89.90,111.94,-87.21,135.10,-51.49,120.31,-14.85,98.85
49823,-12.10,-43.08,-69.48,102.64,-88.42,117.21,-85.50,138.43,-50.69,121.75,-14.98,97.71
49895,-13.46,-43.43,-70.14,103.88,-86.92,121.21,-82.16,142.16,-47.68,121.42,-15.27,93.52
49967,-15.14,-46.21,-71.33,103.95,-86.60,123.41,-80.78,144.42,-46.25,121.73,-14.77,90.79
50039,-16.62,-47.49,-71.53,103.29,-86.01,123.54,-79.92,144.78,-45.12,121.41,-13.80,88.06
50111,-18.23,-48.30,-71.52,103.58,-85.03,124.65,-79.13,144.93,-44.54,121.01,-13.48,86.73
50183,-19.10,-49.06,-71.41,103.42,-84.31,124.86,-78.53,144.80,-44.09,120.65,-13.50,86.69
50255,-19.70,-49.17,-71.27,103.19,-83.52,125.77,-77.66,145.08,-43.31,120.34,-13.04,85.96
50327,-20.04,-49.04,-70.75,102.24,-82.74,125.41,-77.23,144.68,-42.89,119.76,-12.72,85.18
50399,-20.88,-49.87,-70.59,101.93,-81.90,125.54,-76.69,144.30,-42.48,119.05,-12.59,85.02
50471,-21.01,-49.93,-70.48,101.20,-81.39,125.89,-76.30,144.36,-42.13,118.48,-12.56,84.77
50543,-21.22,-49.81,-70.23,100.69,-80.93,126.28,-76.10,144.38,-41.88,118.10,-12.38,84.13
50615,-21.62,-49.81,-70.03,100.02,-80.44,126.13,-75.76,143.86,-41.44,117.60,-11.50,83.22
