Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-18.85,-10.41,-3.60,5.01,-5.77,6.57,-7.96,32.31,-8.74,27.26,-7.73,44.78
46703,-18.57,-10.72,-3.68,5.04,-5.74,6.59,-7.97,32.15,-8.78,27.32,-7.75,44.75
46775,-18.31,-11.06,-3.76,5.04,-5.69,6.58,-7.98,31.94,-8.82,27.33,-7.76,44.73
46847,-18.03,-11.38,-3.82,5.06,-5.67,6.58,-7.99,31.81,-8.86,27.35,-7.75,44.68
46919,-17.77,-11.70,-3.88,5.07,-5.63,6.57,-7.99,31.65,-8.90,27.36,-7.77,44.62
46991,-17.50,-12.14,-3.94,5.09,-5.59,6.55,-7.99,31.45,-8.94,27.33,-7.77,44.58
47063,-17.28,-12.35,-4.07,5.05,-5.59,6.48,-7.93,31.47,-8.83,27.06,-8.01,44.79
47135,-17.05,-13.10,-1.75,6.18,-8.44,11.51,-10.18,35.97,-10.78,29.65,-9.85,50.12
47207,-16.91,-16.72,-1.55,8.39,-13.90,19.11,-18.50,49.67,-19.76,41.24,-9.26,61.48
47279,-13.03,-17.59,5.99,16.91,-15.05,31.74,-25.15,61.64,-25.94,49.27,-7.49,70.39
47351,-8.20,-21.32,14.30,21.29,-17.12,38.41,-35.27,66.36,-36.78,56.00,-8.32,83.24
47423,0.02,-23.00,24.76,28.35,-16.40,43.74,-46.93,66.80,-52.24,52.09,-8.37,90.06
47495,6.97,-26.80,33.01,29.26,-14.46,44.02,-61.22,64.78,-70.03,47.82,-12.00,99.04
47567,14.88,-28.94,41.36,33.48,-14.97,42.50,-74.11,58.00,-82.96,43.17,-15.20,104.37
47639,19.76,-31.19,48.02,35.20,-17.06,38.54,-91.81,49.93,-97.28,36.88,-20.02,109.56
47711,26.51,-32.61,53.49,35.58,-16.50,35.26,-100.58,44.10,-105.27,35.99,-23.01,110.08
47783,29.34,-34.33,54.17,34.90,-27.72,29.34,-105.27,40.92,-107.97,34.36,-23.00,108.80
47855,39.34,-38.56,59.02,33.08,-32.32,28.62,-115.37,36.37,-116.20,32.87,-23.28,108.25
47927,35.23,-41.73,62.72,31.67,-30.87,27.31,-116.34,34.13,-115.98,31.86,-22.74,107.79
47999,28.93,-38.63,64.90,31.90,-26.84,26.48,-117.60,31.10,-115.23,28.62,-22.63,107.30
48071,26.14,-34.47,67.16,31.97,-23.16,26.80,-120.13,26.81,-115.33,28.52,-21.50,106.08
48143,22.15,-31.49,67.87,31.91,-22.01,25.97,-119.57,25.64,-114.31,27.84,-20.04,105.30
48215,20.95,-28.82,68.47,31.81,-20.71,25.94,-120.12,24.33,-112.63,28.53,-18.62,104.15
48287,18.28,-27.56,69.25,31.43,-19.24,25.34,-121.09,22.03,-110.99,29.07,-17.04,102.57
48359,17.90,-25.90,69.70,30.82,-18.55,24.93,-122.05,21.41,-110.21,31.00,-16.14,101.18
48431,15.18,-25.14,70.13,30.32,-17.56,24.46,-120.96,21.34,-108.89,31.53,-14.73,100.20
48503,15.58,-24.71,70.24,29.67,-16.75,23.75,-120.22,21.44,-107.40,31.44,-13.60,99.11
48575,16.36,-24.95,70.48,29.07,-15.65,23.29,-119.81,21.02,-106.22,31.86,-12.09,97.78
48647,15.84,-24.61,70.74,28.24,-14.45,23.16,-118.36,20.85,-104.78,31.65,-10.78,96.75
48719,16.24,-24.60,71.77,27.06,-13.38,22.56,-117.52,20.76,-103.08,31.35,-9.31,95.67
48791,16.46,-24.57,72.75,26.37,-10.75,22.22,-116.01,21.01,-101.67,31.25,-7.83,94.48
48863,16.71,-24.65,73.05,25.72,-10.05,21.14,-115.02,21.03,-100.02,30.82,-6.44,93.46
48935,16.64,-24.47,74.29,25.27,-8.03,21.54,-113.92,20.75,-98.81,30.39,-5.06,92.54
49007,16.85,-24.35,75.03,24.31,-6.22,21.03,-112.55,21.10,-97.49,30.28,-3.58,91.56
49079,16.86,-24.22,75.81,23.84,-5.02,20.66,-111.43,20.78,-95.77,29.84,-2.07,90.48
49151,17.24,-24.27,76.68,23.11,-3.19,20.38,-110.68,20.71,-94.66,29.81,-0.58,89.37
49223,17.25,-24.14,77.21,22.32,-0.51,20.35,-109.49,20.78,-93.84,29.53,0.53,88.22
49295,17.47,-24.39,76.81,21.55,-0.16,19.91,-108.30,20.83,-92.41,29.31,1.87,87.15
49367,17.99,-24.57,77.23,20.97,0.53,19.66,-107.35,20.46,-91.28,29.16,3.39,86.30
49439,17.90,-23.72,80.12,20.51,1.58,20.17,-106.40,20.29,-90.06,29.56,4.80,84.91
49511,17.73,-23.79,80.47,19.82,2.60,20.32,-105.24,20.05,-88.77,29.45,6.12,83.95
49583,18.06,-24.22,80.71,19.29,3.04,19.61,-104.09,20.19,-87.56,29.35,7.34,82.89
49655,18.12,-23.93,80.51,18.99,3.56,19.45,-103.10,20.15,-86.59,29.29,8.48,81.62
49727,18.17,-24.46,79.91,18.22,3.95,19.30,-102.17,20.09,-85.40,29.30,9.77,80.86
49799,18.25,-23.80,79.76,18.40,4.31,19.60,-101.29,19.81,-84.38,29.25,10.86,79.82
49871,18.41,-23.96,79.71,17.77,4.72,19.22,-100.38,19.70,-83.44,29.24,11.92,78.78
49943,18.44,-24.09,80.17,17.03,5.24,18.94,-99.31,19.56,-82.68,29.10,12.80,78.14
50015,18.49,-24.02,80.52,16.61,5.74,18.73,-98.50,19.50,-81.47,29.30,13.92,77.03
50087,18.67,-24.08,80.58,16.08,6.24,18.44,-97.60,19.48,-80.60,29.31,14.89,76.03
50159,18.57,-24.22,80.28,15.40,6.80,18.28,-96.62,19.64,-79.43,29.43,16.01,75.16
50231,18.63,-24.24,80.07,14.89,7.15,18.07,-95.80,19.71,-78.39,29.59,17.10,74.23
50303,18.58,-24.23,79.91,14.36,7.42,17.73,-94.87,19.62,-77.30,29.48,18.13,73.54
50375,18.71,-24.13,79.96,13.92,7.90,17.50,-94.04,19.62,-76.40,29.38,19.03,72.80
50447,18.89,-23.91,80.08,13.48,8.47,17.06,-93.07,19.49,-75.24,29.20,20.10,72.09
50519,18.91,-23.62,80.04,12.98,8.74,16.86,-92.17,19.54,-74.33,29.26,21.12,71.30
50591,18.95,-23.61,80.19,12.53,9.38,16.65,-91.31,19.47,-73.54,29.21,22.04,70.49
50663,18.97,-23.45,80.15,12.15,9.86,16.70,-90.49,19.11,-72.77,28.88,22.92,70.86
50735,19.79,-21.95,80.88,13.55,10.43,17.59,-90.03,18.33,-72.23,28.58,23.93,70.12
50807,20.02,-21.95,80.84,12.75,11.22,17.23,-89.01,18.22,-71.37,28.50,24.85,69.43
50879,20.11,-21.79,80.97,12.38,11.92,16.98,-88.14,18.29,-70.37,28.57,25.76,68.54
50951,20.17,-21.82,80.88,11.94,12.24,16.61,-87.39,18.37,-69.41,28.65,26.67,67.67
51023,20.23,-22.03,80.91,11.43,12.73,16.37,-86.53,18.44,-68.57,28.57,27.54,66.95
51095,20.33,-22.14,80.86,11.03,13.21,16.21,-85.79,18.32,-67.79,28.58,28.37,66.28
51167,20.47,-22.25,81.04,10.62,13.95,16.07,-84.89,18.23,-66.87,28.45,29.17,65.87
51239,20.69,-22.11,81.47,10.32,14.50,15.82,-84.27,18.21,-66.16,28.48,29.95,65.09
51311,20.78,-22.28,81.44,9.85,14.90,15.52,-83.53,18.31,-65.21,28.67,30.87,64.21
51383,20.55,-22.48,81.29,9.20,15.32,15.35,-82.76,18.58,-64.40,28.80,31.72,63.55
51455,20.43,-22.63,81.31,8.72,15.78,15.02,-82.16,18.59,-63.86,28.79,32.48,62.85
51527,20.33,-22.63,81.24,8.17,16.23,14.75,-81.44,18.52,-62.96,28.70,33.28,62.23
51599,20.16,-22.59,81.22,7.82,16.63,14.64,-80.86,18.50,-62.20,28.75,34.05,61.53
51671,20.18,-22.63,81.19,7.49,16.99,14.62,-80.27,18.64,-61.58,28.83,34.78,60.87
51743,20.14,-22.66,81.11,7.13,17.44,14.59,-79.74,18.70,-60.90,28.90,35.47,60.27
51815,20.12,-22.73,81.03,6.80,17.84,14.45,-79.06,18.75,-60.10,28.89,36.23,59.78
51887,20.18,-22.60,81.12,6.47,18.20,14.30,-78.45,18.85,-59.46,28.91,36.87,59.22
51959,20.24,-22.68,81.11,6.22,18.59,14.18,-77.81,18.82,-58.80,28.93,37.60,58.67
52031,20.34,-22.80,81.04,5.82,18.96,14.08,-77.13,18.97,-58.14,28.97,38.28,58.12
52103,20.36,-22.83,81.08,5.54,19.37,13.97,-76.46,18.93,-57.40,28.97,39.00,57.46
52175,20.36,-22.85,81.18,5.23,20.23,13.87,-75.66,18.59,-56.44,28.27,39.57,57.06
52247,20.54,-22.84,81.21,4.94,20.94,13.78,-75.15,18.71,-55.89,28.48,40.13,56.47
52319,20.61,-23.11,81.05,4.47,21.69,13.51,-74.50,18.59,-55.20,28.28,40.71,56.07
52391,20.61,-23.13,80.94,4.16,22.07,13.37,-73.97,18.82,-54.50,28.33,41.37,55.49
52463,20.71,-23.28,81.02,3.85,22.27,13.25,-73.52,18.97,-54.13,28.36,41.86,54.97
52535,20.65,-23.24,80.92,3.58,22.50,13.04,-73.03,18.96,-53.46,28.30,42.47,54.51
52607,20.74,-23.32,80.93,3.31,22.82,12.83,-72.55,19.07,-52.83,28.34,43.06,54.01
52679,20.77,-23.21,80.91,3.04,22.88,12.47,-72.13,19.15,-52.29,28.41,43.64,53.50
52751,20.76,-23.27,80.90,2.71,23.35,12.37,-71.53,19.16,-51.70,28.39,44.20,53.08
52823,20.74,-23.30,80.91,2.49,23.53,12.24,-71.12,19.25,-51.33,28.39,44.69,52.61
52895,20.71,-23.28,80.86,2.27,23.81,12.17,-70.66,19.39,-50.79,28.55,45.23,52.08
52967,20.62,-23.33,80.89,2.11,24.12,12.11,-70.23,19.43,-50.28,28.60,45.72,51.60
53039,20.62,-23.36,80.80,1.89,24.37,12.17,-69.79,19.44,-49.77,28.60,46.21,51.11
53111,20.62,-23.50,80.78,1.61,24.57,12.12,-69.41,19.54,-49.30,28.61,46.72,50.73
53183,20.76,-23.44,80.91,1.37,24.92,11.91,-68.96,19.51,-48.82,28.55,47.15,50.36
53255,20.87,-23.49,80.83,1.18,25.09,11.78,-68.59,19.47,-48.34,28.43,47.59,50.04
53327,20.96,-23.42,80.79,1.03,25.24,11.69,-68.28,19.54,-48.00,28.48,47.97,49.62
53399,20.92,-23.56,80.69,0.74,25.33,11.53,-67.95,19.60,-47.60,28.59,48.45,49.17
53471,20.83,-23.71,80.63,0.39,25.55,11.40,-67.60,19.64,-47.11,28.61,48.92,48.74
53543,20.91,-23.69,80.69,0.17,25.76,11.27,-67.13,19.72,-46.67,28.57,49.35,48.38
53615,20.86,-23.73,80.63,-0.13,25.93,11.11,-66.70,19.76,-46.21,28.65,49.87,48.05
