Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
43631,31.51,-90.12,1.66,-14.49,-6.00,-2.68,-23.47,18.15,-9.79,48.24,-17.16,43.89
43703,30.72,-88.81,1.39,-13.86,-6.05,-2.26,-23.15,18.06,-9.69,47.77,-17.03,43.85
43775,29.99,-87.61,1.15,-13.31,-6.10,-1.84,-22.88,18.14,-9.61,47.35,-16.99,43.85
43847,29.29,-86.45,0.96,-12.75,-6.10,-1.40,-22.56,18.19,-9.49,46.97,-16.82,43.78
43919,28.55,-85.19,0.72,-12.07,-6.14,-0.88,-22.25,18.19,-9.38,46.58,-16.67,43.70
43991,27.86,-84.08,0.48,-11.49,-6.17,-0.41,-21.98,18.15,-9.29,46.25,-16.49,43.63
44063,27.18,-83.03,0.23,-11.06,-6.23,-0.06,-21.70,18.07,-9.22,45.69,-16.08,43.36
44135,26.20,-82.97,-2.19,-10.50,-8.60,3.54,-22.17,21.04,-8.97,46.31,-17.22,47.09
44207,20.54,-90.82,-6.22,-6.88,-10.52,9.61,-25.09,35.08,-17.34,61.60,-14.76,58.93
44279,24.43,-90.18,-16.76,4.23,-21.37,21.82,-37.00,54.12,-36.16,82.88,-19.66,81.72
44351,33.02,-78.06,-24.16,20.93,-43.08,47.96,-63.04,79.35,-68.05,105.43,-34.15,116.01
44423,50.26,-55.05,-39.88,34.41,-71.75,64.92,-86.69,99.76,-90.05,127.05,-53.80,151.71
44495,66.36,-32.39,-49.24,40.25,-92.30,71.86,-99.46,113.58,-90.06,146.79,-60.98,171.05
44567,73.65,-20.07,-56.63,41.87,-104.52,70.34,-108.27,117.68,-94.76,158.94,-63.75,180.00
44639,77.60,-7.60,-65.10,44.55,-110.24,69.95,-110.55,122.44,-101.60,159.91,-61.22,180.00
44711,78.40,-5.61,-66.63,42.96,-113.85,66.24,-112.42,120.64,-97.93,158.48,-55.61,180.00
44783,81.93,-1.50,-60.69,40.37,-112.39,60.71,-111.36,115.35,-95.80,150.11,-48.10,178.37
44855,80.75,0.17,-60.92,40.87,-109.47,58.74,-109.46,111.99,-92.70,144.24,-40.28,169.79
44927,76.46,0.28,-63.90,42.16,-109.51,57.52,-109.30,109.64,-88.90,140.58,-33.41,163.42
44999,72.82,1.61,-63.37,43.75,-107.28,57.76,-107.31,108.89,-87.12,138.35,-27.33,157.84
45071,70.32,2.91,-60.23,44.62,-103.05,57.46,-102.82,107.68,-83.64,135.54,-22.20,152.49
45143,68.62,4.46,-57.71,44.29,-99.82,56.91,-99.80,106.26,-81.80,133.48,-18.47,147.40
45215,67.53,5.99,-56.50,43.24,-97.82,55.69,-98.03,104.68,-81.29,131.00,-16.99,141.32
