Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46635,12.75,-26.25,-8.51,8.04,-3.79,13.30,-11.14,22.61,-11.22,24.51,-14.52,48.55
46707,12.36,-25.95,-8.62,7.94,-3.84,13.28,-11.12,22.66,-11.10,24.54,-14.36,48.45
46779,11.98,-25.70,-8.73,7.80,-3.89,13.24,-11.08,22.71,-10.99,24.63,-14.21,48.36
46851,11.59,-25.40,-8.85,7.73,-3.97,13.20,-11.05,22.82,-10.89,24.74,-14.07,48.30
46923,11.20,-25.13,-8.95,7.67,-4.05,13.17,-11.03,22.89,-10.77,24.80,-13.93,48.22
46995,10.83,-24.86,-9.07,7.59,-4.12,13.14,-10.99,22.96,-10.67,24.88,-13.78,48.19
47067,10.49,-24.57,-9.16,7.54,-4.18,13.14,-10.94,22.99,-10.03,25.82,-14.21,48.81
47139,10.20,-27.23,-12.41,11.19,-8.26,19.20,-14.68,27.78,-8.33,31.10,-13.16,55.51
47211,15.39,-32.70,-18.46,15.56,-41.77,22.73,-41.81,31.83,2.00,36.86,-4.39,56.22
47283,25.31,-45.43,-42.81,15.69,-77.76,19.45,-77.66,31.70,-0.43,44.97,5.62,61.89
47355,36.46,-56.11,-73.34,18.16,-93.88,17.10,-92.62,23.02,-12.15,41.20,11.73,64.84
47427,43.95,-61.02,-83.94,16.60,-96.93,13.19,-96.51,17.44,-14.69,39.28,16.07,65.58
47499,49.58,-65.40,-88.32,14.45,-97.72,6.06,-97.37,12.95,-11.55,37.44,19.26,66.57
47571,54.80,-69.51,-90.60,12.60,-98.82,3.84,-99.88,11.66,-9.09,32.75,21.80,67.09
47643,58.07,-73.08,-89.04,11.22,-97.54,3.56,-99.20,11.76,-6.65,28.71,24.29,66.01
47715,52.06,-77.69,-89.11,10.08,-96.15,1.98,-97.89,10.49,4.42,26.04,27.04,63.79
47787,49.36,-82.52,-88.96,9.94,-95.43,1.53,-96.64,10.21,6.54,22.65,28.89,62.19
47859,38.20,-85.29,-86.34,9.05,-92.65,3.00,-95.12,10.81,6.32,20.91,31.44,60.59
47931,36.23,-84.59,-82.37,8.71,-86.12,5.37,-90.30,10.90,1.17,10.28,33.39,59.37
48003,35.40,-79.07,-79.76,7.00,-81.59,6.38,-83.84,10.56,6.04,9.48,36.12,57.37
48075,43.11,-78.15,-62.55,5.48,-72.54,10.19,-85.96,12.78,3.04,8.77,36.69,56.86
48147,40.52,-79.24,-60.67,5.20,-69.49,10.11,-85.96,11.32,3.07,6.91,37.97,54.98
48219,39.09,-80.36,-62.74,5.44,-70.01,9.03,-83.16,11.51,11.34,6.67,39.14,54.29
48291,38.56,-83.16,-66.09,7.34,-73.35,7.15,-85.56,11.63,12.08,8.02,40.52,53.31
48363,37.02,-81.14,-69.00,1.71,-75.72,6.67,-88.88,12.43,14.25,8.01,42.55,53.16
48435,40.29,-82.48,-70.02,1.58,-74.95,6.75,-90.98,12.46,9.60,6.88,44.09,51.80
48507,31.66,-81.01,-70.13,1.67,-73.71,8.06,-87.60,13.45,8.96,6.52,45.23,50.28
48579,23.28,-80.23,-70.61,1.92,-74.71,8.65,-88.37,13.78,8.44,5.65,46.61,49.84
48651,23.12,-77.56,-69.46,-1.74,-71.41,9.46,-85.07,13.41,2.45,0.62,48.36,49.13
48723,26.43,-73.31,-59.64,-13.94,-60.98,13.08,-87.04,12.95,-0.17,-1.36,49.75,48.01
48795,33.71,-72.02,-59.18,-13.90,-58.86,12.61,-83.33,11.83,4.29,-2.55,51.05,46.28
48867,40.25,-69.22,-51.11,-13.70,-48.57,15.73,-70.96,14.97,6.65,-0.72,52.31,44.89
48939,38.23,-68.24,-52.25,-9.82,-49.68,16.70,-70.93,14.45,7.79,-1.32,52.99,43.63
