Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46635,13.34,-5.28,-9.00,-25.73,2.65,3.61,3.27,31.35,-9.41,42.61,-2.76,43.74
46707,12.91,-5.73,-9.02,-25.04,2.43,3.74,3.00,31.18,-9.44,42.55,-2.83,43.75
46779,12.51,-6.18,-9.06,-24.41,2.22,3.85,2.74,31.04,-9.47,42.49,-2.92,43.73
46851,12.11,-6.59,-9.08,-23.73,2.04,4.00,2.49,30.90,-9.49,42.40,-2.99,43.70
46923,11.72,-7.00,-9.08,-23.08,1.85,4.15,2.26,30.75,-9.51,42.32,-3.05,43.69
46995,11.33,-7.39,-9.12,-22.51,1.68,4.24,2.02,30.55,-9.53,42.15,-3.19,43.57
47067,10.95,-8.06,-9.36,-22.63,1.38,4.55,1.79,30.61,-9.63,43.03,-3.76,45.49
47139,15.68,-9.22,-9.25,-19.47,-3.47,9.89,-0.84,37.91,-11.64,58.66,-7.95,58.44
47211,23.41,-8.29,-7.01,-15.24,-4.23,18.21,-21.55,50.67,-29.87,70.50,-10.35,71.44
47283,35.64,-3.36,-1.71,-8.34,-6.49,27.35,-55.76,58.82,-60.63,74.46,-10.73,88.24
47355,50.46,4.71,5.77,-3.70,-6.70,32.31,-89.47,55.99,-82.35,68.07,-12.74,99.99
47427,66.09,10.83,14.26,-1.14,-7.14,31.47,-107.39,43.90,-100.95,58.55,-15.04,108.58
47499,77.52,15.52,21.28,1.36,-10.62,28.66,-119.85,33.19,-113.38,48.14,-17.94,115.78
47571,87.39,20.31,32.28,2.70,-11.35,23.92,-127.90,25.82,-120.15,44.56,-19.92,118.25
47643,95.31,20.82,42.11,2.79,-19.48,20.09,-131.41,19.50,-123.16,39.61,-21.01,120.32
47715,102.04,20.53,51.15,2.20,-25.13,15.29,-133.78,15.94,-124.62,38.21,-20.98,119.85
47787,107.38,19.87,56.24,1.32,-29.22,11.31,-134.91,15.76,-123.04,37.48,-19.47,117.36
47859,108.85,18.30,59.09,1.86,-29.89,9.53,-134.93,13.90,-122.97,37.19,-17.68,116.33
47931,110.83,17.79,61.06,0.98,-27.91,7.48,-135.44,13.72,-122.42,37.56,-16.10,114.69
48003,111.20,17.71,62.04,1.60,-27.20,7.10,-134.24,14.04,-131.12,40.72,-14.83,112.98
48075,112.08,17.95,62.01,1.48,-26.84,5.96,-134.27,13.52,-132.06,40.56,-13.30,111.52
48147,111.83,18.26,61.84,1.66,-26.69,5.63,-133.64,13.64,-133.20,41.07,-11.69,109.68
48219,111.86,17.66,61.78,1.79,-26.44,5.29,-133.34,13.19,-133.26,40.99,-9.90,108.11
48291,111.87,17.00,61.89,1.72,-26.26,4.67,-132.55,13.14,-133.73,41.41,-7.81,106.87
48363,111.94,16.95,62.47,1.98,-25.52,4.23,-131.31,13.20,-131.99,41.15,-6.14,105.20
48435,112.97,16.74,62.90,1.74,-25.24,3.87,-130.69,13.14,-130.67,40.96,-4.24,103.74
48507,113.19,16.38,63.65,1.58,-24.68,3.41,-129.74,12.87,-129.40,40.34,-2.52,102.27
48579,113.20,16.45,63.81,1.51,-23.90,3.16,-128.59,12.88,-128.05,39.93,-0.82,100.67
48651,113.13,16.71,64.08,1.41,-22.89,3.17,-127.58,12.82,-126.54,39.46,1.10,98.98
48723,112.54,16.46,64.63,1.36,-21.49,2.96,-124.74,12.81,-124.57,39.14,3.13,96.72
48795,113.29,15.77,65.21,0.27,-20.55,3.02,-124.10,13.26,-123.61,39.24,4.88,95.33
48867,112.54,15.92,65.45,0.31,-20.21,3.13,-123.52,13.81,-122.69,39.56,6.60,93.60
48939,112.47,15.43,65.71,0.04,-19.68,3.10,-122.59,13.99,-121.29,39.37,8.55,92.48
