Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,25.96,-55.72,-3.44,1.46,-8.99,-14.17,-6.06,9.41,-11.24,16.32,-19.39,54.95
46703,25.34,-55.37,-3.51,1.59,-8.95,-13.69,-6.15,9.85,-11.26,16.66,-19.19,54.71
46775,24.72,-54.95,-3.58,1.80,-8.92,-13.21,-6.20,10.28,-11.27,16.99,-18.97,54.46
46847,24.14,-54.58,-3.65,2.03,-8.89,-12.71,-6.25,10.59,-11.28,17.39,-18.79,54.25
46919,23.58,-54.25,-3.72,2.21,-8.88,-12.25,-6.31,10.99,-11.31,17.68,-18.59,53.97
46991,23.02,-53.97,-3.86,2.17,-8.69,-11.63,-5.83,11.30,-11.08,16.92,-19.37,55.59
47063,24.41,-56.39,-3.93,2.82,-11.83,-5.18,-6.88,19.77,-18.92,28.24,-21.99,67.18
47135,30.60,-61.46,2.89,1.80,-12.73,-4.00,-12.77,22.01,-14.70,31.29,-13.10,74.00
47207,44.26,-70.29,25.33,0.15,-32.46,-5.75,-33.78,16.80,-21.72,27.27,-5.28,77.94
47279,56.64,-80.54,48.23,-2.15,-60.70,-8.45,-56.58,13.20,-39.00,22.05,2.31,81.18
47351,66.76,-91.01,59.43,-4.96,-88.90,-11.62,-77.70,16.39,-51.85,20.42,8.05,84.14
47423,74.53,-98.06,70.79,-6.53,-106.90,-13.44,-91.27,14.28,-63.60,19.31,12.07,85.14
47495,80.63,-104.19,81.87,-7.67,-117.31,-13.06,-100.29,12.98,-69.48,22.67,14.69,83.32
47567,85.13,-109.21,87.43,-8.51,-121.54,-11.74,-103.90,12.76,-70.75,23.28,16.79,81.67
47639,88.14,-112.62,89.58,-9.26,-123.55,-9.73,-104.82,13.79,-70.75,24.35,18.46,79.73
47711,90.11,-115.13,91.37,-10.23,-124.38,-7.78,-104.07,15.46,-69.74,27.06,20.26,77.75
