Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,0.70,-39.63,-8.80,-19.95,-8.50,-46.07,-20.99,18.87,-8.37,14.49,-14.47,25.03
46703,0.56,-39.38,-8.81,-19.45,-8.45,-45.05,-20.72,19.03,-8.30,14.74,-14.47,25.27
46775,0.42,-39.06,-8.77,-18.83,-8.37,-43.84,-20.44,19.13,-8.22,15.04,-14.39,25.46
46847,0.21,-38.75,-8.81,-18.37,-8.37,-42.79,-20.25,19.20,-8.20,15.15,-14.41,25.65
46919,0.11,-38.48,-8.80,-18.02,-8.32,-41.73,-20.03,19.15,-8.10,15.53,-14.49,26.04
46991,-0.08,-38.19,-8.79,-17.50,-8.27,-40.65,-19.78,19.23,-8.05,15.70,-14.47,26.24
47063,-0.22,-37.90,-8.88,-17.20,-8.26,-39.62,-19.52,19.00,-8.04,15.88,-14.54,26.89
47135,-0.28,-37.44,-9.14,-14.00,-8.73,-38.02,-19.32,18.84,-8.33,15.98,-18.44,30.24
47207,-1.40,-41.92,-15.84,-11.72,-16.36,-31.87,-25.74,28.15,-14.55,31.65,-18.94,37.04
47279,-8.70,-51.34,-19.35,-4.59,-20.56,-23.84,-44.24,35.88,-36.61,37.87,-17.39,41.15
47351,-17.63,-60.28,-20.34,-6.21,-20.67,-24.29,-61.77,31.28,-54.92,36.64,-13.86,40.07
47423,-33.89,-71.37,-25.23,-11.89,-21.29,-27.79,-75.96,26.62,-72.72,33.41,-10.45,39.15
47495,-42.11,-73.01,-28.45,-13.42,-22.90,-28.78,-88.72,26.69,-88.08,32.88,-8.15,37.31
47567,-48.66,-75.14,-30.80,-16.73,-24.29,-31.22,-98.99,27.10,-104.20,33.32,-7.53,35.97
47639,-51.58,-76.36,-33.24,-19.40,-27.36,-35.31,-107.58,25.89,-113.81,33.49,-7.11,34.21
47711,-50.60,-77.33,-35.29,-20.97,-28.69,-37.81,-109.25,25.16,-113.93,31.47,-6.65,32.19
47783,-53.13,-80.87,-36.66,-23.14,-28.57,-38.91,-109.81,25.35,-112.40,30.31,-7.02,31.03
47855,-52.99,-84.44,-37.79,-24.47,-29.33,-40.08,-110.58,25.37,-112.54,30.69,-6.74,28.89
47927,-54.85,-87.27,-38.32,-24.80,-28.85,-40.39,-110.64,26.03,-113.10,28.72,-5.97,26.93
47999,-58.22,-87.81,-38.50,-25.70,-27.77,-41.74,-108.86,27.54,-113.87,25.05,-4.37,26.14
48071,-62.06,-84.52,-38.89,-25.52,-24.29,-38.71,-100.13,25.91,-116.34,18.29,-2.98,25.58
48143,-66.29,-81.87,-38.70,-25.55,-22.02,-39.23,-74.61,21.48,-118.95,19.26,-2.73,24.84
48215,-73.00,-79.53,-40.16,-23.82,-23.96,-38.38,-65.65,19.53,-126.82,22.95,-3.59,23.19
48287,-76.47,-80.09,-43.48,-22.91,-31.43,-36.79,-67.19,13.88,-133.79,29.80,-8.63,20.79
48359,-78.84,-84.07,-49.44,-19.37,-41.01,-35.06,-68.50,16.12,-139.84,33.71,-16.21,20.87
48431,-77.55,-93.81,-54.08,-15.61,-55.92,-33.73,-71.04,18.91,-149.02,37.64,-23.10,22.06
48503,-79.48,-98.62,-55.69,-9.13,-63.28,-28.81,-90.08,23.72,-154.65,40.94,-28.30,20.62
48575,-79.05,-105.26,-62.26,-5.00,-71.27,-29.55,-90.02,25.83,-151.81,44.59,-29.47,19.64
48647,-79.26,-106.94,-62.72,-2.14,-72.45,-25.15,-90.08,31.01,-145.65,45.68,-30.58,19.68
48719,-77.74,-108.59,-63.76,-0.50,-73.26,-23.53,-88.68,32.48,-138.89,47.30,-29.77,19.79
48791,-77.67,-107.94,-63.62,1.58,-75.80,-20.20,-90.70,34.98,-132.83,48.94,-30.85,20.26
48863,-76.48,-108.93,-63.79,2.87,-76.14,-18.33,-90.38,36.24,-127.39,50.51,-31.28,20.06
48935,-75.95,-110.08,-64.58,3.72,-77.45,-15.74,-91.80,39.26,-122.55,51.79,-32.28,20.59
49007,-74.85,-110.62,-65.15,3.60,-78.26,-14.05,-95.79,47.07,-116.62,50.46,-32.60,21.59
49079,-73.18,-109.13,-65.30,2.38,-77.49,-15.70,-93.96,44.66,-111.01,50.72,-31.70,21.82
49151,-72.69,-108.15,-64.40,1.42,-76.64,-17.79,-93.50,44.59,-106.05,51.53,-31.96,22.35
49223,-71.84,-108.41,-64.42,2.08,-76.86,-16.90,-92.84,43.97,-100.86,53.60,-31.65,21.98
49295,-71.58,-108.78,-64.06,1.89,-76.64,-15.02,-92.62,45.11,-96.38,55.64,-32.02,21.92
49367,-71.13,-109.34,-64.30,2.37,-76.43,-14.97,-91.49,43.70,-92.42,56.93,-32.29,22.27
49439,-69.97,-109.26,-64.03,2.42,-76.26,-14.84,-90.66,43.11,-88.43,56.95,-32.70,23.59
49511,-68.70,-108.84,-63.40,2.95,-75.60,-13.55,-89.70,43.18,-84.62,58.17,-32.26,23.61
49583,-68.32,-107.97,-62.42,2.29,-74.81,-13.58,-89.14,42.63,-80.82,59.75,-32.42,23.29
49655,-67.52,-108.23,-62.78,2.31,-75.20,-13.19,-89.17,42.23,-76.89,61.64,-32.36,22.69
49727,-67.19,-108.66,-62.91,1.98,-75.25,-13.15,-88.81,42.01,-73.05,63.52,-32.38,22.33
49799,-66.77,-108.82,-63.13,1.99,-75.53,-12.51,-88.54,41.76,-69.17,64.69,-32.57,22.40
49871,-67.06,-108.45,-63.56,1.23,-75.69,-13.53,-88.08,41.00,-64.61,65.28,-32.10,22.54
49943,-66.27,-107.88,-62.89,0.66,-75.39,-13.50,-87.90,40.68,-61.10,66.50,-32.34,22.48
50015,-65.53,-108.22,-63.38,0.70,-75.77,-13.06,-87.83,40.33,-57.65,68.16,-32.37,22.11
50087,-65.21,-108.49,-63.41,0.50,-75.70,-13.14,-87.20,39.56,-54.09,69.75,-32.24,21.91
50159,-64.92,-108.53,-62.99,0.63,-75.62,-12.72,-86.85,39.46,-50.62,70.97,-31.98,21.98
50231,-64.15,-107.90,-62.04,0.84,-75.22,-11.83,-86.53,39.53,-47.57,71.98,-32.03,22.05
50303,-63.73,-108.18,-62.54,1.10,-75.95,-11.17,-86.83,39.54,-44.27,73.59,-32.05,21.81
50375,-63.30,-108.49,-62.36,1.29,-76.00,-10.58,-86.64,39.28,-40.95,75.10,-31.91,21.70
50447,-62.89,-108.54,-62.31,1.37,-75.93,-9.95,-86.42,39.06,-37.72,76.33,-31.83,21.61
50519,-62.62,-108.65,-62.02,1.64,-75.93,-9.45,-85.97,39.09,-34.13,77.42,-31.79,21.54
50591,-62.18,-108.78,-61.84,1.90,-76.02,-8.67,-85.99,39.19,-30.97,78.60,-31.79,21.51
50663,-62.11,-108.81,-61.99,2.37,-76.30,-7.10,-85.99,40.36,-28.04,79.72,-31.88,21.55
50735,-62.00,-108.81,-62.18,2.34,-76.46,-6.86,-85.77,39.90,-24.93,80.85,-31.78,21.32
50807,-61.58,-108.94,-62.09,2.08,-76.39,-6.89,-85.44,39.12,-21.98,81.78,-31.71,21.37
50879,-61.09,-108.76,-61.85,2.03,-76.21,-6.82,-85.07,38.58,-19.02,82.92,-31.40,21.24
50951,-60.80,-108.59,-61.69,2.08,-76.16,-6.55,-84.87,38.24,-16.19,83.85,-31.27,21.20
51023,-60.42,-108.40,-61.62,2.05,-76.08,-6.44,-84.58,37.72,-13.53,84.92,-31.12,21.06
51095,-60.62,-108.18,-62.32,2.07,-76.87,-6.01,-85.08,37.42,-11.02,85.80,-31.01,20.93
51167,-60.22,-107.98,-62.62,1.69,-77.24,-6.73,-85.10,35.97,-8.34,86.90,-31.02,20.87
51239,-59.66,-107.93,-62.26,1.75,-76.89,-6.69,-84.63,35.53,-5.61,87.84,-30.95,20.79
51311,-59.38,-107.98,-62.42,1.68,-77.11,-6.92,-83.90,33.64,-2.68,88.92,-31.11,20.82
51383,-59.04,-108.33,-61.93,1.74,-76.86,-6.60,-83.69,32.93,-0.03,90.06,-31.14,20.71
51455,-58.75,-108.86,-62.43,1.84,-77.41,-6.36,-83.88,33.00,2.30,90.90,-31.31,20.72
51527,-58.64,-109.10,-62.64,1.99,-77.71,-6.05,-83.85,32.84,4.71,92.06,-31.30,20.52
51599,-58.42,-109.11,-62.65,2.14,-77.74,-5.89,-83.56,32.47,7.62,92.96,-30.95,20.41
51671,-58.62,-109.07,-62.82,2.18,-77.94,-5.70,-83.25,32.48,10.35,93.70,-30.85,20.51
51743,-58.53,-109.05,-62.78,2.47,-78.04,-5.37,-82.77,31.91,12.46,94.67,-30.90,20.51
51815,-57.87,-108.99,-62.52,2.64,-77.93,-4.43,-82.38,31.89,14.42,95.88,-31.11,20.16
51887,-57.68,-109.42,-62.99,2.49,-77.98,-4.50,-82.06,31.25,16.53,96.67,-31.07,20.10
51959,-57.33,-109.29,-63.23,2.44,-78.27,-4.52,-82.30,30.82,18.74,97.60,-31.16,19.94
