Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
43631,-8.32,-67.37,1.64,66.02,15.73,34.31,11.86,9.69,0.46,28.42,-5.28,42.69
43703,-8.32,-66.64,1.47,65.05,15.35,34.07,11.50,9.88,0.36,28.28,-5.41,42.66
43775,-8.33,-65.95,1.28,64.05,14.94,33.78,11.12,10.03,0.25,28.18,-5.53,42.64
43847,-8.32,-65.25,1.15,63.16,14.60,33.59,10.85,10.19,0.20,28.07,-5.58,42.63
43919,-8.30,-64.60,1.00,62.22,14.23,33.41,10.54,10.26,0.13,27.90,-5.70,42.57
43991,-8.31,-63.87,0.84,61.25,13.85,33.11,10.18,10.40,0.02,27.83,-5.85,42.52
44063,-8.30,-63.19,0.67,60.41,13.50,32.94,9.92,10.46,-0.02,27.73,-5.87,42.48
44135,-8.27,-62.51,0.52,59.54,13.15,32.73,9.63,10.57,-0.09,27.64,-5.87,42.41
44207,-8.21,-61.93,0.33,58.61,12.76,32.45,9.27,10.60,-0.26,27.49,-5.99,42.20
44279,-8.03,-61.61,0.37,56.26,12.22,32.83,9.31,10.42,-0.31,26.60,-5.71,42.45
44351,-7.94,-64.34,-0.13,55.96,12.30,36.35,10.40,17.93,-8.50,38.43,-9.16,55.49
44423,-7.50,-61.16,5.67,64.33,12.96,47.52,13.04,30.11,-6.98,48.57,-12.53,65.79
44495,4.33,-57.92,8.78,69.59,17.61,57.60,20.03,41.70,-2.74,60.35,-16.72,83.01
44567,23.19,-41.82,17.75,81.65,22.48,72.84,26.18,56.79,0.73,70.83,-23.64,92.51
44639,24.30,-28.14,23.19,86.17,24.26,78.65,29.50,63.85,4.20,77.12,-26.64,99.34
44711,27.64,-21.86,30.96,91.64,27.77,85.94,32.74,70.70,4.50,82.76,-31.87,102.69
44783,28.12,-18.32,32.93,96.05,29.32,91.39,35.31,77.18,6.23,88.70,-35.75,106.82
44855,38.45,-13.38,36.87,99.91,31.69,95.68,37.45,82.50,8.19,93.48,-37.80,111.16
44927,47.26,-9.64,43.91,102.97,37.40,99.17,41.27,85.77,10.54,97.06,-38.13,115.47
44999,52.79,-3.25,45.83,106.44,38.93,101.37,42.44,87.13,11.26,97.47,-37.85,115.54
45071,56.98,-0.00,47.36,108.30,41.14,104.24,46.01,90.33,15.81,100.41,-34.65,119.56
45143,60.52,4.39,51.63,108.07,44.27,103.13,49.52,88.02,20.27,97.12,-30.32,119.74
45215,69.84,6.19,57.07,107.75,50.90,104.71,55.17,89.54,25.27,98.05,-27.56,119.86
45287,71.00,7.39,59.46,105.83,54.70,103.19,57.31,87.88,27.73,97.13,-24.96,120.30
45359,71.49,9.95,61.79,106.63,56.80,103.87,58.36,88.94,29.19,98.52,-23.54,122.30
45431,71.83,14.12,65.34,106.79,64.44,106.60,66.47,92.73,37.36,104.87,-18.90,126.98
45503,70.96,17.52,67.90,106.69,64.95,104.60,65.26,89.35,35.75,98.48,-17.11,122.01
45575,72.22,13.99,67.77,100.84,66.77,99.62,67.21,84.53,38.50,93.42,-12.24,117.86
45647,71.99,12.28,69.17,96.21,68.36,94.58,67.90,79.81,39.02,88.15,-9.94,112.10
45719,72.12,9.05,68.65,91.33,68.85,89.76,68.33,75.72,39.71,84.87,-8.36,109.59
45791,71.36,9.30,68.42,89.56,68.74,86.99,67.50,74.08,39.01,83.67,-8.02,108.73
45863,69.65,11.57,67.57,90.40,68.65,87.39,66.76,75.50,38.00,85.45,-8.51,108.50
45935,67.70,10.69,71.07,90.61,71.88,88.84,68.26,76.41,39.21,84.21,-6.52,106.40
46007,68.68,8.79,71.02,86.57,72.14,84.47,69.08,71.30,40.91,79.70,-2.58,103.59
46079,69.86,8.18,73.32,83.37,74.85,81.52,71.25,68.34,42.99,76.09,0.79,100.10
46151,70.62,6.78,74.27,79.59,76.40,77.90,72.79,65.08,44.75,73.26,3.52,97.96
46223,71.00,7.07,75.40,77.94,77.63,74.96,73.63,63.39,45.57,72.14,4.44,96.79
46295,70.48,8.27,73.97,77.18,75.49,72.62,70.83,62.06,41.78,71.53,2.43,94.96
46367,69.47,8.15,70.99,64.51,79.49,74.69,76.30,64.25,47.04,73.80,5.37,99.61
46439,68.17,12.19,72.58,64.73,80.23,73.43,76.85,62.09,47.56,70.29,7.04,96.77
46511,68.81,10.02,72.87,61.68,80.83,70.80,77.42,60.10,48.45,68.29,9.23,94.82
46583,68.76,9.63,73.41,59.92,81.37,68.84,77.86,57.74,49.17,65.39,11.08,92.38
46655,68.98,9.01,73.44,58.08,81.80,67.35,78.32,56.46,49.95,63.52,12.76,90.59
46727,68.35,9.10,73.64,56.80,82.32,66.03,79.16,55.33,51.12,62.08,14.64,88.81
46799,68.29,8.28,74.23,54.45,83.34,63.68,79.94,53.23,51.96,60.05,16.42,87.03
46871,68.37,8.37,74.51,53.06,83.75,62.13,80.34,51.78,52.75,58.17,18.23,85.22
46943,68.34,7.63,74.58,51.28,84.19,60.34,80.74,50.21,53.43,56.42,19.91,83.58
47015,68.55,7.55,74.81,49.95,84.65,58.61,81.30,48.42,54.34,54.62,21.94,82.01
47087,68.72,7.60,75.33,48.73,85.35,57.24,82.06,46.97,55.23,53.13,23.72,80.47
47159,68.73,7.36,75.77,47.43,86.03,55.98,82.69,45.79,56.05,51.69,25.24,79.06
47231,68.97,7.15,76.13,46.17,86.63,54.49,83.26,44.23,56.73,49.91,26.76,77.16
47303,69.23,6.55,76.36,44.74,87.22,53.10,83.79,43.04,57.51,48.62,28.32,75.79
47375,69.34,6.25,76.46,43.32,87.64,51.78,84.23,41.82,58.23,47.21,29.79,74.26
47447,68.98,5.50,76.68,42.18,88.17,50.65,84.78,40.74,59.01,45.88,31.24,73.13
47519,69.13,5.85,77.19,41.06,88.88,49.34,85.25,39.35,59.51,44.33,32.47,71.33
47591,69.37,5.52,77.26,39.94,89.20,48.12,85.64,38.06,60.08,42.71,33.84,69.71
47663,69.66,5.08,77.69,38.49,89.87,46.58,86.24,36.63,60.79,41.26,35.29,68.48
47735,70.15,5.43,78.14,37.44,90.43,45.27,86.69,35.41,61.33,39.87,36.60,66.92
47807,70.18,4.24,78.21,36.02,90.74,44.17,86.83,34.97,61.78,39.25,37.77,65.62
47879,70.46,4.19,78.67,35.09,91.38,43.15,87.42,33.96,62.54,38.18,39.07,64.33
47951,70.82,3.77,78.90,33.66,91.77,41.56,87.67,32.62,63.03,36.78,40.35,63.09
48023,71.19,3.93,79.07,32.60,92.16,40.29,88.06,31.40,63.60,35.44,41.65,61.74
48095,71.33,3.97,79.23,31.63,92.46,39.26,88.33,30.64,64.01,34.58,42.78,60.60
48167,71.33,3.76,79.10,30.53,92.62,38.26,88.48,30.34,64.39,34.91,43.67,60.54
48239,71.05,4.48,79.11,29.96,92.92,37.03,88.79,29.05,64.89,33.56,44.84,59.49
48311,71.11,4.45,79.29,28.96,93.43,35.95,89.18,28.03,65.35,32.24,45.98,58.25
48383,71.45,4.28,79.46,27.86,93.88,34.73,89.61,26.91,65.95,31.11,47.12,57.20
48455,71.47,3.97,79.66,26.89,94.29,33.71,89.96,26.10,66.68,30.24,48.55,56.67
48527,71.26,4.40,80.12,26.50,94.91,33.10,90.47,25.53,67.30,29.62,49.55,55.88
48599,71.30,4.38,80.23,25.91,95.17,32.07,90.71,24.59,67.74,28.36,50.71,54.70
48671,71.30,4.08,80.49,25.08,95.67,31.12,91.22,23.67,68.44,27.41,51.82,53.83
48743,71.48,4.08,80.69,24.28,96.09,30.19,91.53,22.98,68.92,26.70,52.76,53.16
48815,72.28,5.12,80.56,23.82,96.12,29.50,91.42,22.71,68.98,26.35,53.52,52.14
48887,72.34,4.61,80.51,23.04,96.34,28.57,91.68,21.90,69.46,25.40,54.55,51.05
48959,72.18,3.92,80.68,22.06,96.64,27.59,91.92,20.87,69.76,24.49,55.40,50.10
49031,72.18,3.87,80.79,21.36,96.85,26.76,92.15,20.13,70.19,23.60,56.39,49.23
49103,72.19,3.87,81.10,20.61,97.27,25.97,92.59,19.38,70.73,22.77,57.44,48.43
