Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-45.88,16.94,-9.19,87.37,-13.24,39.29,15.82,48.92,-3.32,7.39,-15.11,25.08
46703,-45.11,16.17,-9.24,85.61,-13.14,38.75,15.34,48.31,-3.40,7.67,-15.17,25.20
46775,-44.28,15.27,-9.31,83.77,-13.04,37.96,14.86,47.67,-3.50,8.01,-15.11,25.35
46847,-43.55,14.64,-9.39,82.04,-12.91,37.28,14.38,47.05,-3.60,8.38,-15.01,25.49
46919,-42.88,14.09,-9.45,80.52,-12.83,36.69,13.86,46.57,-3.72,8.91,-14.99,25.80
46991,-42.27,13.63,-9.61,79.06,-12.67,36.59,13.51,46.21,-3.80,10.21,-15.09,27.43
47063,-41.86,13.75,-11.03,77.19,-13.71,36.20,13.01,44.65,-4.13,10.13,-19.08,31.29
47135,-43.99,9.80,-18.00,75.73,-21.18,38.37,6.62,52.16,-11.56,17.06,-18.86,34.18
47207,-44.92,6.68,-21.47,72.79,-24.77,35.70,-11.71,55.33,-27.61,17.74,-17.96,34.54
47279,-48.58,4.37,-26.31,71.30,-40.75,34.51,-43.06,53.22,-52.33,16.42,-18.95,34.87
47351,-54.59,-1.04,-33.90,68.52,-56.50,29.95,-79.66,56.81,-88.05,15.32,-20.01,34.27
47423,-61.64,-1.96,-40.38,69.08,-66.85,29.91,-103.16,59.57,-114.18,14.95,-20.53,32.01
47495,-71.74,-8.05,-49.33,67.11,-76.35,28.57,-116.59,63.62,-131.20,17.68,-21.37,30.61
47567,-82.36,-12.79,-55.00,66.23,-88.34,27.72,-129.11,64.31,-145.75,20.18,-22.19,28.13
47639,-92.85,-17.26,-60.41,64.33,-93.38,28.21,-140.46,69.88,-158.21,26.22,-22.44,25.87
47711,-102.25,-19.44,-62.54,64.43,-95.28,29.98,-148.30,73.08,-168.42,25.42,-22.52,23.36
47783,-116.71,-19.40,-61.84,65.16,-80.47,33.49,-156.95,74.26,-173.17,31.39,-22.06,21.38
47855,-126.31,-18.16,-64.40,66.59,-73.29,35.51,-159.27,71.21,-175.30,28.82,-22.21,20.31
47927,-131.03,-18.74,-67.22,66.56,-72.84,35.52,-156.76,75.09,-171.89,34.81,-22.00,18.52
47999,-134.45,-18.84,-67.83,66.75,-72.61,34.78,-154.59,76.45,-167.97,32.08,-22.45,17.54
48071,-135.81,-20.71,-70.33,67.06,-74.41,35.25,-151.56,76.59,-163.50,28.45,-23.10,17.39
48143,-136.28,-22.23,-73.40,66.80,-76.73,34.14,-148.10,78.46,-159.79,25.62,-23.39,16.24
48215,-135.75,-24.25,-74.58,65.20,-77.73,31.99,-143.70,80.79,-154.72,22.14,-23.96,15.97
48287,-134.25,-25.59,-73.85,64.85,-78.00,31.54,-138.38,82.42,-148.97,18.36,-24.50,15.83
48359,-132.93,-27.91,-73.94,64.42,-79.43,31.51,-133.62,84.48,-142.72,15.34,-24.76,14.91
48431,-130.07,-29.81,-73.82,63.28,-80.22,30.35,-128.20,86.09,-138.19,10.60,-26.17,15.42
48503,-127.27,-32.34,-72.96,62.78,-81.03,30.02,-123.22,87.86,-133.87,7.26,-26.47,15.23
48575,-125.89,-33.48,-73.50,62.62,-82.83,30.34,-117.87,89.42,-128.75,4.07,-26.39,14.83
48647,-124.46,-34.91,-74.38,61.85,-84.03,29.88,-112.53,91.07,-123.34,0.47,-26.90,14.86
48719,-122.20,-36.44,-75.02,61.46,-85.10,29.78,-107.20,93.03,-117.74,-2.78,-27.04,14.85
48791,-119.89,-37.55,-74.60,60.74,-85.10,29.85,-101.95,94.12,-112.01,-6.14,-27.43,14.93
