Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
43631,-25.66,-41.30,-6.89,12.45,-7.40,16.27,-2.29,6.24,-3.81,19.62,-11.04,40.74
43703,-25.35,-40.90,-6.95,12.31,-7.32,16.27,-2.34,6.35,-3.83,19.69,-11.01,40.76
43775,-25.06,-40.49,-7.03,12.30,-7.27,16.31,-2.40,6.43,-3.87,19.77,-11.07,40.83
43847,-24.77,-40.07,-7.12,12.22,-7.25,16.26,-2.50,6.50,-3.91,19.82,-11.10,40.86
43919,-24.47,-39.68,-7.19,12.14,-7.20,16.27,-2.57,6.56,-3.96,19.84,-11.15,40.87
43991,-24.15,-39.49,-7.23,11.71,-7.12,15.99,-2.49,6.60,-4.03,19.83,-11.88,40.88
44063,-24.48,-38.71,-8.83,12.77,-8.65,17.71,-2.72,8.05,-4.28,19.65,-12.98,41.34
44135,-22.63,-40.91,-9.61,13.66,-13.14,19.34,-6.38,14.19,-9.07,26.65,-14.48,49.46
44207,-20.21,-40.16,-8.43,18.09,-15.72,26.50,-11.79,24.25,-21.50,39.39,-15.84,56.13
44279,-22.24,-36.40,-8.77,23.16,-20.71,32.58,-34.63,35.05,-53.83,48.04,-18.95,66.43
44351,-27.20,-25.62,-7.14,32.88,-28.17,45.81,-69.82,44.34,-88.70,51.84,-28.60,80.05
44423,-38.28,-12.53,-5.76,44.74,-38.42,56.76,-97.55,48.34,-122.29,50.00,-37.40,86.82
44495,-46.81,-7.23,-7.93,54.02,-50.00,64.26,-126.86,46.88,-151.16,46.53,-48.64,95.25
44567,-55.14,-3.63,-10.17,65.30,-66.66,71.87,-147.82,41.78,-174.58,46.56,-57.51,98.39
44639,-67.66,-5.64,-13.23,69.19,-75.39,73.55,-158.56,42.27,-180.00,47.80,-62.17,97.68
44711,-75.67,-10.32,-15.49,70.77,-77.51,74.46,-164.31,43.32,-180.00,50.07,-65.51,97.69
44783,-81.26,-13.37,-16.12,72.61,-79.73,77.98,-167.18,43.70,-180.00,51.32,-68.28,98.90
44855,-84.74,-15.62,-16.66,74.41,-80.64,80.42,-168.48,44.15,-180.00,51.92,-71.14,99.80
44927,-86.76,-17.43,-16.99,75.16,-79.61,82.11,-166.43,43.72,-180.00,52.68,-73.47,101.54
44999,-88.18,-16.72,-16.06,77.28,-79.19,85.33,-165.60,43.93,-180.00,53.60,-75.10,102.26
45071,-88.08,-17.73,-15.41,77.04,-75.45,86.23,-162.55,45.73,-178.82,55.10,-75.07,101.69
45143,-88.41,-18.02,-15.03,76.59,-73.48,86.95,-160.77,46.53,-175.84,55.37,-75.85,102.28
45215,-87.87,-18.07,-13.89,76.40,-72.37,87.88,-158.35,47.20,-172.68,55.70,-76.55,103.10
45287,-87.04,-17.44,-12.79,76.08,-70.89,88.24,-154.77,47.22,-168.59,55.34,-77.20,104.18
45359,-86.24,-15.67,-11.01,76.22,-69.74,89.44,-151.58,46.81,-164.87,54.89,-77.80,105.46
45431,-85.47,-14.84,-9.76,75.92,-68.17,90.01,-148.33,47.13,-161.17,55.09,-78.30,106.15
45503,-84.58,-14.25,-9.23,75.34,-67.04,90.30,-145.14,47.89,-157.77,55.67,-78.83,106.40
45575,-83.74,-14.09,-8.56,74.52,-65.85,90.38,-142.12,48.30,-154.19,55.98,-79.34,106.82
45647,-82.49,-13.48,-7.47,73.99,-64.24,90.76,-138.86,48.59,-150.24,56.38,-79.56,106.90
45719,-81.32,-13.25,-6.73,73.44,-63.02,91.48,-136.04,48.40,-147.03,56.12,-80.23,107.69
45791,-80.27,-12.66,-6.01,72.90,-61.83,91.77,-133.28,49.05,-143.91,56.49,-81.06,108.14
45863,-79.71,-12.55,-5.67,72.60,-60.97,92.00,-130.78,50.00,-140.73,57.18,-81.51,108.36
45935,-78.94,-12.16,-5.24,72.10,-59.81,92.37,-128.31,50.63,-137.90,57.48,-82.14,108.74
46007,-78.60,-11.84,-4.98,71.72,-58.53,92.91,-125.80,51.35,-135.12,58.00,-82.86,109.14
46079,-78.24,-11.65,-4.62,71.54,-57.53,93.35,-123.24,51.93,-132.21,58.55,-83.28,109.45
46151,-77.81,-11.28,-4.26,71.24,-56.57,93.62,-120.95,52.60,-129.50,59.11,-83.50,109.59
46223,-77.44,-11.09,-4.05,70.73,-55.56,93.86,-118.34,53.35,-126.61,59.87,-83.80,109.70
46295,-77.03,-10.87,-3.81,70.19,-54.27,93.72,-115.18,54.42,-122.68,61.28,-83.26,108.97
46367,-76.17,-10.70,-3.41,69.57,-53.21,94.27,-112.93,54.81,-120.09,61.54,-83.63,109.41
46439,-75.72,-10.44,-2.99,69.10,-52.17,94.33,-110.37,55.70,-117.25,62.28,-83.89,109.50
46511,-75.08,-10.25,-2.62,68.82,-51.46,94.60,-108.38,56.31,-114.76,62.83,-84.14,109.67
46583,-74.61,-10.14,-2.27,68.71,-50.78,95.03,-106.37,57.12,-112.31,63.62,-83.93,109.75
46655,-74.20,-9.82,-1.66,68.19,-49.55,95.35,-103.79,57.57,-109.38,63.98,-83.83,110.11
46727,-73.38,-9.17,-1.12,67.69,-48.08,95.17,-100.46,58.62,-106.07,64.81,-83.55,109.90
46799,-73.13,-8.78,-0.78,67.28,-47.16,95.48,-98.38,59.08,-103.75,65.05,-83.76,110.20
46871,-72.85,-8.47,-0.46,66.91,-46.35,95.45,-96.18,59.69,-101.29,65.36,-83.96,110.44
46943,-72.31,-8.24,-0.05,66.65,-45.77,95.66,-94.46,60.14,-99.23,65.78,-84.14,110.66
47015,-71.87,-7.97,0.43,66.39,-44.94,95.82,-92.58,60.69,-97.08,66.20,-84.11,110.91
47087,-71.60,-7.81,0.78,66.08,-44.13,95.97,-90.70,61.08,-94.88,66.50,-84.15,111.20
47159,-72.24,-7.37,0.67,65.86,-43.36,95.96,-88.73,61.67,-92.72,67.15,-84.34,111.13
47231,-72.09,-7.30,0.97,65.61,-42.53,96.02,-87.02,61.90,-90.64,67.55,-84.57,111.00
47303,-71.72,-7.54,0.77,65.14,-42.13,95.87,-85.78,62.66,-89.17,68.14,-85.11,110.91
47375,-71.53,-7.98,0.32,64.99,-42.18,95.75,-84.68,63.46,-87.83,69.00,-85.73,110.53
47447,-71.43,-8.70,-0.18,64.86,-42.30,95.63,-83.63,63.89,-86.41,69.35,-86.10,110.66
47519,-71.14,-8.92,-0.27,64.89,-42.16,95.82,-82.42,64.35,-84.79,69.66,-86.31,110.95
47591,-70.70,-8.81,-0.06,64.89,-41.67,96.10,-80.83,64.74,-82.65,69.82,-86.14,111.05
47663,-70.36,-8.66,0.25,64.69,-40.65,96.29,-79.03,65.37,-80.61,70.26,-86.10,110.85
47735,-70.33,-9.13,0.23,64.12,-37.85,96.90,-77.41,66.15,-78.67,70.59,-86.10,111.03
47807,-70.25,-8.91,0.44,64.18,-37.54,97.06,-75.77,66.45,-76.66,70.74,-85.86,111.37
47879,-69.69,-8.63,0.89,64.16,-37.18,97.48,-73.41,66.04,-74.52,70.61,-86.00,111.88
47951,-69.63,-8.34,1.04,64.35,-37.00,97.93,-71.96,66.65,-72.94,71.27,-86.05,112.07
48023,-70.04,-8.24,0.84,64.58,-37.01,98.47,-70.98,67.45,-72.04,72.16,-86.22,111.99
48095,-70.77,-8.69,-0.17,64.63,-37.77,98.52,-70.43,68.57,-71.34,73.34,-86.83,111.64
48167,-71.17,-9.39,-1.69,64.51,-39.65,98.48,-70.60,69.54,-71.21,74.08,-87.96,111.69
48239,-72.12,-9.87,-2.53,65.22,-41.76,98.88,-70.72,70.69,-70.98,75.16,-88.63,111.39
48311,-73.02,-10.56,-3.86,65.65,-42.65,99.18,-70.58,71.97,-70.52,76.38,-89.04,110.85
48383,-73.80,-11.30,-4.72,65.95,-43.29,99.40,-70.11,73.26,-69.72,77.54,-89.50,110.42
48455,-74.30,-12.09,-5.67,66.17,-43.85,99.45,-69.69,74.29,-68.90,78.45,-90.00,109.99
48527,-74.43,-12.64,-6.33,66.22,-44.13,99.23,-68.84,75.07,-67.85,79.16,-90.15,109.34
48599,-74.33,-13.30,-6.91,65.46,-43.80,98.24,-67.47,76.12,-65.91,79.75,-90.18,108.62
48671,-73.42,-13.57,-6.94,65.48,-43.96,98.20,-66.58,75.92,-64.71,79.84,-90.43,108.32
48743,-72.69,-13.73,-7.08,65.00,-43.72,97.81,-65.10,75.66,-62.97,79.74,-90.92,108.22
48815,-71.99,-14.07,-7.38,64.89,-43.65,97.41,-63.63,76.88,-61.17,80.24,-90.98,107.70
48887,-67.89,-16.34,-7.15,64.60,-43.64,97.99,-63.03,76.04,-60.58,79.51,-91.50,107.95
48959,-68.02,-15.83,-7.50,64.36,-43.70,97.78,-62.33,76.60,-59.69,80.13,-91.80,107.85
49031,-68.51,-15.75,-7.84,64.47,-44.13,97.78,-62.16,77.23,-59.27,80.92,-91.94,107.56
49103,-68.96,-16.02,-8.35,64.37,-44.24,97.53,-61.66,77.68,-58.62,81.39,-92.26,107.56
49175,-69.55,-16.12,-8.93,64.45,-44.56,97.16,-61.24,78.79,-57.81,82.58,-92.19,106.63
49247,-69.66,-16.81,-9.59,63.65,-44.65,96.33,-60.76,79.68,-56.85,83.36,-91.56,105.90
49319,-69.50,-17.36,-9.52,63.33,-44.05,97.22,-59.73,80.40,-55.88,84.39,-90.84,105.42
49391,-70.04,-17.43,-10.12,63.12,-44.42,96.91,-58.86,81.34,-54.51,85.72,-90.38,104.33
49463,-70.19,-17.42,-10.48,62.74,-44.80,96.75,-58.07,81.85,-53.55,86.09,-90.76,104.15
49535,-70.46,-17.58,-10.89,62.80,-44.97,96.49,-57.19,82.75,-52.40,86.76,-90.67,104.08
49607,-70.74,-17.24,-10.86,63.04,-44.90,96.56,-55.99,83.79,-50.86,87.98,-89.83,103.44
49679,-71.06,-17.26,-10.84,62.70,-44.57,96.57,-54.84,84.29,-49.42,88.45,-89.00,103.45
49751,-71.13,-16.73,-9.89,62.38,-43.63,96.80,-53.18,83.98,-47.84,88.18,-88.25,104.10
49823,-71.13,-15.86,-9.20,62.28,-42.67,96.95,-51.40,84.73,-45.90,88.52,-87.00,104.49
49895,-70.90,-14.96,-8.41,62.36,-41.97,97.39,-50.03,84.80,-44.35,88.50,-86.49,104.61
49967,-70.61,-14.48,-7.91,62.29,-41.55,97.48,-48.79,84.61,-43.06,88.21,-86.18,104.99
50039,-70.20,-14.04,-7.30,62.54,-41.12,97.91,-47.83,84.86,-42.63,87.81,-86.03,105.39
