Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
43631,-12.02,-67.01,-14.29,14.48,-3.64,17.16,-6.97,13.55,-3.58,20.65,-15.44,43.24
43703,-11.91,-66.34,-14.11,14.51,-3.69,17.21,-6.96,13.64,-3.58,20.69,-15.36,43.19
43775,-11.81,-65.71,-13.96,14.45,-3.72,17.27,-6.96,13.79,-3.60,20.74,-15.27,43.08
43847,-11.73,-65.06,-13.78,14.41,-3.75,17.26,-6.96,13.93,-3.62,20.75,-15.19,43.00
43919,-11.65,-64.45,-13.66,14.37,-3.78,17.29,-6.95,14.01,-3.64,20.82,-15.11,42.95
43991,-11.56,-63.83,-13.53,14.37,-3.82,17.34,-6.97,14.15,-3.65,20.85,-15.04,42.88
44063,-11.46,-63.22,-13.37,14.36,-3.83,17.34,-6.95,14.24,-3.67,20.93,-14.96,42.78
44135,-11.36,-62.62,-13.23,14.30,-3.83,17.34,-6.93,14.32,-3.68,20.97,-14.87,42.71
44207,-11.27,-62.04,-13.06,14.18,-3.84,17.38,-6.94,14.50,-3.67,20.98,-14.73,42.54
44279,-11.18,-61.80,-13.04,14.04,-4.00,17.36,-6.82,14.15,-3.55,21.69,-15.31,42.87
44351,-9.75,-62.81,-15.94,14.49,-8.40,19.88,-7.70,19.62,-4.18,25.99,-16.89,47.70
44423,-10.82,-63.08,-20.09,19.79,-12.71,23.91,-9.82,23.90,-7.29,31.04,-19.99,51.94
44495,-4.03,-61.28,-19.28,24.23,-14.86,30.24,-15.31,33.29,-17.86,41.25,-33.43,59.17
44567,9.31,-56.32,-24.85,28.54,-25.82,34.44,-26.99,38.64,-32.58,47.51,-51.61,63.23
44639,23.63,-50.90,-35.20,30.50,-38.30,34.69,-40.39,39.73,-48.66,48.91,-69.27,63.15
44711,34.96,-48.13,-45.82,28.25,-49.11,30.21,-51.92,35.95,-61.61,44.21,-84.01,56.86
44783,39.69,-50.30,-53.00,21.40,-52.16,22.73,-53.90,28.18,-63.24,39.25,-92.48,49.49
44855,45.29,-54.55,-54.68,15.81,-50.02,17.32,-52.37,22.87,-64.86,34.37,-96.62,43.77
44927,45.92,-58.19,-53.36,14.33,-50.78,15.91,-54.47,25.08,-71.75,29.27,-97.51,41.75
44999,40.00,-63.59,-55.23,16.06,-53.51,16.44,-58.68,26.73,-73.66,28.85,-99.62,40.47
45071,38.75,-64.84,-52.74,18.03,-53.13,18.98,-59.84,27.48,-74.20,29.57,-100.90,37.34
45143,38.11,-65.79,-53.32,19.30,-53.92,20.45,-59.71,27.70,-73.39,30.37,-100.09,36.50
45215,36.98,-66.66,-52.40,18.68,-53.52,19.51,-58.64,27.27,-71.64,30.98,-98.33,37.94
45287,35.06,-65.52,-51.27,19.49,-52.93,19.68,-57.54,27.20,-70.12,30.76,-96.51,37.62
45359,33.22,-66.25,-50.79,19.06,-52.32,19.79,-56.44,27.54,-68.45,31.09,-94.58,37.89
45431,32.92,-66.03,-50.01,18.52,-52.05,19.31,-55.72,27.33,-67.24,30.85,-92.72,38.03
45503,32.37,-65.65,-48.24,18.26,-50.33,19.37,-54.05,27.13,-65.50,30.81,-90.89,38.61
45575,31.62,-65.24,-46.93,18.50,-49.15,19.38,-52.31,26.76,-63.55,30.20,-88.98,38.73
45647,31.60,-64.73,-46.20,18.61,-48.58,19.57,-51.20,26.92,-62.04,30.20,-87.07,38.82
45719,31.05,-64.73,-44.86,18.67,-47.96,19.87,-50.02,26.90,-60.50,30.48,-85.34,39.41
45791,30.15,-64.41,-44.00,18.62,-47.16,19.77,-48.95,26.92,-59.03,30.41,-83.85,40.03
45863,29.71,-63.64,-43.05,19.21,-46.79,20.19,-48.17,27.02,-57.82,30.54,-82.51,40.34
45935,29.05,-63.40,-42.20,19.32,-46.06,20.41,-47.21,27.22,-56.53,30.68,-81.18,40.71
46007,28.20,-63.25,-41.81,19.15,-45.78,20.34,-46.44,27.21,-55.39,30.93,-79.87,41.01
46079,27.58,-62.88,-41.33,19.32,-45.55,20.42,-45.78,27.03,-54.21,30.77,-78.31,41.10
46151,27.00,-62.83,-40.15,19.30,-44.42,20.79,-44.52,27.36,-52.71,31.30,-76.74,41.75
46223,26.26,-62.31,-38.92,19.53,-43.40,20.93,-43.30,27.38,-51.37,31.25,-75.34,42.10
