Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,47.01,-102.21,0.45,44.33,-7.06,40.40,-6.05,38.07,-1.85,40.97,-13.28,42.68
46703,45.84,-100.63,0.23,43.59,-7.10,39.81,-6.14,37.80,-1.93,40.86,-13.24,42.52
46775,44.70,-99.03,0.06,42.94,-7.09,39.26,-6.21,37.52,-2.05,40.82,-13.23,42.43
46847,43.67,-97.48,-0.16,42.25,-7.15,38.61,-6.33,37.23,-2.19,40.79,-13.30,42.37
46919,42.67,-95.99,-0.34,41.61,-7.16,38.03,-6.39,36.97,-2.27,40.73,-13.26,42.24
46991,41.57,-94.53,-0.54,40.93,-7.19,37.48,-6.46,36.70,-2.36,40.63,-13.21,42.14
47063,40.58,-93.11,-0.72,40.31,-7.22,36.92,-6.52,36.43,-2.47,40.49,-13.25,42.06
47135,39.70,-91.71,-0.88,39.73,-7.23,36.36,-6.58,36.10,-2.55,40.47,-13.31,42.02
47207,38.70,-90.38,-1.07,39.10,-7.25,35.85,-6.62,35.78,-2.59,40.20,-13.37,41.77
47279,38.25,-89.83,-1.34,39.15,-6.58,38.98,-6.02,37.23,-3.46,43.50,-14.17,46.06
47351,34.66,-91.73,0.26,38.67,-8.02,43.33,-7.52,48.29,-6.06,53.69,-12.29,51.49
47423,36.22,-97.95,3.66,42.28,-9.77,50.32,-12.61,59.03,-10.18,63.29,-12.17,61.25
47495,41.78,-102.72,4.04,47.34,-12.47,57.97,-18.76,67.42,-14.60,72.73,-11.66,72.78
47567,48.93,-104.98,-7.32,52.17,-29.80,58.31,-31.15,67.05,-26.98,72.46,-11.37,80.94
47639,53.93,-105.62,-21.31,49.62,-53.69,48.51,-50.33,60.50,-37.69,68.32,-12.93,86.24
47711,54.27,-104.08,-29.81,41.68,-63.43,37.27,-59.19,51.46,-45.28,63.67,-14.54,88.06
47783,58.67,-104.56,-37.52,32.25,-73.68,27.15,-67.85,45.31,-54.88,58.15,-15.30,88.00
47855,61.84,-103.27,-40.78,25.04,-79.43,21.05,-73.55,40.39,-59.59,55.01,-15.18,88.89
47927,64.92,-100.57,-46.17,20.36,-84.68,16.22,-79.05,37.10,-64.72,53.02,-15.02,88.94
47999,67.14,-97.84,-49.19,17.15,-87.73,12.73,-83.29,34.88,-69.38,52.21,-14.93,89.49
48071,66.89,-94.70,-55.37,14.41,-91.89,9.62,-85.99,33.52,-71.13,51.79,-15.17,89.75
48143,66.29,-91.60,-61.81,12.70,-98.19,7.87,-90.41,32.79,-73.47,51.02,-14.79,88.65
48215,64.89,-89.69,-63.80,11.42,-101.13,6.58,-93.58,31.71,-74.47,50.62,-13.53,87.44
48287,63.70,-88.21,-65.34,11.10,-100.81,6.48,-92.09,31.37,-72.40,50.54,-11.40,87.35
48359,62.49,-85.79,-65.02,10.60,-100.12,6.14,-91.00,30.98,-71.12,49.80,-9.49,86.27
48431,63.04,-84.36,-64.57,10.09,-100.01,5.49,-91.02,30.46,-70.63,49.17,-8.10,85.06
48503,63.91,-83.33,-63.87,9.93,-98.93,5.58,-90.15,30.35,-69.56,48.32,-6.50,84.19
48575,63.63,-81.75,-63.63,9.39,-97.96,5.01,-89.36,30.12,-68.24,47.62,-4.77,83.61
48647,64.10,-80.08,-64.20,8.97,-98.38,4.69,-89.49,30.18,-67.60,47.46,-3.56,82.22
48719,63.42,-79.20,-66.43,9.16,-101.69,4.38,-92.20,30.62,-68.89,47.94,-2.57,80.27
48791,62.69,-78.64,-67.44,9.75,-101.96,5.01,-92.32,31.12,-68.39,48.13,-1.35,79.04
48863,61.65,-78.04,-67.69,10.23,-101.75,5.60,-91.66,31.26,-67.64,48.19,0.11,77.29
48935,60.86,-77.45,-67.15,10.66,-101.24,6.17,-91.19,31.34,-66.58,47.50,1.84,76.40
49007,60.35,-76.06,-66.43,10.54,-100.42,6.36,-90.19,31.31,-65.28,47.02,3.24,74.99
49079,59.40,-75.32,-66.51,10.80,-100.61,7.06,-90.26,31.73,-64.43,46.62,4.31,73.33
49151,58.61,-74.85,-66.53,11.11,-100.15,7.51,-89.22,31.71,-63.06,46.14,5.84,72.15
49223,58.02,-73.71,-65.94,11.05,-99.27,7.35,-88.00,31.39,-61.50,45.83,7.60,71.49
49295,57.59,-72.27,-65.17,10.95,-98.29,7.36,-86.77,31.35,-60.23,45.54,8.94,70.43
49367,57.12,-71.27,-64.62,10.88,-97.42,7.32,-85.80,31.40,-59.12,45.44,10.10,69.53
49439,56.30,-70.28,-64.43,10.87,-96.74,7.89,-84.71,31.48,-58.01,45.08,11.16,68.81
49511,55.76,-69.12,-64.17,10.64,-96.02,7.96,-83.72,31.30,-56.93,44.68,12.16,67.91
49583,55.37,-68.48,-63.48,10.60,-95.08,8.10,-82.73,31.03,-55.81,44.22,13.32,66.94
49655,54.81,-67.84,-63.12,10.69,-94.54,8.37,-81.91,31.06,-54.74,44.02,14.40,65.95
49727,54.15,-67.10,-62.89,10.66,-94.07,8.41,-81.00,30.93,-53.57,43.64,15.56,65.02
