Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-8.22,-42.11,-2.49,15.37,-8.31,13.31,-6.98,27.66,-8.91,22.65,-2.45,35.05
46703,-8.24,-41.89,-2.59,15.31,-8.29,13.28,-7.01,27.51,-8.88,22.58,-2.52,35.16
46775,-8.21,-41.69,-2.66,15.29,-8.26,13.25,-7.01,27.36,-8.85,22.54,-2.56,35.25
46847,-8.24,-41.52,-2.75,15.29,-8.24,13.22,-7.01,27.23,-8.81,22.46,-2.64,35.33
46919,-8.22,-41.35,-2.83,15.25,-8.22,13.17,-7.03,27.13,-8.78,22.44,-2.67,35.44
46991,-8.29,-41.13,-2.95,15.23,-8.24,13.15,-7.07,27.00,-8.76,22.35,-2.76,35.57
47063,-8.21,-40.99,-3.04,15.06,-8.21,12.98,-7.08,26.74,-8.72,22.34,-2.95,35.84
47135,-8.29,-40.85,-3.10,15.10,-8.07,13.25,-6.98,27.02,-8.65,22.62,-3.34,36.86
47207,-7.96,-40.37,-3.28,15.07,-7.92,13.03,-6.78,26.55,-8.82,22.55,-6.92,39.88
47279,-5.77,-41.54,-5.66,14.39,-10.97,11.93,-9.58,29.82,-12.40,26.57,-10.38,43.45
47351,-1.21,-41.47,-4.33,14.60,-10.35,12.62,-9.63,30.91,-11.84,24.44,-7.55,41.58
47423,-0.66,-47.01,-2.97,9.37,-9.49,9.57,-12.02,30.60,-11.34,24.39,-6.94,41.98
47495,-4.01,-49.98,-0.30,7.84,-22.04,10.35,-35.63,33.96,-30.82,26.55,-7.69,43.94
47567,-2.77,-51.80,2.69,8.70,-36.60,12.96,-58.33,36.99,-48.81,27.99,-10.00,47.37
47639,-1.53,-53.31,3.64,11.14,-49.39,14.27,-79.05,39.69,-70.82,26.08,-11.61,49.36
47711,0.37,-56.49,4.47,12.32,-60.63,14.53,-104.81,40.35,-87.40,23.00,-14.26,51.35
47783,2.30,-57.36,4.56,14.77,-73.40,12.15,-122.32,39.74,-114.74,20.95,-17.03,52.64
47855,4.90,-58.72,4.10,15.51,-83.26,8.86,-134.96,40.32,-134.48,19.84,-19.62,52.42
47927,6.84,-60.04,2.61,15.92,-97.25,5.57,-148.82,42.98,-154.48,21.52,-21.10,51.49
47999,8.35,-61.73,2.03,15.30,-101.11,3.04,-159.45,47.04,-167.64,28.39,-22.41,50.61
48071,8.66,-63.43,0.10,15.65,-109.23,0.49,-166.79,50.19,-175.87,32.96,-23.74,51.55
48143,9.49,-64.51,-2.25,16.07,-112.45,-1.63,-173.51,54.74,-180.00,39.88,-24.94,51.15
48215,10.74,-64.94,-3.61,16.63,-113.42,-4.24,-176.78,57.45,-180.00,43.38,-26.50,51.42
48287,10.92,-64.81,-5.08,17.68,-114.99,-5.49,-177.25,60.70,-180.00,47.20,-27.66,49.99
48359,10.52,-65.38,-5.21,17.52,-110.61,-6.70,-170.72,64.12,-180.00,49.00,-27.86,48.00
48431,10.50,-65.76,-5.93,16.87,-109.92,-5.65,-171.41,28.54,-174.93,49.31,-27.65,46.92
48503,10.07,-66.61,-5.74,16.27,-106.91,-5.44,-168.77,30.39,-167.43,50.56,-27.12,47.33
48575,8.74,-67.01,-5.78,16.12,-106.22,-4.80,-171.24,32.62,-166.10,52.60,-27.23,48.13
48647,8.49,-66.76,-7.45,17.04,-109.12,-3.19,-175.98,34.65,-165.74,54.44,-27.42,49.46
48719,7.88,-66.68,-8.01,17.35,-110.88,-1.81,-175.38,37.55,-166.03,57.67,-27.63,49.72
48791,7.31,-66.94,-9.01,18.29,-113.33,-1.63,-178.97,39.48,-163.89,59.87,-28.32,50.54
48863,7.57,-66.01,-9.64,19.78,-114.73,-1.22,-173.94,41.95,-159.71,62.16,-29.21,50.62
48935,8.22,-66.26,-10.57,20.15,-114.25,-1.34,-167.90,44.96,-154.55,64.75,-29.81,50.81
49007,9.13,-65.51,-10.47,20.55,-113.98,-1.83,-162.14,48.32,-149.68,68.08,-29.82,49.77
49079,9.10,-66.23,-10.57,20.34,-113.84,-2.45,-155.77,51.21,-144.44,71.03,-29.94,49.27
49151,8.82,-66.83,-10.84,19.95,-113.61,-2.28,-149.41,53.81,-139.13,72.95,-30.11,49.64
49223,8.75,-66.40,-11.76,20.19,-113.37,-1.59,-143.62,56.50,-134.25,75.30,-30.30,49.51
49295,8.44,-66.21,-12.43,20.31,-112.09,-1.28,-137.69,58.91,-128.93,77.44,-30.23,49.56
49367,7.96,-65.97,-12.50,20.34,-111.46,-0.58,-131.56,61.33,-123.51,79.53,-29.83,49.43
49439,7.41,-65.77,-12.82,20.22,-111.04,0.95,-126.09,64.01,-118.63,81.17,-29.54,49.38
49511,7.10,-65.60,-12.83,20.45,-109.60,1.17,-120.01,66.47,-113.11,83.21,-28.81,49.13
49583,6.72,-65.59,-12.24,20.24,-108.67,1.81,-114.18,68.70,-108.12,84.99,-28.65,49.11
49655,6.97,-65.64,-11.77,20.11,-107.67,2.18,-107.82,71.35,-102.36,87.31,-27.95,48.25
49727,6.83,-66.70,-11.80,19.39,-107.08,2.97,-102.40,73.32,-97.45,88.96,-27.81,48.19
49799,6.75,-66.81,-12.21,19.24,-106.47,3.20,-96.92,75.49,-92.47,90.74,-27.86,48.52
49871,7.02,-65.96,-12.49,19.39,-106.14,3.41,-91.40,77.41,-87.32,92.99,-27.61,48.23
49943,7.08,-66.21,-12.15,19.05,-105.08,3.71,-86.03,79.63,-82.68,94.68,-27.54,47.86
50015,6.90,-66.55,-12.58,18.57,-104.82,4.16,-81.01,82.30,-78.23,96.90,-27.28,47.11
50087,6.76,-67.21,-12.58,18.04,-104.36,4.57,-75.88,84.09,-73.82,98.07,-27.40,47.57
50159,6.79,-67.01,-12.72,17.77,-104.17,4.98,-71.22,86.12,-69.95,99.27,-27.69,48.38
50231,6.90,-65.94,-12.53,18.51,-103.78,4.93,-65.92,87.87,-65.43,100.97,-27.28,48.07
50303,6.43,-66.20,-12.38,18.15,-102.73,5.70,-60.67,89.31,-60.82,101.99,-26.83,48.30
50375,6.30,-66.02,-12.36,18.14,-102.10,6.44,-55.95,91.00,-56.61,103.25,-26.35,48.45
50447,6.12,-66.06,-12.32,18.11,-101.71,6.89,-51.32,92.84,-52.59,104.51,-26.04,48.54
50519,6.01,-65.99,-12.21,18.29,-101.60,7.42,-47.09,93.97,-48.74,105.49,-25.94,48.89
50591,5.77,-65.54,-12.12,18.65,-100.97,7.66,-42.52,95.38,-44.59,106.76,-25.68,48.87
50663,5.56,-65.35,-12.21,18.69,-100.63,8.33,-38.36,96.81,-40.71,107.81,-25.37,49.11
50735,5.61,-65.07,-11.95,18.82,-100.12,8.69,-33.97,98.42,-36.77,109.04,-25.08,49.07
50807,5.74,-65.09,-11.35,18.74,-99.30,8.86,-29.30,99.75,-32.72,110.35,-24.72,49.26
50879,5.60,-64.85,-11.23,18.95,-98.10,9.67,-25.34,100.69,-28.91,111.06,-24.22,49.37
50951,5.54,-64.98,-10.94,18.76,-97.27,9.99,-21.29,101.94,-25.36,112.01,-23.92,49.40
51023,5.32,-64.88,-11.04,18.70,-96.95,10.51,-17.69,103.30,-22.13,112.99,-23.77,49.27
51095,5.07,-65.05,-11.11,18.56,-96.51,11.13,-13.87,104.72,-18.70,114.06,-23.44,49.27
51167,4.57,-64.89,-11.25,18.50,-96.16,11.97,-10.48,106.00,-15.65,114.90,-23.12,49.29
51239,4.34,-64.77,-11.11,18.70,-95.45,12.34,-6.78,106.83,-12.32,115.48,-22.86,49.61
51311,4.42,-64.73,-10.74,18.56,-94.73,12.59,-2.95,107.97,-9.08,116.37,-22.63,49.51
51383,4.12,-64.81,-10.84,18.41,-94.35,13.15,0.54,109.12,-6.09,117.12,-22.45,49.67
51455,4.02,-64.58,-10.84,18.48,-93.97,13.54,3.96,110.35,-3.07,117.95,-22.28,49.88
51527,3.91,-64.56,-10.70,18.50,-93.70,14.30,7.07,111.89,-0.18,119.18,-22.22,49.53
51599,3.52,-64.85,-11.04,18.35,-92.89,14.89,10.24,113.31,2.83,120.24,-21.85,49.48
51671,3.51,-64.69,-10.92,18.41,-92.75,15.31,13.50,114.63,5.72,121.07,-21.58,49.60
51743,3.33,-64.69,-10.64,18.30,-92.24,15.74,16.80,115.89,8.62,121.98,-21.22,49.50
51815,2.92,-64.67,-10.66,18.31,-91.86,16.32,19.95,117.05,11.44,122.79,-20.85,49.31
51887,2.50,-65.01,-10.60,17.92,-91.70,16.87,23.01,118.47,14.50,123.85,-20.31,49.07
