Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,11.38,-20.63,-12.86,-24.81,-9.82,-12.05,-24.19,44.16,-14.31,25.35,-4.61,41.59
46703,11.01,-20.93,-12.83,-24.21,-9.78,-11.67,-23.90,43.62,-14.24,25.33,-4.66,41.56
46775,10.64,-21.17,-12.79,-23.60,-9.72,-11.32,-23.55,43.03,-14.11,25.38,-4.73,41.55
46847,10.31,-21.53,-12.74,-22.99,-9.66,-10.98,-23.26,42.50,-14.01,25.44,-4.80,41.55
46919,9.94,-21.73,-12.73,-22.35,-9.62,-10.54,-22.97,41.95,-13.92,25.47,-4.88,41.56
46991,9.59,-21.95,-12.72,-21.78,-9.63,-10.16,-22.71,41.39,-13.85,25.52,-4.95,41.57
47063,9.24,-22.19,-12.75,-21.21,-9.64,-9.80,-22.47,40.92,-13.81,25.80,-5.01,42.05
47135,8.57,-21.94,-15.46,-20.00,-11.07,-6.44,-23.19,44.67,-13.29,34.01,-5.64,49.58
47207,8.73,-25.57,-9.57,-17.04,-14.23,-1.32,-21.87,53.79,-10.09,46.67,3.64,57.69
47279,1.89,-30.36,-6.08,-11.31,-28.25,11.79,-28.21,66.88,-12.27,53.70,11.98,63.61
47351,-6.06,-30.03,-0.50,-6.82,-55.80,23.48,-47.66,77.56,-21.04,60.05,18.98,67.71
47423,-12.46,-30.87,-2.50,-1.15,-85.24,32.85,-68.59,86.80,-30.96,62.66,23.17,72.27
47495,-14.61,-30.54,-10.37,5.37,-115.04,35.04,-91.72,94.37,-49.30,66.63,26.70,77.15
47567,-17.56,-28.40,-15.91,13.11,-138.84,36.68,-117.31,100.80,-80.38,76.15,29.51,79.36
47639,-18.49,-26.92,-19.01,17.37,-155.91,37.87,-133.74,103.13,-95.68,83.64,30.79,80.22
47711,-19.11,-24.36,-16.39,20.15,-161.00,39.70,-137.21,105.48,-106.84,89.07,31.16,80.35
47783,-20.04,-22.13,-18.43,21.99,-161.36,41.44,-138.00,107.60,-117.99,94.30,31.00,80.24
47855,-21.60,-21.10,-19.90,23.71,-161.90,42.27,-138.69,109.48,-119.96,98.50,30.00,79.79
47927,-23.42,-19.53,-21.42,25.76,-162.89,42.90,-139.38,110.65,-121.61,102.21,29.23,78.98
47999,-24.72,-18.67,-23.94,27.30,-166.58,43.07,-143.41,111.11,-123.27,104.02,26.96,79.57
48071,-25.60,-18.17,-26.76,28.67,-166.40,43.87,-142.66,112.47,-122.11,106.64,27.02,78.58
48143,-26.66,-18.46,-26.65,28.77,-163.89,44.06,-139.70,112.82,-118.91,108.73,26.55,77.52
48215,-27.73,-18.46,-25.86,28.84,-158.91,44.13,-133.72,112.18,-112.26,109.40,26.56,76.54
48287,-29.49,-19.43,-26.62,28.55,-153.63,44.56,-127.81,111.73,-105.79,109.65,26.19,76.69
48359,-29.24,-19.24,-26.65,28.52,-148.62,44.67,-122.09,111.52,-99.25,110.07,25.53,76.53
48431,-29.70,-19.32,-27.31,28.70,-144.50,44.67,-118.10,111.31,-95.12,110.76,24.39,76.57
48503,-29.43,-19.48,-27.42,28.35,-140.14,44.72,-114.16,110.92,-91.26,111.58,23.16,76.57
48575,-29.64,-19.15,-28.37,28.52,-136.06,44.82,-109.87,110.81,-86.70,112.47,22.50,76.20
48647,-30.33,-19.36,-28.62,28.52,-131.86,45.01,-105.86,110.69,-82.49,113.49,21.68,76.04
48719,-29.97,-19.13,-28.81,28.82,-127.36,45.02,-101.20,110.34,-77.75,114.06,21.15,75.82
48791,-30.25,-19.32,-27.94,28.02,-120.80,45.36,-94.85,110.22,-72.06,114.95,21.04,75.45
48863,-30.00,-19.12,-27.16,28.34,-116.14,45.41,-90.02,110.32,-67.08,116.14,21.03,74.70
