Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-6.15,-35.37,7.40,6.16,-0.35,17.39,-8.57,17.59,-7.33,28.39,-10.77,38.59
46703,-6.13,-35.32,7.15,6.29,-0.45,17.42,-8.52,17.59,-7.33,28.46,-10.78,38.64
46775,-6.14,-35.25,6.89,6.40,-0.55,17.49,-8.50,17.51,-7.35,28.54,-10.78,38.68
46847,-6.13,-35.18,6.64,6.51,-0.64,17.52,-8.47,17.53,-7.34,28.61,-10.78,38.67
46919,-6.17,-35.08,6.38,6.61,-0.73,17.54,-8.41,17.52,-7.35,28.61,-10.78,38.66
46991,-6.16,-35.04,6.14,6.71,-0.83,17.59,-8.38,17.51,-7.35,28.65,-10.80,38.67
47063,-6.15,-34.99,5.91,6.79,-0.91,17.57,-8.36,17.44,-7.35,28.69,-10.80,38.66
47135,-6.17,-34.93,5.64,6.83,-1.03,17.56,-8.37,17.25,-7.40,28.64,-10.82,38.57
47207,-6.13,-34.90,5.31,6.76,-1.11,17.60,-7.80,17.89,-6.90,28.61,-11.78,38.94
47279,-5.97,-38.63,1.52,9.05,-3.34,18.24,-7.51,22.30,-6.97,36.32,-11.58,42.40
47351,-6.06,-42.45,2.72,8.44,0.36,16.68,-39.84,33.83,-42.38,39.57,-13.95,45.54
47423,-5.99,-48.15,4.23,6.47,3.00,15.78,-70.33,29.26,-67.65,32.06,-16.44,44.04
47495,-6.47,-53.97,2.90,1.91,4.00,13.73,-89.13,26.17,-78.93,23.88,-18.96,42.94
47567,-5.11,-59.63,1.25,-1.36,4.93,12.50,-117.08,22.44,-94.75,17.09,-21.11,43.02
47639,-3.34,-63.45,0.65,-2.85,3.58,13.17,-130.95,16.31,-109.42,11.07,-24.21,44.26
47711,-1.44,-66.81,0.17,-2.41,1.67,13.90,-141.30,11.65,-117.92,6.92,-27.17,43.61
