Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,2.13,-73.03,13.18,53.50,-0.41,44.20,7.15,19.20,-3.48,33.76,-11.68,47.54
46703,1.94,-72.53,12.68,52.66,-0.58,43.70,6.84,19.38,-3.56,33.71,-11.66,47.40
46775,1.76,-72.05,12.21,51.78,-0.71,43.10,6.56,19.40,-3.63,33.60,-11.60,47.24
46847,1.56,-71.63,11.74,50.94,-0.86,42.54,6.28,19.47,-3.70,33.54,-11.59,47.08
46919,1.43,-71.23,11.27,50.02,-1.02,41.93,5.99,19.49,-3.79,33.42,-11.55,46.92
46991,1.27,-70.83,10.78,49.19,-1.17,41.38,5.70,19.56,-3.89,33.40,-11.54,46.86
47063,1.13,-70.31,10.27,48.44,-1.35,40.98,5.40,19.68,-4.12,34.05,-11.46,46.91
47135,1.28,-70.36,9.64,47.71,-1.37,40.80,5.33,20.12,-4.08,34.31,-11.56,47.08
47207,1.41,-71.53,7.11,47.37,-4.41,43.38,3.11,23.54,-4.15,38.38,-12.57,51.75
47279,3.91,-76.88,7.15,49.23,-7.73,48.81,-0.47,34.10,-3.75,48.74,-10.95,57.82
47351,5.66,-86.76,-11.42,49.13,-24.78,51.25,-18.37,40.09,-21.71,51.71,-9.39,64.37
47423,9.51,-94.29,-24.85,47.03,-50.22,49.08,-39.16,37.36,-29.27,51.60,-8.26,70.59
47495,14.96,-101.53,-32.13,41.47,-76.22,41.14,-64.31,31.40,-43.46,47.21,-7.28,73.12
47567,18.85,-111.17,-41.46,36.28,-99.63,33.66,-85.05,28.13,-61.14,43.41,-8.46,77.14
47639,22.18,-118.72,-54.49,29.30,-119.74,27.23,-98.23,24.47,-75.10,37.14,-10.81,80.33
47711,26.37,-122.82,-65.50,23.27,-133.69,22.69,-111.95,20.27,-86.27,32.84,-12.65,79.35
47783,29.60,-129.38,-74.75,20.59,-143.18,22.14,-125.06,19.67,-99.39,29.59,-15.15,79.32
47855,33.49,-133.45,-82.21,18.40,-150.55,25.27,-132.82,19.37,-106.30,27.73,-16.98,78.23
47927,35.92,-135.60,-89.95,16.66,-158.02,25.32,-139.64,18.28,-110.13,25.97,-18.57,77.63
47999,37.97,-136.58,-82.42,12.36,-168.34,21.93,-149.44,18.23,-118.77,25.83,-19.32,76.29
48071,37.57,-137.95,-80.70,9.88,-169.89,23.09,-150.67,17.38,-120.13,24.31,-19.93,76.82
48143,37.98,-137.75,-83.29,7.72,-169.82,25.04,-150.20,17.75,-119.95,22.89,-19.99,76.29
48215,36.69,-138.24,-87.79,6.55,-174.59,27.42,-153.80,18.97,-123.48,22.89,-19.96,76.06
48287,36.55,-138.27,-91.43,4.87,-180.00,28.72,-158.24,21.14,-128.26,23.96,-19.79,75.06
48359,36.05,-138.72,-91.09,4.28,-180.00,31.33,-162.24,23.54,-130.06,23.82,-19.19,74.64
48431,34.72,-138.94,-91.33,3.86,-180.00,34.40,-162.55,26.00,-130.49,24.04,-18.44,73.61
48503,34.16,-139.24,-91.45,3.53,-180.00,37.68,-164.19,29.41,-130.97,24.83,-17.52,72.27
48575,33.02,-139.92,-92.33,3.60,-180.00,41.01,-165.88,32.86,-131.72,25.51,-16.44,70.82
48647,30.96,-141.01,-95.31,3.92,-180.00,44.70,-165.37,36.10,-130.56,25.68,-15.24,69.79
48719,29.53,-141.54,-94.27,3.71,-180.00,47.84,-161.21,38.32,-128.04,24.67,-13.86,68.49
48791,25.26,-142.83,-93.29,4.18,-180.00,51.05,-159.74,40.61,-126.97,23.98,-12.80,68.21
48863,21.70,-142.60,-89.09,3.81,-180.00,52.48,-156.43,42.29,-126.28,23.47,-12.05,67.53
48935,19.87,-142.65,-89.23,3.17,-180.00,54.09,-154.80,44.04,-124.70,22.78,-11.42,66.81
49007,18.58,-142.96,-89.28,2.53,-180.00,55.51,-153.54,45.00,-123.87,21.88,-10.79,66.30
49079,21.40,-143.21,-89.55,2.12,-180.00,57.54,-152.14,46.68,-122.66,21.50,-10.32,65.17
49151,17.78,-143.68,-90.23,1.90,-178.84,60.97,-150.82,48.79,-121.34,21.31,-9.89,63.62
49223,14.08,-144.26,-90.53,1.87,-178.08,64.00,-150.06,50.84,-120.43,20.86,-9.46,62.54
49295,10.34,-145.03,-90.91,1.76,-177.74,67.29,-149.70,53.43,-119.48,20.92,-8.65,61.31
49367,7.60,-145.74,-91.17,1.58,-177.10,70.85,-149.07,55.92,-117.98,20.91,-7.62,60.08
49439,4.01,-146.60,-91.34,1.50,-176.25,74.19,-148.45,58.25,-117.00,21.00,-6.48,59.26
49511,0.40,-146.92,-90.75,1.25,-175.41,76.72,-147.49,59.87,-116.07,21.09,-5.50,57.81
49583,-3.18,-147.59,-90.69,1.49,-174.86,78.86,-147.03,60.85,-115.42,20.63,-4.77,57.21
49655,-6.46,-147.73,-90.64,1.19,-174.31,80.87,-146.88,62.43,-115.27,20.71,-4.18,56.21
49727,-9.35,-147.62,-90.74,0.74,-174.10,82.25,-147.02,63.65,-115.29,20.56,-3.68,55.36
49799,-12.24,-147.63,-90.90,0.58,-173.67,84.21,-146.92,65.52,-115.05,20.35,-3.00,54.84
49871,-15.06,-147.18,-90.87,0.40,-173.23,85.84,-146.54,66.83,-114.33,20.12,-2.04,54.35
49943,-18.18,-147.15,-90.57,0.13,-172.62,87.39,-146.17,68.18,-114.03,20.17,-1.46,53.40
50015,-20.97,-147.40,-90.62,0.05,-172.13,89.36,-145.86,70.07,-113.62,19.99,-0.79,52.68
50087,-23.80,-147.49,-90.69,0.04,-171.90,91.32,-145.69,71.59,-113.01,19.98,0.13,51.95
50159,-26.75,-147.67,-90.56,0.04,-171.75,92.99,-145.78,72.83,-112.65,19.97,0.93,51.44
50231,-29.18,-147.50,-90.43,-0.23,-171.45,94.44,-145.67,73.84,-112.38,19.85,1.52,50.87
50303,-31.58,-147.37,-90.52,-0.48,-171.26,95.97,-145.67,75.24,-112.16,19.74,2.11,50.38
50375,-33.85,-147.33,-90.42,-0.75,-170.98,97.49,-145.49,76.67,-111.81,19.50,2.86,50.00
50447,-36.40,-147.06,-90.38,-0.90,-170.76,98.89,-145.43,77.90,-111.42,19.45,3.63,49.55
50519,-38.60,-146.82,-90.22,-1.16,-170.61,100.09,-145.61,79.07,-111.21,19.45,4.26,48.99
50591,-40.91,-146.61,-90.27,-1.26,-170.40,101.34,-145.58,80.27,-110.91,19.29,4.94,48.59
50663,-43.43,-146.63,-90.05,-1.30,-169.97,102.66,-145.38,81.28,-110.38,19.00,5.66,48.26
50735,-45.77,-146.51,-89.86,-1.48,-169.64,104.00,-145.31,82.40,-110.04,18.85,6.30,47.71
50807,-47.84,-146.37,-89.90,-1.62,-169.44,105.25,-145.19,83.50,-109.66,18.77,6.90,47.24
50879,-49.79,-146.17,-89.81,-1.88,-169.17,106.38,-145.10,84.48,-109.36,18.53,7.47,46.85
50951,-51.85,-146.00,-89.79,-2.07,-168.86,107.57,-144.82,85.54,-108.87,18.37,8.13,46.41
51023,-54.05,-145.86,-89.69,-2.31,-168.64,108.66,-144.74,86.56,-108.60,18.37,8.69,45.91
51095,-56.15,-145.65,-89.63,-2.48,-168.40,109.68,-144.51,87.61,-108.19,18.30,9.24,45.51
51167,-58.10,-145.47,-89.50,-2.70,-168.10,110.71,-144.34,88.46,-107.83,18.13,9.78,45.13
51239,-60.14,-145.35,-89.58,-2.83,-167.98,111.94,-144.29,89.43,-107.53,18.05,10.28,44.73
51311,-62.03,-145.24,-89.70,-2.95,-167.97,113.12,-144.36,90.59,-107.43,18.16,10.68,44.16
51383,-63.65,-145.06,-89.82,-3.10,-167.83,114.15,-144.30,91.69,-107.14,18.16,11.13,43.75
51455,-65.43,-144.84,-89.90,-3.19,-167.74,115.21,-144.23,92.78,-106.81,18.07,11.61,43.35
51527,-67.05,-144.64,-89.94,-3.37,-167.60,116.26,-144.15,93.93,-106.52,17.98,12.12,43.01
51599,-68.89,-144.54,-89.97,-3.42,-167.50,117.24,-144.13,94.86,-106.32,17.89,12.48,42.74
51671,-70.48,-144.54,-90.01,-3.64,-167.42,118.34,-144.13,96.11,-106.08,17.93,12.85,42.25
51743,-71.80,-144.51,-90.15,-3.71,-167.35,119.41,-144.16,97.15,-105.90,17.91,13.27,41.88
51815,-73.31,-144.43,-90.20,-3.85,-167.19,120.49,-144.04,98.29,-105.64,17.95,13.67,41.49
51887,-74.78,-144.31,-90.32,-3.96,-167.15,121.53,-144.04,99.40,-105.43,17.92,14.10,41.13
51959,-76.17,-144.13,-90.37,-4.19,-167.09,122.49,-144.04,100.35,-105.29,17.83,14.42,40.78
52031,-77.62,-143.94,-90.49,-4.25,-167.03,123.29,-144.05,101.06,-105.23,17.60,14.79,40.71
52103,-78.93,-143.73,-90.56,-4.36,-166.93,124.02,-143.96,101.80,-105.16,17.52,15.14,40.51
52175,-80.35,-143.38,-90.67,-4.42,-166.92,124.86,-144.19,102.83,-105.27,17.55,15.37,40.12
52247,-81.55,-143.22,-90.77,-4.47,-166.71,125.79,-144.03,103.94,-104.98,17.44,15.84,39.92
52319,-82.95,-143.10,-90.68,-4.50,-166.52,126.66,-143.87,104.83,-104.65,17.34,16.32,39.72
52391,-84.09,-142.89,-90.62,-4.60,-166.29,127.27,-143.74,105.62,-104.37,17.29,16.74,39.46
52463,-85.19,-142.70,-90.70,-4.66,-166.16,127.94,-143.75,106.52,-104.27,17.28,17.09,39.15
52535,-86.32,-142.43,-90.73,-4.66,-166.03,128.53,-143.77,107.15,-104.21,17.26,17.54,39.16
52607,-87.68,-142.32,-90.47,-4.82,-165.68,129.18,-143.64,107.82,-104.10,17.11,17.77,38.92
52679,-88.68,-142.33,-90.54,-5.01,-165.61,129.99,-143.63,108.79,-103.97,16.94,17.97,38.69
52751,-89.77,-142.32,-90.68,-5.18,-165.59,130.77,-143.52,109.77,-103.65,16.83,18.33,38.43
52823,-90.94,-142.32,-90.61,-5.27,-165.27,131.49,-143.11,110.73,-103.18,16.78,18.68,38.19
52895,-92.17,-142.30,-90.71,-5.25,-165.27,132.35,-143.29,111.56,-103.15,16.77,18.95,37.89
52967,-93.18,-142.17,-90.86,-5.23,-165.17,133.05,-143.26,112.19,-103.06,16.68,19.06,37.73
53039,-93.91,-142.13,-91.09,-5.29,-165.28,133.85,-143.47,113.09,-103.00,16.52,19.24,37.57
53111,-94.77,-142.11,-90.96,-5.57,-165.11,134.51,-143.43,113.76,-102.87,16.28,19.52,37.36
53183,-95.91,-142.06,-90.90,-5.69,-164.89,135.07,-143.17,114.52,-102.58,16.22,19.82,37.27
53255,-96.29,-141.68,-91.15,-5.67,-164.95,135.61,-143.32,115.15,-102.56,16.34,20.04,37.00
53327,-96.85,-141.56,-91.27,-5.68,-164.84,136.20,-143.37,115.97,-102.47,16.33,20.32,36.77
53399,-97.73,-141.31,-91.26,-5.71,-164.62,136.84,-143.22,116.73,-102.27,16.26,20.64,36.61
53471,-98.69,-141.16,-91.36,-5.65,-164.57,137.37,-143.23,117.40,-102.13,16.30,20.91,36.38
53543,-99.63,-141.11,-91.39,-5.59,-164.42,137.99,-143.10,118.21,-101.87,16.27,21.22,36.23
53615,-100.83,-141.14,-91.39,-5.51,-164.29,138.53,-143.02,118.90,-101.64,16.30,21.59,36.00
