Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,16.51,-94.86,-22.35,-49.65,-6.48,14.34,-5.29,39.52,-3.10,7.90,-8.61,43.53
46703,16.03,-93.53,-22.08,-48.46,-6.42,14.41,-5.30,39.08,-3.17,8.24,-8.61,43.43
46775,15.53,-92.18,-21.85,-47.28,-6.41,14.54,-5.31,38.69,-3.21,8.60,-8.56,43.36
46847,15.08,-90.87,-21.62,-46.15,-6.40,14.71,-5.33,38.30,-3.25,8.95,-8.52,43.30
46919,14.64,-89.61,-21.39,-45.02,-6.39,14.85,-5.37,37.94,-3.29,9.37,-8.49,43.25
46991,14.17,-88.27,-21.17,-43.90,-6.37,15.03,-5.45,37.68,-3.37,9.78,-8.52,43.34
47063,13.77,-86.90,-21.09,-43.18,-6.54,15.75,-5.41,40.09,-2.67,14.13,-9.69,45.91
47135,12.58,-89.67,-23.50,-40.37,-7.68,19.11,-5.01,48.19,-2.13,26.23,-10.81,54.43
47207,12.55,-98.05,-30.63,-37.11,-6.17,25.31,-6.37,55.89,0.09,34.81,-7.74,63.59
47279,15.84,-103.05,-26.34,-35.25,1.69,34.01,2.48,64.07,7.06,44.31,-5.18,70.78
47351,21.17,-110.79,-27.11,-39.09,12.84,37.14,13.54,68.22,13.87,51.91,-3.44,77.32
47423,25.82,-115.28,-29.64,-44.68,21.24,38.46,21.82,69.76,19.32,55.58,-1.45,79.54
47495,30.40,-120.98,-36.22,-51.92,27.31,37.19,28.16,69.25,24.54,57.63,0.47,80.89
47567,33.76,-124.70,-42.09,-58.17,31.92,34.91,31.88,67.22,27.53,58.20,1.79,80.73
47639,33.09,-126.11,-48.17,-62.00,33.62,33.00,33.48,65.26,29.03,57.39,2.56,79.34
47711,34.86,-126.94,-55.21,-62.96,32.85,30.70,33.37,62.48,29.76,56.09,3.66,77.51
47783,35.93,-127.91,-55.36,-62.43,33.04,29.08,34.48,60.23,31.35,54.50,5.39,75.65
47855,36.81,-127.50,-54.35,-61.66,33.90,27.68,35.87,58.36,33.24,52.17,6.94,73.18
47927,37.33,-126.95,-53.55,-60.41,35.19,25.79,37.64,55.99,35.06,50.25,9.21,71.49
47999,36.77,-125.07,-52.57,-58.79,36.80,25.39,39.45,55.13,36.84,49.23,11.40,70.21
48071,37.01,-122.82,-51.74,-56.66,37.09,24.16,39.96,53.10,37.49,47.65,13.45,69.00
48143,37.01,-121.52,-50.52,-54.71,38.35,23.54,41.26,51.45,39.04,45.73,15.40,66.98
48215,36.21,-120.13,-50.18,-52.77,39.35,22.75,42.55,50.12,40.63,44.52,17.24,65.53
48287,36.03,-118.87,-49.69,-51.32,40.13,21.73,43.49,48.48,41.67,42.94,18.72,63.99
48359,36.41,-117.48,-49.24,-50.32,40.79,21.26,44.15,47.41,42.67,41.85,19.73,62.72
48431,37.46,-116.26,-49.17,-49.81,41.08,20.41,44.71,46.10,43.78,40.81,20.56,61.60
48503,38.10,-114.89,-49.21,-49.30,41.44,19.71,45.37,44.91,44.76,39.96,21.78,60.84
48575,38.87,-113.05,-48.73,-48.92,42.23,19.50,46.38,44.15,46.47,39.17,22.83,60.06
