Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-2.87,-61.04,-1.96,-4.45,1.70,0.26,-4.34,8.98,-8.50,23.61,-2.47,30.11
46703,-2.93,-60.47,-2.04,-4.17,1.56,0.49,-4.42,9.06,-8.50,23.76,-2.64,30.30
46775,-3.04,-59.86,-2.12,-3.83,1.44,0.73,-4.47,9.07,-8.48,23.82,-2.82,30.48
46847,-3.15,-59.26,-2.21,-3.58,1.31,0.92,-4.56,9.17,-8.45,23.92,-3.03,30.67
46919,-3.22,-58.65,-2.28,-3.26,1.14,1.14,-4.62,9.21,-8.45,24.08,-3.11,30.82
46991,-3.33,-58.06,-2.42,-2.95,0.99,1.49,-4.69,9.42,-8.45,24.16,-3.35,31.05
47063,-3.62,-57.62,-3.07,-1.71,-0.24,3.61,-4.57,11.53,-8.44,24.81,-3.55,33.64
47135,-4.12,-59.01,-3.83,-0.49,-1.18,6.36,-4.81,17.97,-15.59,38.58,-2.40,40.52
47207,-3.47,-63.80,-1.37,-1.36,0.03,7.94,-7.80,22.66,-13.11,41.40,4.63,42.64
47279,-4.66,-75.09,3.50,-4.92,5.44,8.51,-24.15,21.78,-27.93,38.09,14.98,45.20
47351,-5.97,-83.32,11.04,-9.01,12.59,8.24,-34.80,21.55,-44.44,31.88,28.40,46.21
47423,-4.94,-90.43,20.63,-14.73,20.07,6.09,-50.57,20.03,-54.99,27.74,38.94,47.62
47495,-8.39,-91.80,33.25,-17.45,31.17,6.12,-56.92,19.12,-61.74,24.27,44.26,49.75
47567,-9.38,-92.62,45.36,-20.96,41.42,4.21,-63.33,15.87,-67.79,21.74,47.46,51.10
47639,-13.20,-90.18,54.03,-22.58,48.27,4.13,-67.37,13.79,-68.44,18.92,50.23,52.06
47711,-17.84,-86.35,60.54,-23.48,53.07,2.60,-71.66,12.21,-69.29,16.78,52.64,52.08
47783,-26.79,-81.49,64.71,-25.16,58.16,0.26,-70.68,12.07,-61.80,16.42,55.13,50.33
47855,-33.43,-77.51,70.93,-25.59,63.92,-0.30,-73.37,10.89,-61.40,18.24,56.91,49.13
47927,-36.85,-74.48,75.06,-25.46,69.71,-0.46,-75.46,11.65,-61.75,19.60,57.93,48.60
47999,-23.14,-77.42,77.08,-25.25,72.53,-0.22,-76.67,10.93,-62.42,19.88,58.65,47.78
48071,-24.29,-75.87,78.54,-24.25,73.27,0.83,-78.35,9.46,-62.75,20.07,59.48,47.70
48143,-26.50,-74.26,80.52,-23.48,76.97,1.11,-78.24,7.66,-62.13,19.63,60.03,47.25
48215,-27.57,-73.05,82.27,-23.02,79.22,1.23,-78.82,6.69,-61.87,19.39,60.69,46.84
48287,-27.30,-71.48,83.29,-22.57,80.38,0.94,-78.83,5.62,-61.76,19.36,61.20,46.16
48359,-27.39,-70.09,83.76,-21.77,80.21,1.15,-78.72,5.49,-60.62,19.23,61.51,45.77
48431,-26.97,-68.28,83.05,-21.58,80.08,1.29,-78.52,5.16,-59.51,18.48,63.07,45.56
48503,-25.28,-65.70,84.01,-22.08,80.88,0.40,-77.78,5.15,-58.49,18.63,64.29,45.00
48575,-24.29,-64.20,83.21,-22.68,81.28,-0.19,-77.79,5.25,-57.62,18.63,65.01,44.30
48647,-23.02,-63.39,82.53,-23.77,82.56,-1.85,-77.15,5.53,-56.34,18.61,66.24,43.83
48719,-22.76,-61.45,81.94,-24.24,84.22,-2.60,-76.84,5.72,-55.00,18.88,67.39,42.97
48791,-21.02,-60.10,81.52,-24.99,84.79,-3.32,-77.27,5.92,-54.80,19.28,67.93,42.53
48863,-19.72,-58.56,81.15,-24.26,84.91,-2.55,-77.58,5.47,-55.09,18.90,68.27,42.83
48935,-18.17,-56.70,81.65,-23.55,85.35,-2.14,-76.21,4.92,-53.79,17.66,69.25,42.66
49007,-16.47,-55.20,82.58,-23.36,85.47,-2.19,-75.92,4.74,-52.62,17.70,70.02,41.93
49079,-15.29,-54.10,82.61,-23.34,85.99,-2.32,-75.84,4.69,-51.66,18.00,70.49,40.74
49151,-14.78,-53.33,82.11,-23.62,86.27,-2.87,-75.87,4.96,-51.12,18.37,70.92,39.88
49223,-14.36,-52.64,81.61,-23.86,86.43,-3.26,-75.62,5.55,-50.19,18.62,71.59,39.14
49295,-13.56,-51.54,82.39,-23.29,86.80,-2.99,-75.51,5.63,-49.53,18.84,72.21,38.46
49367,-12.69,-50.93,82.27,-23.37,87.14,-3.24,-75.22,5.82,-48.93,19.00,72.77,37.81
49439,-12.24,-50.06,81.82,-23.45,87.34,-3.36,-75.19,5.85,-48.31,19.15,73.35,37.13
49511,-11.26,-48.79,81.84,-23.49,87.56,-3.89,-75.50,6.14,-48.08,19.51,73.81,36.54
49583,-10.77,-47.74,81.88,-23.14,88.04,-3.72,-75.44,6.04,-47.54,19.54,74.27,35.92
49655,-9.90,-46.99,81.68,-23.18,88.08,-3.86,-75.40,6.03,-47.00,19.55,74.71,35.46
49727,-9.07,-46.16,81.44,-23.15,87.84,-4.09,-75.66,6.27,-46.63,19.76,75.22,35.06
49799,-8.24,-45.15,81.43,-22.87,87.89,-3.89,-75.75,6.20,-46.39,19.85,75.47,34.55
49871,-7.31,-44.60,80.88,-22.73,87.89,-3.95,-75.96,6.33,-46.16,19.78,75.47,33.94
49943,-6.01,-44.04,80.38,-22.64,87.72,-3.92,-76.10,6.04,-45.94,19.62,75.70,33.37
50015,-5.27,-43.67,79.72,-22.43,87.33,-3.83,-76.38,5.96,-45.66,19.67,76.10,33.04
50087,-4.50,-42.90,79.65,-22.18,86.98,-3.87,-76.78,6.15,-45.52,20.06,76.34,32.42
50159,-4.11,-42.43,79.49,-21.85,86.75,-3.65,-76.89,6.12,-45.22,20.07,76.71,32.02
50231,-3.41,-41.79,79.70,-21.63,86.66,-3.46,-77.08,5.99,-45.04,20.14,77.15,31.60
50303,-2.89,-41.16,79.34,-21.61,86.50,-3.31,-77.23,5.90,-44.86,20.24,77.48,31.26
50375,-2.61,-40.76,78.94,-21.38,86.23,-3.31,-77.51,6.11,-44.64,20.40,77.80,30.87
50447,-2.06,-40.08,78.95,-21.09,86.25,-3.19,-77.56,6.07,-44.36,20.46,78.22,30.37
50519,-1.67,-39.42,78.88,-20.95,86.29,-3.19,-77.08,6.35,-43.12,20.54,78.99,29.01
50591,-1.47,-38.79,78.45,-21.82,86.28,-3.96,-77.24,6.79,-42.82,21.11,79.23,28.40
50663,-1.21,-38.30,78.24,-21.53,86.41,-3.87,-77.30,6.48,-42.68,21.13,79.50,28.12
50735,-0.81,-37.67,78.25,-21.21,86.59,-3.57,-77.34,6.36,-42.34,21.13,79.99,27.95
50807,-0.42,-36.91,78.40,-20.91,86.74,-3.38,-77.33,6.26,-42.05,21.20,80.45,27.74
50879,0.01,-36.26,78.45,-20.81,86.99,-3.20,-77.23,6.06,-41.86,21.10,80.81,27.64
50951,0.48,-35.63,78.58,-20.55,87.04,-3.06,-77.24,5.93,-41.49,21.00,81.17,27.34
51023,1.17,-35.01,78.82,-20.34,87.08,-3.13,-77.60,6.19,-41.32,21.36,81.36,26.60
51095,1.59,-34.86,78.61,-20.21,86.85,-3.20,-77.78,6.49,-40.99,21.64,81.63,26.08
51167,1.98,-34.57,78.54,-20.14,86.86,-3.24,-77.77,6.43,-40.78,21.75,81.89,25.88
51239,2.26,-34.10,78.48,-19.86,86.76,-3.07,-78.02,6.37,-40.72,21.87,82.15,25.68
51311,2.61,-33.67,78.36,-19.62,86.76,-2.96,-78.15,6.37,-40.70,21.85,82.26,25.48
51383,2.97,-33.28,78.18,-19.41,86.73,-2.88,-78.27,6.32,-40.54,21.95,82.55,25.21
51455,3.33,-32.74,78.37,-19.20,86.86,-2.73,-78.35,6.39,-40.43,21.90,82.82,25.42
51527,3.97,-31.65,78.90,-18.37,86.98,-2.01,-78.16,5.91,-40.23,21.05,82.74,25.20
51599,4.79,-31.52,78.61,-18.46,86.82,-2.23,-78.61,5.94,-40.38,21.13,82.85,24.95
51671,5.18,-31.24,78.61,-18.33,86.89,-2.17,-78.78,6.01,-40.15,21.43,83.32,24.71
51743,5.27,-30.60,78.58,-18.16,86.93,-2.11,-78.78,6.03,-39.94,21.48,83.65,24.57
51815,5.69,-30.02,78.61,-17.94,87.00,-2.13,-78.91,6.11,-39.79,21.58,83.78,24.40
51887,6.09,-29.57,78.61,-17.82,87.15,-2.19,-78.74,6.12,-39.46,21.58,84.01,24.17
51959,6.41,-29.08,78.60,-17.43,87.10,-1.73,-78.92,5.82,-39.48,21.44,84.36,24.12
52031,6.61,-28.30,78.52,-17.33,87.14,-1.67,-78.89,5.86,-39.37,21.63,84.59,23.90
52103,6.76,-27.94,78.35,-17.20,87.14,-1.65,-78.97,5.85,-39.14,21.67,84.92,23.64
52175,7.15,-27.51,78.26,-17.20,87.29,-1.71,-78.99,5.88,-38.93,21.78,85.12,23.35
52247,7.40,-27.23,78.15,-17.21,87.34,-1.81,-79.05,6.00,-38.74,21.86,85.38,23.17
52319,7.71,-26.84,78.23,-16.94,87.40,-1.59,-79.15,5.79,-38.71,21.99,85.62,22.90
52391,7.87,-26.57,77.83,-16.94,87.38,-1.71,-79.26,6.02,-38.40,22.26,85.74,22.69
52463,8.11,-26.29,77.77,-16.86,87.39,-1.78,-79.23,6.09,-38.16,22.34,85.89,22.58
52535,8.40,-26.03,77.68,-16.76,87.40,-1.78,-79.29,6.11,-38.01,22.37,86.05,22.47
52607,8.73,-25.62,77.78,-16.58,87.47,-1.75,-79.25,6.13,-37.83,22.44,86.21,22.32
52679,9.10,-25.29,77.97,-16.43,87.54,-1.68,-79.32,6.20,-37.69,22.62,86.37,22.22
52751,8.93,-25.06,77.66,-16.18,87.27,-1.54,-79.45,6.19,-37.48,22.65,86.56,21.99
52823,9.42,-24.66,77.87,-15.99,87.31,-1.42,-79.58,6.20,-37.37,22.74,86.64,21.80
52895,9.81,-24.36,77.90,-15.81,87.43,-1.36,-79.46,6.22,-37.18,22.69,86.82,21.75
52967,10.19,-23.95,77.99,-15.63,87.48,-1.31,-79.42,6.15,-36.93,22.58,87.08,21.65
53039,10.64,-23.55,78.04,-15.64,87.47,-1.25,-79.59,6.16,-36.89,22.66,87.22,21.44
53111,10.89,-23.31,78.06,-15.58,87.51,-1.26,-79.52,6.19,-36.66,22.68,87.36,21.27
53183,11.09,-23.01,77.90,-15.50,87.42,-1.18,-79.59,6.16,-36.52,22.75,87.50,21.07
53255,11.46,-22.77,77.90,-15.36,87.36,-1.07,-79.70,6.19,-36.43,22.82,87.50,20.99
53327,11.75,-22.61,77.81,-15.24,87.28,-1.02,-79.74,6.26,-36.30,22.87,87.66,20.90
53399,12.00,-22.30,77.85,-15.22,87.37,-1.06,-79.72,6.36,-36.17,22.90,87.77,20.73
53471,12.23,-22.06,77.83,-15.20,87.50,-1.13,-79.63,6.48,-35.90,23.05,87.91,20.64
53543,12.72,-21.80,77.79,-15.10,87.88,-1.30,-79.56,6.15,-35.79,22.96,88.15,20.80
53615,12.89,-21.22,77.94,-14.97,88.05,-1.38,-79.27,6.18,-35.38,22.91,88.39,20.61
