Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-28.05,-45.41,-28.55,-6.32,-0.29,-14.96,1.71,-9.92,-0.26,34.06,-7.45,39.88
46703,-27.62,-45.13,-28.07,-5.96,-0.32,-14.38,1.71,-9.69,-0.24,33.92,-7.57,39.89
46775,-27.21,-44.85,-27.61,-5.61,-0.35,-13.82,1.70,-9.45,-0.24,33.79,-7.68,39.87
46847,-26.78,-44.55,-27.15,-5.32,-0.36,-13.26,1.70,-9.21,-0.23,33.66,-7.74,39.85
46919,-26.39,-44.27,-26.68,-5.00,-0.39,-12.67,1.70,-8.95,-0.23,33.53,-7.82,39.82
46991,-26.00,-44.02,-26.24,-4.70,-0.40,-12.11,1.68,-8.72,-0.25,33.41,-7.93,39.83
47063,-25.63,-43.71,-25.78,-4.31,-0.43,-11.56,1.65,-8.42,-0.25,33.31,-7.97,39.85
47135,-25.30,-43.41,-25.06,-4.18,-0.34,-11.06,1.45,-7.56,-0.45,33.75,-7.88,40.15
47207,-24.52,-43.63,-26.28,-5.35,-2.01,-9.51,0.07,-5.31,-2.13,35.42,-7.94,41.67
47279,-25.25,-44.59,-25.78,-5.56,-3.46,-7.44,-3.08,-0.20,-6.44,40.95,-7.47,44.89
47351,-28.90,-47.25,-23.41,-6.13,-1.28,-4.12,-7.03,6.72,-8.68,45.14,-5.12,48.30
47423,-33.19,-50.76,-20.88,-6.22,-1.14,0.19,-28.31,15.30,-28.03,49.69,-3.45,52.62
47495,-33.30,-53.59,-13.59,-7.43,2.60,5.55,-47.12,18.54,-49.07,46.25,1.17,55.70
47567,-38.13,-57.66,-7.07,-8.91,9.10,9.71,-59.50,12.70,-64.31,40.98,6.31,59.29
47639,-39.22,-58.08,-0.05,-10.98,15.03,11.96,-68.59,9.95,-74.48,35.06,10.92,62.68
47711,-41.16,-56.29,8.59,-14.40,19.67,12.50,-75.21,7.09,-77.91,30.03,14.79,64.72
47783,-38.81,-55.27,16.35,-17.95,22.71,12.47,-82.11,3.26,-78.94,24.63,19.35,66.32
47855,-36.87,-53.39,24.28,-21.74,28.52,11.51,-81.88,0.59,-76.75,20.37,23.34,66.36
47927,-33.21,-51.92,32.02,-26.01,32.37,8.85,-81.55,-2.12,-73.37,16.59,25.78,65.51
47999,-31.86,-51.00,39.28,-30.28,37.99,5.51,-79.97,-3.64,-70.38,13.74,27.79,63.97
48071,-31.27,-49.67,44.42,-33.96,42.30,2.44,-76.76,-5.44,-68.10,11.88,30.22,62.68
48143,-30.69,-47.58,48.61,-36.38,45.78,1.22,-74.03,-5.26,-65.88,11.67,32.20,61.98
48215,-28.42,-46.48,50.67,-38.09,47.77,-0.01,-70.81,-6.25,-63.21,10.76,34.14,61.19
48287,-28.46,-43.26,52.02,-39.04,49.56,-0.33,-69.92,-7.52,-61.74,9.40,36.06,60.84
48359,-28.10,-40.99,53.74,-39.84,51.22,-0.85,-69.15,-7.90,-60.96,8.96,37.56,60.01
48431,-28.78,-40.02,54.15,-40.04,53.02,-0.75,-68.70,-8.08,-60.15,9.08,38.88,59.30
48503,-29.55,-38.73,54.58,-40.18,54.59,-0.95,-67.98,-8.58,-58.43,9.09,40.08,58.50
48575,-28.62,-38.36,54.92,-40.44,55.96,-1.38,-67.09,-9.27,-56.72,9.02,41.47,58.13
