Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-17.70,-45.11,-9.03,-4.86,-17.43,7.66,-14.56,20.69,-9.11,26.29,-9.39,37.26
46703,-17.48,-44.87,-9.02,-4.51,-17.30,7.70,-14.49,20.56,-9.10,26.26,-9.48,37.21
46775,-17.27,-44.64,-9.00,-4.19,-17.17,7.70,-14.44,20.48,-9.10,26.30,-9.53,37.18
46847,-17.09,-44.37,-8.97,-3.77,-17.01,7.77,-14.34,20.35,-9.11,26.32,-9.56,37.16
46919,-16.91,-44.11,-8.94,-3.41,-16.87,7.82,-14.27,20.19,-9.12,26.33,-9.58,37.16
46991,-16.73,-43.89,-9.05,-3.43,-16.85,7.57,-14.22,19.86,-9.17,26.25,-9.98,37.25
47063,-16.38,-44.16,-10.93,-3.22,-18.83,10.58,-14.89,22.79,-9.35,28.45,-10.05,42.55
47135,-18.16,-46.57,-8.81,-0.12,-26.83,21.07,-23.31,41.18,-15.15,43.20,-5.24,59.52
47207,-9.95,-43.06,-8.46,6.92,-54.70,28.76,-51.90,46.96,-38.27,45.43,-3.27,77.33
47279,5.60,-32.65,-16.36,12.28,-79.56,23.73,-70.75,43.78,-56.26,42.83,-5.98,86.44
47351,9.01,-27.26,-19.96,6.97,-113.33,15.13,-101.54,42.09,-87.80,32.12,-8.43,94.05
47423,21.69,-21.42,-27.67,-0.69,-137.13,7.49,-123.99,35.45,-119.54,21.27,-10.73,99.05
47495,35.17,-18.44,-35.95,-6.39,-152.75,3.26,-138.15,29.03,-132.61,12.89,-12.26,102.23
47567,46.13,-16.41,-40.75,-11.56,-161.87,3.49,-148.94,27.15,-142.95,8.00,-12.82,103.67
47639,51.40,-15.29,-42.04,-14.55,-169.09,4.51,-157.18,26.35,-147.06,6.45,-12.27,104.30
47711,55.11,-12.31,-44.91,-17.48,-177.95,5.80,-163.99,24.64,-152.95,4.01,-11.58,105.01
47783,56.59,-10.25,-47.75,-19.24,-180.00,8.32,-169.04,24.98,-154.85,2.79,-10.88,105.26
47855,57.79,-6.90,-50.13,-21.17,-180.00,11.81,-172.86,26.51,-159.29,2.60,-10.02,104.51
47927,59.03,-6.44,-49.97,-21.89,-180.00,15.83,-178.07,28.12,-163.88,2.03,-8.94,104.18
47999,59.58,-5.35,-50.91,-23.11,-180.00,20.25,-180.00,31.16,-167.75,2.91,-7.76,103.29
48071,60.30,-4.59,-52.59,-23.45,-180.00,23.19,-180.00,33.25,-169.85,3.52,-6.44,102.06
48143,60.87,-4.32,-52.65,-23.75,-180.00,26.95,-180.00,36.80,-172.07,5.34,-5.31,100.36
48215,61.08,-3.87,-53.57,-24.04,-180.00,29.98,-180.00,39.55,-173.33,6.79,-3.93,98.86
48287,62.39,-4.10,-52.54,-23.89,-180.00,33.15,-180.00,42.63,-173.96,8.05,-2.18,97.76
48359,64.11,-3.99,-51.46,-23.73,-180.00,36.24,-180.00,45.87,-174.04,10.12,-0.38,95.63
48431,65.10,-5.57,-51.19,-23.69,-180.00,39.05,-180.00,47.98,-174.16,10.76,1.42,95.09
48503,66.40,-5.86,-49.23,-23.25,-180.00,41.66,-180.00,50.63,-174.43,12.47,3.36,93.73
