Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-7.67,-46.53,-1.12,2.48,-8.17,-0.49,-12.80,7.72,-7.76,26.51,-10.18,38.08
46703,-7.66,-46.38,-1.32,2.55,-8.16,-0.24,-12.72,7.92,-7.73,26.47,-10.21,38.08
46775,-7.65,-46.21,-1.52,2.58,-8.15,0.02,-12.65,8.12,-7.70,26.45,-10.23,38.08
46847,-7.62,-46.04,-1.72,2.66,-8.15,0.32,-12.58,8.38,-7.68,26.45,-10.21,38.05
46919,-7.63,-45.90,-1.91,2.67,-8.12,0.52,-12.50,8.57,-7.64,26.36,-10.23,38.02
46991,-7.62,-45.75,-2.12,2.67,-8.14,0.76,-12.42,8.76,-7.61,26.30,-10.27,38.00
47063,-7.60,-45.62,-2.30,2.67,-8.13,0.97,-12.37,8.94,-7.59,26.21,-10.22,37.80
47135,-7.64,-45.87,-2.64,2.60,-8.25,2.51,-12.28,8.94,-6.55,28.34,-10.30,38.54
47207,-7.89,-47.11,-7.71,3.53,-14.12,6.32,-18.17,17.57,4.39,37.75,-10.13,46.10
47279,-7.40,-52.18,-8.61,6.52,-16.29,10.84,-23.85,23.10,14.66,48.71,-0.98,51.21
47351,-3.12,-60.30,-16.30,7.07,-46.72,11.19,-51.31,23.92,24.76,58.31,8.41,53.73
47423,4.05,-68.07,-26.28,5.13,-62.31,9.57,-65.52,25.00,25.59,67.35,16.54,56.78
47495,13.06,-73.79,-38.97,3.56,-69.88,6.07,-72.11,22.11,22.14,72.77,22.07,58.47
47567,21.12,-78.12,-44.87,4.47,-72.72,5.05,-74.60,18.33,20.97,75.54,26.43,59.42
47639,27.46,-82.13,-52.60,2.05,-79.76,0.71,-82.16,11.65,20.64,76.99,30.25,60.52
47711,33.03,-84.47,-54.48,0.53,-83.17,0.15,-87.19,9.88,18.97,76.43,33.26,60.74
47783,37.28,-86.36,-59.36,1.79,-87.07,-0.62,-93.32,7.57,19.21,76.27,34.96,62.12
47855,40.63,-86.36,-63.90,2.31,-90.80,-0.59,-98.93,8.55,22.94,74.39,36.44,61.24
47927,42.74,-87.02,-71.55,3.60,-96.82,-0.81,-103.50,9.07,30.20,73.87,37.09,59.95
47999,44.20,-87.06,-74.26,5.13,-100.62,0.25,-108.56,9.62,35.81,72.27,37.77,59.33
48071,45.83,-86.67,-75.58,5.33,-100.03,0.65,-107.27,9.61,43.07,71.05,38.89,58.51
48143,48.10,-86.33,-75.96,5.57,-100.02,0.80,-106.35,9.76,47.35,70.27,39.65,57.59
48215,49.32,-85.91,-76.30,5.91,-100.19,1.32,-105.95,10.46,48.56,68.98,40.45,56.58
48287,50.75,-85.60,-75.91,6.15,-98.66,1.88,-104.56,11.41,50.03,67.99,41.92,55.88
48359,53.26,-84.81,-75.65,5.93,-97.99,1.65,-103.03,11.10,51.71,67.62,43.20,55.42
48431,55.69,-84.48,-76.29,5.88,-98.08,2.35,-102.98,11.23,52.81,67.91,45.15,54.80
48503,57.60,-84.44,-75.26,5.56,-96.99,2.10,-101.77,10.63,53.66,67.80,46.42,54.21
48575,59.32,-84.62,-74.62,6.02,-97.27,2.77,-101.81,10.92,53.40,67.87,46.62,54.51
48647,61.57,-83.92,-74.76,5.89,-97.12,3.06,-101.49,11.82,53.43,66.10,47.23,53.35
