Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-3.78,-39.72,-19.27,20.42,-18.57,16.64,-9.54,12.68,-12.13,25.64,-15.60,38.79
46703,-3.86,-39.52,-19.10,20.15,-18.37,16.59,-9.54,12.89,-12.08,25.84,-15.49,38.75
46775,-3.96,-39.28,-18.94,19.90,-18.15,16.49,-9.53,13.03,-12.04,26.03,-15.40,38.71
46847,-4.05,-39.02,-18.76,19.67,-17.94,16.42,-9.53,13.18,-12.00,26.22,-15.30,38.67
46919,-4.16,-38.75,-18.61,19.44,-17.74,16.36,-9.54,13.38,-11.95,26.38,-15.22,38.62
46991,-4.25,-38.52,-18.48,19.20,-17.55,16.27,-9.54,13.56,-11.91,26.56,-15.14,38.58
47063,-4.31,-38.36,-18.37,18.78,-17.34,16.12,-9.33,13.05,-11.20,26.34,-16.33,41.21
47135,-2.85,-40.66,-23.42,21.52,-25.92,20.89,-15.58,24.37,-18.54,38.41,-18.15,49.25
47207,0.67,-48.11,-34.20,20.45,-35.80,20.48,-24.30,23.42,-23.69,36.98,-9.11,50.25
47279,10.45,-53.00,-56.76,17.89,-65.43,16.45,-50.19,18.66,-39.87,35.29,0.47,55.99
47351,24.28,-57.43,-80.65,19.56,-90.37,13.11,-68.79,16.34,-50.46,31.26,8.39,59.82
47423,34.65,-60.55,-95.85,21.48,-109.27,11.31,-81.38,18.81,-56.67,29.86,14.67,62.25
47495,43.57,-61.65,-107.06,23.06,-127.09,11.51,-93.10,22.77,-67.74,30.64,19.85,64.35
47567,49.16,-62.26,-114.06,23.66,-134.47,11.74,-99.07,24.78,-74.66,28.69,24.98,66.27
47639,52.51,-63.70,-120.24,23.51,-142.18,13.37,-106.38,25.43,-82.95,26.09,29.38,67.88
47711,58.03,-64.70,-126.45,23.34,-147.77,15.00,-113.71,26.35,-89.29,25.01,33.03,69.55
47783,61.10,-64.84,-133.55,23.70,-155.25,17.45,-121.79,28.61,-95.82,25.40,35.56,71.13
47855,60.02,-64.23,-139.63,24.37,-161.12,20.10,-127.07,31.54,-99.15,26.78,37.49,71.41
47927,56.98,-63.34,-143.71,25.73,-165.82,23.11,-131.73,35.08,-101.86,27.85,38.94,71.36
47999,47.70,-62.45,-145.14,28.03,-167.14,26.97,-133.22,38.52,-103.23,28.96,40.55,71.08
48071,39.68,-59.18,-146.16,30.87,-167.93,30.07,-133.13,41.86,-102.82,30.14,42.29,70.29
48143,35.36,-56.34,-146.58,33.48,-168.42,32.74,-133.20,44.79,-102.10,30.87,43.26,70.14
48215,33.43,-54.47,-146.10,36.64,-168.19,35.98,-133.37,47.52,-102.18,30.96,44.26,69.85
48287,32.85,-52.80,-145.57,39.11,-167.47,39.27,-133.25,50.25,-101.79,30.98,45.25,69.52
48359,32.71,-50.76,-144.80,41.44,-166.72,42.25,-132.92,53.02,-101.19,30.93,46.46,69.22
48431,32.07,-48.80,-143.91,43.66,-166.12,44.74,-132.63,55.11,-100.53,30.57,47.48,68.78
48503,31.27,-47.30,-143.79,45.43,-165.81,47.01,-132.30,56.86,-99.57,29.58,48.27,68.55
48575,32.19,-45.67,-142.12,47.54,-163.50,50.22,-129.02,58.53,-95.88,29.32,48.96,69.04
48647,35.46,-43.37,-141.16,48.63,-162.49,52.57,-129.54,60.55,-96.42,29.31,49.85,68.42
48719,35.60,-42.34,-141.11,50.42,-162.45,54.76,-130.11,62.53,-97.16,29.26,50.72,67.59
48791,35.65,-41.24,-141.69,51.81,-162.87,56.77,-130.75,64.65,-97.24,29.31,51.70,66.78
48863,36.00,-40.16,-142.15,53.21,-163.79,58.40,-132.03,66.45,-97.98,29.33,52.40,65.93
48935,36.51,-39.64,-142.23,55.09,-164.12,60.65,-132.99,68.62,-98.69,29.54,53.11,64.98
49007,37.06,-38.93,-142.03,56.88,-163.92,62.82,-133.36,70.76,-98.89,29.69,53.81,63.97
49079,36.74,-38.30,-142.14,58.72,-163.72,65.04,-133.11,72.87,-98.18,29.73,54.61,62.77
49151,37.69,-37.82,-141.92,60.65,-163.61,67.05,-133.21,74.71,-97.87,29.59,55.37,62.08
49223,38.87,-37.15,-140.14,63.00,-162.14,69.55,-131.91,76.60,-97.20,29.36,56.06,61.55
49295,39.89,-36.37,-139.70,64.51,-161.82,71.56,-131.92,78.41,-96.86,29.31,56.75,60.66
49367,40.50,-35.66,-139.53,66.00,-161.75,73.38,-132.19,80.12,-96.88,29.13,57.59,60.03
49439,41.02,-34.91,-139.07,67.31,-161.42,75.12,-132.67,81.67,-97.26,28.96,58.35,59.35
49511,41.26,-34.24,-138.75,68.58,-161.03,76.95,-132.82,83.32,-97.40,28.87,59.03,58.63
49583,41.31,-33.60,-138.87,69.77,-161.07,78.59,-133.04,84.85,-97.36,28.76,59.63,57.96
49655,41.96,-33.19,-138.93,70.91,-161.34,80.22,-133.59,86.42,-97.57,28.66,60.13,57.31
49727,42.70,-32.66,-138.55,72.42,-161.13,82.05,-133.84,87.94,-97.79,28.43,60.76,56.75
49799,43.11,-32.02,-138.34,73.70,-160.88,83.60,-133.85,89.26,-97.78,28.16,61.39,56.37
49871,43.36,-31.28,-138.34,74.79,-160.90,85.11,-134.18,90.61,-97.89,27.99,62.08,55.77
49943,44.03,-30.82,-137.52,76.10,-160.52,86.38,-134.59,91.58,-98.39,27.94,63.17,55.04
50015,43.93,-29.94,-137.69,76.99,-160.61,87.82,-134.51,93.25,-97.66,28.37,64.05,54.33
50087,44.55,-29.38,-137.48,78.18,-160.55,89.24,-134.74,94.66,-97.56,28.51,64.83,53.70
50159,44.97,-28.88,-137.00,79.37,-160.30,90.94,-134.90,96.18,-97.68,28.62,65.33,53.09
50231,45.16,-28.29,-136.78,80.32,-160.02,92.38,-134.91,97.48,-97.75,28.63,65.83,52.48
