Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,8.20,-20.44,-25.36,-8.52,-25.09,-2.91,-25.23,32.93,-8.02,17.04,-0.10,39.19
46703,7.75,-20.42,-25.25,-8.22,-24.84,-2.57,-24.98,32.94,-8.13,17.28,-0.19,39.27
46775,7.33,-20.31,-25.14,-7.85,-24.59,-2.23,-24.73,32.99,-8.23,17.64,-0.20,39.37
46847,6.94,-20.17,-25.05,-7.42,-24.39,-1.84,-24.53,33.11,-8.32,18.01,-0.26,39.47
46919,6.60,-20.21,-24.94,-7.08,-24.11,-1.46,-24.29,33.04,-8.42,18.27,-0.33,39.55
46991,6.27,-20.27,-24.82,-6.80,-23.87,-1.28,-24.08,32.97,-8.51,18.49,-0.45,39.63
47063,5.96,-20.29,-24.73,-6.60,-23.65,-1.07,-23.88,32.89,-8.60,18.78,-0.53,39.79
47135,5.64,-20.15,-24.66,-6.22,-23.48,-0.82,-23.72,32.86,-8.77,18.96,-0.84,40.20
47207,5.47,-20.46,-25.35,-5.44,-25.03,0.76,-23.90,35.40,-10.93,19.91,-2.84,49.95
47279,2.01,-26.25,-38.36,1.64,-44.80,7.73,-35.05,47.94,-20.99,27.30,-2.19,55.39
47351,6.06,-27.58,-43.17,-0.03,-58.05,8.36,-48.47,47.09,-28.79,29.35,3.02,59.53
47423,9.76,-32.69,-41.58,-5.44,-62.15,0.88,-46.65,37.80,-24.46,18.21,8.33,59.26
47495,7.94,-41.74,-40.52,-14.63,-63.37,-9.30,-44.61,25.37,-18.24,4.69,13.95,59.00
47567,4.29,-44.18,-41.83,-18.25,-70.83,-16.31,-48.68,18.21,-20.38,3.01,17.50,57.27
47639,-4.48,-39.76,-56.01,-18.10,-83.84,-24.06,-56.48,14.89,-25.24,0.14,22.04,56.01
47711,-16.41,-26.35,-66.10,-18.49,-96.82,-26.61,-66.76,12.58,-32.23,-0.55,25.82,55.92
47783,-25.70,-16.31,-73.80,-18.78,-104.28,-26.21,-74.23,11.23,-37.01,-0.59,27.81,55.67
47855,-29.74,-11.16,-77.75,-18.28,-107.93,-25.23,-77.82,10.84,-39.67,-0.65,29.51,55.03
47927,-30.15,-8.57,-79.35,-17.78,-110.32,-24.24,-80.91,11.10,-41.82,0.48,31.33,54.70
47999,-31.62,-6.97,-80.76,-17.51,-113.55,-24.11,-83.89,11.13,-44.63,2.11,32.54,53.72
48071,-33.28,-6.54,-82.54,-16.77,-115.42,-23.57,-85.49,11.82,-46.31,3.54,33.53,53.04
48143,-33.62,-5.91,-83.51,-16.82,-117.40,-23.44,-87.07,12.45,-48.14,4.88,34.39,51.88
48215,-33.47,-5.51,-84.52,-16.50,-118.57,-23.10,-88.14,12.52,-49.89,5.85,35.85,50.83
48287,-32.99,-5.69,-84.35,-16.03,-118.72,-22.60,-87.65,12.30,-49.71,6.12,37.34,49.60
48359,-32.43,-5.02,-84.31,-15.61,-118.56,-21.77,-87.32,12.45,-50.15,6.46,38.41,48.31
48431,-31.64,-4.93,-84.48,-15.17,-118.67,-20.97,-87.15,12.53,-50.32,6.51,39.24,47.02
48503,-31.26,-4.65,-84.63,-14.73,-118.64,-20.29,-87.12,12.38,-49.98,6.40,40.20,45.76
48575,-30.70,-4.39,-83.94,-14.25,-117.95,-19.54,-86.37,11.99,-49.24,6.25,41.39,44.65
48647,-31.30,-3.47,-83.06,-13.93,-117.61,-18.92,-85.99,11.87,-48.72,6.28,42.26,43.60
48719,-31.91,-2.68,-82.25,-14.02,-117.42,-18.51,-85.76,11.75,-48.69,6.18,42.54,42.47
48791,-32.50,-2.42,-82.25,-13.93,-117.56,-18.04,-85.65,11.80,-48.39,6.24,43.10,41.27
48863,-32.91,-1.93,-82.45,-13.69,-117.81,-17.58,-85.59,11.94,-47.86,6.30,44.07,40.32
48935,-32.50,-1.35,-82.16,-13.46,-117.55,-17.10,-85.43,11.99,-47.79,6.53,44.79,39.45
49007,-32.42,-0.83,-82.09,-13.31,-117.54,-16.80,-85.33,11.93,-47.73,6.68,45.44,38.36
49079,-31.90,-0.79,-82.17,-12.86,-117.68,-16.07,-85.25,12.34,-47.64,7.08,45.99,37.20
49151,-31.54,-0.71,-82.24,-12.23,-117.87,-15.39,-85.32,12.68,-47.57,7.56,46.89,36.10
49223,-31.31,-0.22,-82.09,-11.67,-117.76,-14.76,-85.13,13.20,-47.20,8.26,47.81,35.00
49295,-30.99,0.04,-81.87,-11.12,-117.47,-14.08,-84.87,13.47,-46.98,8.69,48.66,34.01
49367,-30.07,0.29,-81.92,-10.21,-117.58,-12.97,-84.76,14.06,-46.83,9.21,49.15,32.67
49439,-29.43,0.46,-82.32,-9.28,-117.97,-11.98,-84.85,14.84,-46.66,9.92,49.95,31.51
49511,-28.70,0.73,-82.28,-8.21,-117.82,-10.87,-84.45,15.61,-45.99,10.75,51.25,29.98
49583,-27.86,1.31,-81.61,-6.83,-116.81,-9.39,-83.32,16.49,-44.87,11.79,52.51,28.30
49655,-27.27,1.88,-81.09,-5.48,-116.09,-8.11,-82.31,17.37,-43.84,12.84,53.23,27.07
49727,-26.85,2.00,-80.89,-4.67,-115.86,-7.52,-81.93,18.03,-43.29,13.89,54.22,25.85
49799,-26.60,2.23,-80.84,-3.83,-115.61,-7.08,-81.51,18.31,-42.70,14.41,55.16,24.92
49871,-25.74,2.23,-80.50,-2.89,-114.63,-6.49,-79.65,18.77,-41.12,16.05,56.62,23.80
49943,-20.71,2.18,-78.62,0.52,-102.38,-5.16,-73.60,18.75,-39.80,17.88,57.36,23.00
50015,5.38,-12.49,-64.82,1.27,-81.10,-0.56,-75.10,23.54,-38.41,21.84,57.13,22.52
50087,23.98,-28.13,-53.11,-1.23,-69.57,-0.91,-79.69,24.39,-40.55,23.05,57.81,20.20
50159,20.78,-32.38,-45.28,-3.89,-64.27,-0.35,-85.40,22.11,-40.38,23.58,59.51,17.11
50231,11.24,-30.85,-46.80,-4.90,-64.40,0.07,-94.94,20.43,-42.49,24.82,60.84,16.16
50303,1.93,-24.18,-47.22,-5.39,-62.34,0.41,-100.30,19.79,-44.70,26.35,61.79,14.27
50375,-0.66,-24.22,-46.34,-5.07,-60.87,1.84,-105.44,20.07,-48.93,28.56,61.64,14.17
50447,-4.86,-23.11,-45.01,-5.26,-58.67,3.59,-108.37,21.29,-52.20,30.30,61.53,14.37
50519,-8.23,-22.89,-43.83,-5.62,-58.79,4.46,-110.72,22.64,-53.05,30.83,62.12,14.52
50591,-9.52,-22.20,-42.98,-6.04,-57.60,4.53,-111.71,22.52,-55.03,30.56,62.54,14.85
50663,-11.25,-21.45,-44.25,-5.67,-57.67,5.02,-112.59,22.33,-56.73,30.73,62.70,15.13
50735,-12.85,-21.05,-46.40,-5.47,-60.76,5.52,-112.80,22.18,-57.69,30.74,62.75,15.28
50807,-13.09,-20.38,-46.19,-5.84,-61.05,5.60,-114.08,22.36,-59.19,30.57,63.01,15.55
50879,-13.59,-19.66,-45.33,-6.41,-60.98,5.28,-114.44,22.43,-59.35,30.25,63.23,15.81
50951,-13.71,-18.91,-44.80,-6.84,-61.27,5.16,-114.69,22.53,-59.63,29.92,63.37,16.03
51023,-14.08,-18.27,-44.66,-6.93,-62.53,5.24,-115.60,23.22,-60.58,29.70,63.61,16.27
51095,-15.10,-17.43,-44.37,-7.20,-62.51,5.35,-115.86,24.01,-60.85,29.64,63.98,16.28
51167,-15.38,-16.88,-43.98,-7.45,-62.38,5.14,-116.30,23.94,-61.33,29.22,64.36,16.44
51239,-15.57,-16.01,-43.80,-7.63,-62.31,4.99,-116.45,24.00,-61.99,28.97,64.53,16.64
51311,-16.48,-15.40,-43.59,-7.90,-62.05,4.72,-116.65,24.15,-62.02,28.84,64.74,16.77
