Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-0.43,-38.06,-6.91,-1.69,-8.63,34.02,-14.10,21.24,-8.26,35.22,-16.24,36.83
46703,-0.56,-37.80,-6.94,-1.55,-8.58,33.58,-13.98,21.14,-8.24,35.12,-16.15,36.82
46775,-0.69,-37.52,-6.96,-1.42,-8.51,33.17,-13.87,20.99,-8.24,35.10,-16.03,36.83
46847,-0.84,-37.25,-7.00,-1.27,-8.46,32.79,-13.75,20.81,-8.25,35.03,-15.92,36.83
46919,-0.96,-37.02,-7.03,-1.07,-8.40,32.45,-13.62,20.80,-8.23,35.03,-15.86,36.80
46991,-1.04,-36.73,-7.03,-0.93,-8.32,32.08,-13.47,20.61,-8.23,34.98,-15.81,36.82
47063,-1.18,-36.51,-7.03,-0.80,-8.23,31.72,-13.37,20.58,-8.22,34.89,-15.75,36.82
47135,-1.31,-36.24,-7.06,-0.64,-8.22,31.32,-13.31,20.54,-8.22,34.78,-15.69,36.94
47207,-1.47,-36.18,-6.96,-0.03,-8.12,31.39,-12.95,20.60,-7.51,35.92,-15.45,38.38
47279,-1.99,-36.54,-5.30,0.61,-12.56,32.93,-17.36,31.91,-6.86,45.92,-13.39,46.23
47351,-4.55,-42.05,-12.86,4.97,-25.36,40.09,-27.41,43.17,-17.47,54.66,-9.01,57.08
47423,0.43,-46.89,-15.17,7.74,-32.86,44.02,-35.81,49.23,-26.88,57.63,-8.30,69.05
47495,5.78,-51.13,-21.40,7.73,-45.91,38.44,-49.71,44.94,-39.22,57.05,-10.16,79.29
47567,13.47,-53.64,-33.61,3.32,-62.14,26.18,-61.33,34.32,-47.29,49.36,-11.12,84.37
47639,17.99,-54.41,-42.94,-5.67,-76.10,13.49,-72.11,23.62,-54.22,39.37,-11.97,85.20
47711,22.05,-55.46,-50.25,-13.69,-84.89,4.00,-78.62,16.26,-58.01,32.32,-13.06,84.75
47783,23.68,-56.17,-58.75,-18.69,-95.09,-2.50,-85.17,10.94,-60.99,27.38,-13.00,85.52
47855,26.18,-53.96,-61.03,-22.70,-97.81,-6.92,-87.04,7.06,-61.09,23.71,-12.36,84.95
47927,27.06,-52.45,-63.07,-25.34,-101.81,-10.24,-89.78,4.27,-61.90,21.55,-11.64,85.53
47999,29.40,-50.40,-64.00,-27.10,-102.44,-11.95,-90.68,2.23,-61.73,19.07,-10.85,84.35
48071,31.21,-50.11,-64.03,-28.06,-103.71,-13.38,-91.52,1.32,-61.33,18.07,-9.61,83.39
48143,31.83,-49.61,-64.44,-28.55,-103.93,-14.13,-91.82,1.08,-60.57,18.37,-8.70,82.24
48215,32.64,-50.04,-63.85,-28.33,-103.10,-13.74,-91.50,1.42,-59.81,18.35,-7.13,81.03
48287,32.69,-49.73,-63.88,-28.03,-102.69,-13.54,-90.57,1.69,-58.59,17.87,-5.54,79.24
48359,33.00,-49.62,-63.60,-27.60,-102.17,-13.23,-89.77,1.78,-57.46,17.66,-3.88,77.77
48431,33.21,-49.33,-63.21,-27.07,-101.53,-12.85,-88.71,1.81,-56.19,17.09,-2.01,76.24
48503,33.16,-48.64,-62.70,-26.60,-100.71,-12.74,-87.64,1.96,-54.96,17.10,-0.37,75.10
48575,33.12,-48.19,-62.53,-26.14,-100.26,-12.48,-86.70,1.88,-53.82,16.62,1.00,73.98
48647,33.49,-47.81,-62.20,-25.65,-99.93,-12.22,-86.05,1.98,-53.01,16.48,2.47,72.69
48719,33.38,-47.48,-61.96,-25.16,-99.34,-11.92,-85.13,2.22,-51.81,16.42,4.11,71.58
48791,33.29,-46.99,-61.65,-24.48,-98.94,-11.49,-84.29,2.50,-50.69,16.36,5.65,70.35
48863,33.54,-46.62,-61.16,-24.09,-98.33,-11.34,-83.41,2.57,-49.76,16.15,7.10,69.17
48935,33.60,-46.10,-60.77,-23.94,-97.73,-11.60,-82.41,2.15,-48.76,15.55,8.50,68.18
49007,33.97,-45.65,-60.31,-23.68,-97.28,-11.51,-81.67,2.07,-47.91,15.28,9.67,67.21
49079,34.33,-45.22,-60.10,-23.46,-96.97,-11.41,-81.04,2.15,-47.16,15.09,10.85,66.11
49151,34.57,-44.92,-59.93,-23.23,-96.60,-11.37,-80.33,2.21,-46.21,14.98,12.16,64.99
49223,34.57,-44.43,-59.71,-22.92,-96.20,-11.20,-79.65,2.32,-45.35,14.68,13.26,63.81
49295,34.77,-44.24,-59.56,-22.54,-95.81,-11.00,-78.95,2.40,-44.37,14.37,14.47,62.72
49367,34.88,-43.88,-59.23,-22.27,-95.24,-10.87,-78.19,2.46,-43.39,14.13,15.70,61.66
49439,35.01,-43.49,-59.01,-22.03,-94.78,-10.77,-77.56,2.58,-42.48,13.87,16.81,60.54
49511,35.12,-43.29,-58.87,-21.70,-94.42,-10.57,-76.97,2.67,-41.57,13.70,17.98,59.48
49583,35.07,-43.08,-58.68,-21.28,-93.97,-10.29,-76.26,2.83,-40.64,13.53,19.18,58.44
49655,35.06,-42.79,-58.49,-20.94,-93.57,-10.17,-75.59,2.88,-39.72,13.34,20.29,57.45
49727,35.11,-42.49,-58.29,-20.60,-93.16,-9.93,-74.97,2.96,-38.84,13.16,21.43,56.48
49799,35.06,-42.13,-58.16,-20.34,-92.82,-9.81,-74.39,3.04,-38.02,13.07,22.46,55.56
49871,35.09,-41.80,-57.97,-19.99,-92.39,-9.58,-73.72,3.15,-37.13,12.93,23.55,54.63
49943,35.12,-41.50,-57.69,-19.68,-91.89,-9.47,-72.90,3.08,-36.00,12.59,24.63,53.76
50015,35.26,-41.28,-57.35,-19.41,-91.36,-9.44,-72.17,3.08,-35.11,12.51,25.69,52.94
50087,35.26,-40.98,-57.24,-19.09,-91.04,-9.27,-71.63,3.21,-34.34,12.40,26.58,52.05
50159,35.32,-40.73,-57.11,-18.80,-90.72,-9.08,-71.13,3.32,-33.57,12.27,27.50,51.23
50231,35.39,-40.50,-57.00,-18.59,-90.46,-9.01,-70.65,3.24,-32.87,12.07,28.35,50.50
50303,35.60,-40.22,-56.74,-18.40,-90.07,-8.98,-70.08,3.21,-32.15,11.88,29.20,49.71
50375,35.77,-39.96,-56.59,-18.22,-89.74,-8.96,-69.55,3.15,-31.35,11.71,30.13,48.98
50447,35.86,-39.72,-56.45,-18.07,-89.47,-8.87,-69.08,3.14,-30.66,11.52,30.98,48.19
50519,36.06,-39.45,-56.23,-17.95,-89.10,-8.86,-68.52,3.09,-29.88,11.30,31.88,47.52
50591,36.12,-39.18,-56.09,-17.74,-88.83,-8.76,-68.04,3.09,-29.18,11.13,32.73,46.84
50663,36.25,-38.93,-55.88,-17.52,-88.45,-8.63,-67.53,3.20,-28.48,11.00,33.62,46.07
50735,36.23,-38.62,-55.70,-17.27,-88.07,-8.51,-66.88,3.16,-27.39,10.71,34.39,45.58
50807,36.40,-38.27,-55.46,-17.06,-87.70,-8.38,-66.33,3.14,-26.68,10.57,35.21,44.94
50879,36.42,-37.95,-55.29,-16.89,-87.36,-8.27,-65.88,3.19,-26.05,10.43,35.99,44.25
50951,36.52,-37.77,-55.09,-16.62,-86.93,-7.99,-65.27,3.39,-25.32,10.37,36.94,43.24
51023,36.82,-37.64,-54.22,-16.20,-83.86,-7.06,-60.15,4.11,-23.56,10.69,39.58,40.24
51095,39.64,-40.17,-43.37,-14.49,-61.74,-1.27,-47.91,2.14,-19.95,9.75,43.96,30.83
51167,38.10,-47.72,-27.10,-12.47,-41.32,3.84,-43.28,7.19,-17.10,9.36,48.66,19.19
51239,36.27,-55.09,-15.91,-12.69,-25.01,7.50,-45.08,15.29,-24.93,12.23,52.77,9.50
51311,31.15,-57.47,-14.47,-11.97,-24.17,9.70,-49.00,23.17,-30.38,17.04,55.02,1.22
51383,26.80,-62.35,-16.79,-11.90,-29.19,12.10,-60.38,30.73,-38.09,20.95,57.54,-5.01
51455,16.93,-64.45,-18.78,-11.77,-33.55,14.51,-67.43,37.86,-48.02,27.38,58.10,-8.64
51527,7.79,-65.35,-21.50,-10.73,-39.12,16.41,-75.08,42.18,-55.51,31.29,58.51,-11.74
51599,-3.88,-65.45,-25.69,-9.89,-43.09,18.84,-81.77,45.10,-61.57,33.55,58.94,-12.59
