Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46639,-61.26,63.44,-7.96,1.32,-4.27,14.63,-9.00,36.46,-3.65,37.14,-10.60,46.84
46711,-60.28,61.67,-8.04,1.40,-4.31,14.62,-9.01,36.18,-3.75,37.04,-10.59,46.82
46783,-59.31,59.90,-8.13,1.50,-4.36,14.63,-9.01,35.91,-3.84,36.98,-10.55,46.80
46855,-58.37,58.18,-8.21,1.60,-4.43,14.64,-9.02,35.65,-3.95,36.89,-10.51,46.76
46927,-57.46,56.50,-8.30,1.70,-4.50,14.65,-9.02,35.38,-4.04,36.81,-10.49,46.71
46999,-56.56,54.84,-8.39,1.79,-4.55,14.67,-9.03,35.15,-4.14,36.73,-10.48,46.68
47071,-55.71,53.23,-8.44,1.89,-4.62,14.69,-9.07,35.00,-4.13,36.69,-10.66,46.48
47143,-54.07,51.40,-9.42,2.71,-6.00,15.96,-9.91,35.39,-4.45,38.87,-10.74,47.38
47215,-52.90,48.64,-10.72,2.94,-7.97,18.51,-11.48,39.01,-7.90,44.34,-10.80,51.15
47287,-49.43,45.82,-10.35,5.20,-12.12,21.69,-14.87,43.31,-8.69,46.30,-5.61,52.80
47359,-40.94,38.28,-12.91,1.32,-19.82,20.73,-22.10,44.75,-13.98,45.07,3.01,56.85
47431,-29.18,31.56,-20.07,-2.82,-37.61,17.91,-28.51,41.50,-19.36,42.14,10.45,60.64
47503,-18.95,25.97,-31.89,-2.84,-59.04,11.34,-44.10,35.27,-28.39,36.27,16.32,63.41
47575,-8.21,20.76,-49.07,-3.25,-84.43,4.61,-68.41,29.10,-43.87,31.50,20.50,66.89
47647,2.77,18.03,-70.50,-4.48,-108.93,1.99,-92.25,31.19,-62.88,27.56,24.59,70.08
47719,16.04,14.92,-91.09,-4.13,-127.93,2.18,-109.59,32.52,-77.46,26.31,27.42,72.43
47791,24.65,12.07,-104.32,-3.04,-139.34,2.95,-120.55,33.77,-86.96,25.45,30.13,73.68
47863,30.77,10.85,-112.86,-1.99,-147.46,0.61,-127.90,34.72,-93.71,26.24,32.91,73.91
47935,34.24,9.36,-118.50,-1.34,-150.58,5.12,-131.46,35.18,-96.86,26.72,34.57,73.85
48007,35.34,8.71,-120.82,-1.40,-152.89,1.83,-134.30,35.05,-99.10,27.34,36.61,73.20
48079,31.27,8.55,-121.52,-1.67,-153.38,5.69,-135.04,34.52,-99.51,27.20,38.53,72.12
48151,25.18,9.17,-121.66,-1.57,-153.93,1.85,-135.59,34.17,-100.28,27.48,39.63,70.81
48223,15.67,10.28,-122.34,-0.17,-153.91,0.05,-134.38,34.48,-98.85,27.01,40.95,70.31
48295,9.00,10.58,-123.47,-0.14,-154.94,3.41,-135.38,33.85,-99.44,26.96,42.31,68.99
48367,6.78,9.60,-123.91,0.19,-155.20,7.02,-135.80,31.87,-99.95,26.64,43.83,67.95
48439,5.89,9.21,-124.51,-0.70,-155.51,9.85,-135.73,28.14,-99.63,26.15,45.50,67.07
48511,7.24,9.34,-124.71,-1.37,-155.67,12.72,-135.93,26.14,-99.47,26.18,47.07,66.01
48583,9.08,9.38,-123.96,-1.19,-155.39,16.30,-136.31,24.98,-99.78,26.13,48.22,64.79
48655,10.16,9.22,-124.08,-1.41,-155.44,19.60,-136.38,22.28,-99.94,26.14,49.47,63.56
48727,11.99,8.95,-124.46,-1.59,-155.67,22.77,-136.54,20.11,-99.54,26.26,50.73,62.34
