Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,13.25,-19.73,-16.75,28.77,-12.86,16.24,1.42,44.81,-3.08,29.79,-3.39,37.83
46703,12.88,-19.79,-16.68,28.52,-12.76,16.13,1.20,44.49,-3.17,29.81,-3.49,37.95
46775,12.50,-19.94,-16.57,28.23,-12.66,16.01,0.97,44.20,-3.26,29.83,-3.59,38.04
46847,12.14,-20.08,-16.48,27.93,-12.56,15.89,0.76,43.86,-3.35,29.86,-3.68,38.14
46919,11.78,-20.20,-16.41,27.66,-12.44,15.81,0.54,43.55,-3.45,29.87,-3.79,38.26
46991,11.45,-20.33,-16.36,27.35,-12.34,15.75,0.33,43.24,-3.52,29.90,-3.88,38.40
47063,11.08,-20.86,-17.31,27.80,-13.34,18.45,-0.61,44.45,-4.56,31.71,-6.08,44.30
47135,11.21,-28.62,-16.45,30.57,-17.45,28.84,-4.20,63.53,-20.27,44.14,-6.16,56.81
47207,10.62,-37.81,-10.11,31.64,-23.43,32.10,-15.04,64.77,-22.46,50.89,-5.39,67.44
47279,19.47,-46.56,4.50,33.57,-28.05,36.41,-35.45,71.55,-39.81,58.81,-7.36,82.19
47351,26.18,-54.02,18.24,37.12,-49.35,30.85,-50.29,66.59,-54.21,59.82,-9.20,92.13
47423,31.85,-59.62,20.78,37.85,-62.05,17.54,-60.83,57.24,-63.07,60.34,-12.63,95.85
47495,37.79,-65.29,24.83,34.96,-71.65,6.02,-72.42,48.16,-72.99,57.13,-12.42,95.85
47567,41.56,-67.87,29.78,33.72,-78.49,-2.76,-78.39,43.05,-75.56,55.89,-14.36,96.09
47639,44.13,-71.02,33.08,31.39,-76.93,-4.76,-79.48,40.44,-78.62,52.46,-15.52,94.45
47711,46.76,-72.51,25.52,29.92,-74.48,-7.82,-79.83,37.45,-78.99,50.81,-15.85,91.46
47783,47.37,-74.80,3.25,27.49,-72.69,-8.22,-79.45,36.99,-79.12,51.08,-15.72,90.89
47855,48.30,-74.47,-6.41,26.97,-71.78,-9.02,-79.18,35.82,-78.23,51.16,-14.81,89.70
47927,48.27,-74.02,-9.51,26.73,-70.64,-7.79,-77.90,36.36,-76.77,51.23,-13.75,89.23
47999,48.00,-73.21,-8.75,26.90,-70.35,-7.51,-76.72,37.17,-75.67,51.54,-12.42,88.09
48071,47.77,-72.74,-9.66,26.56,-69.98,-7.54,-75.72,37.15,-74.22,50.84,-11.65,87.09
