Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
43631,-3.52,-18.27,3.73,27.33,7.32,17.98,1.56,9.06,-1.10,28.77,-3.29,35.04
43703,-3.57,-18.54,3.43,26.96,7.01,17.96,1.33,9.31,-1.17,28.75,-3.46,35.18
43775,-3.60,-18.69,3.13,26.61,6.72,17.89,1.12,9.54,-1.23,28.76,-3.61,35.35
43847,-3.67,-18.83,2.83,26.31,6.41,17.92,0.90,9.84,-1.29,28.78,-3.70,35.47
43919,-3.75,-18.98,2.56,26.01,6.16,17.97,0.73,10.08,-1.33,28.77,-3.80,35.59
43991,-3.83,-19.15,2.24,25.65,5.87,17.92,0.51,10.30,-1.39,28.76,-3.96,35.72
44063,-3.84,-19.31,1.96,25.32,5.60,17.91,0.35,10.54,-1.42,28.78,-4.10,35.87
44135,-3.91,-19.38,1.70,25.12,5.33,17.99,0.17,10.81,-1.46,28.76,-4.17,35.96
44207,-3.93,-19.58,1.46,24.84,5.09,17.94,-0.01,10.96,-1.53,28.69,-4.30,36.10
44279,-3.92,-19.91,1.10,24.51,4.31,17.56,-0.55,11.97,-1.02,29.76,-5.15,38.70
44351,-2.35,-23.84,-1.47,26.73,-2.16,23.94,-8.73,25.70,-5.17,45.93,-7.84,54.85
44423,10.25,-18.59,-5.56,42.44,-27.09,42.11,-34.95,44.72,-20.42,64.58,-14.52,73.77
44495,23.46,-7.37,-33.30,50.71,-62.60,45.29,-70.19,53.47,-35.49,79.47,-25.65,89.86
44567,38.84,4.82,-54.67,48.19,-85.44,38.39,-96.29,50.91,-48.27,80.02,-35.76,91.12
44639,46.36,7.40,-71.69,39.14,-101.61,35.07,-113.84,44.46,-59.65,81.48,-47.63,94.17
44711,53.25,12.56,-88.07,29.11,-116.67,31.39,-128.65,48.04,-77.17,78.45,-56.81,93.80
44783,57.64,14.94,-96.29,22.89,-123.69,27.49,-136.29,42.44,-82.61,73.10,-62.77,90.15
44855,60.58,15.64,-109.96,17.65,-134.50,22.30,-147.36,38.16,-91.39,69.91,-69.80,89.52
44927,63.90,18.49,-119.25,13.82,-143.06,19.76,-156.34,36.85,-95.59,66.95,-74.43,88.68
44999,66.31,21.22,-127.13,12.61,-149.87,18.09,-162.86,35.58,-93.99,63.74,-77.24,86.95
45071,68.23,22.21,-128.94,11.05,-150.17,18.08,-164.08,36.48,-94.41,60.84,-77.60,84.07
45143,69.92,20.81,-131.30,12.16,-151.06,19.89,-164.42,37.02,-91.40,60.16,-78.69,83.68
45215,72.19,21.88,-134.13,11.89,-153.42,20.17,-166.38,36.89,-90.75,59.50,-79.20,83.30
45287,72.94,22.14,-135.00,12.14,-155.42,20.81,-169.56,37.82,-89.75,57.90,-78.65,81.99
45359,71.85,22.23,-135.91,12.83,-156.39,21.24,-169.69,38.35,-88.20,58.49,-77.59,83.23
45431,72.64,23.99,-136.32,11.51,-157.01,20.35,-169.20,37.85,-88.24,59.61,-76.85,83.88
45503,73.10,23.70,-135.52,11.66,-157.25,21.37,-169.56,38.85,-87.21,59.37,-75.17,83.23
45575,72.73,22.61,-133.85,11.96,-155.44,22.59,-167.20,39.65,-85.50,59.26,-73.29,82.58
45647,71.74,21.12,-133.36,13.37,-154.58,24.50,-165.30,41.02,-82.96,58.88,-71.43,82.30
45719,70.92,19.83,-132.22,14.05,-153.92,25.47,-164.58,41.86,-81.52,58.64,-68.92,81.34
45791,69.64,17.57,-129.80,16.42,-151.05,28.27,-161.25,43.43,-79.45,60.59,-67.50,81.93
45863,69.14,16.67,-129.43,16.82,-150.40,29.07,-159.14,44.20,-79.35,60.08,-65.08,81.10
45935,68.29,14.69,-127.38,17.58,-149.27,30.42,-158.18,44.95,-78.85,60.60,-64.02,81.22
46007,67.95,13.89,-126.24,17.62,-148.00,31.14,-156.15,45.83,-76.78,59.97,-62.53,80.17
46079,67.06,12.89,-125.32,18.34,-147.12,32.47,-154.51,46.67,-75.50,59.90,-61.18,79.77
46151,66.48,11.38,-123.65,19.19,-146.09,34.24,-152.71,47.88,-73.38,59.73,-59.42,79.40
46223,65.74,10.70,-122.89,19.40,-145.45,34.96,-151.67,48.70,-72.08,59.64,-58.08,78.93
46295,65.14,9.96,-122.55,19.74,-145.14,35.55,-150.98,49.07,-71.65,59.95,-57.36,79.22
46367,64.87,9.41,-121.84,19.66,-144.42,36.05,-149.73,49.33,-70.40,59.63,-55.92,78.95
46439,64.53,8.32,-120.16,20.05,-142.80,36.90,-147.71,49.89,-67.23,60.22,-54.44,79.36
46511,64.16,7.59,-118.50,20.19,-141.10,37.41,-145.60,50.34,-65.57,60.78,-53.14,79.56
46583,63.56,6.99,-118.05,20.71,-140.67,38.15,-144.61,51.11,-64.63,60.76,-52.07,79.53
46655,63.33,6.24,-116.87,20.96,-140.32,38.77,-144.09,51.38,-64.58,60.95,-51.20,79.86
46727,63.06,5.68,-115.70,21.04,-139.44,39.39,-142.74,51.91,-63.55,61.31,-49.90,79.91
46799,62.56,5.02,-114.95,21.60,-138.76,40.29,-141.36,52.65,-61.76,61.10,-48.56,79.55
46871,61.85,4.20,-113.49,21.87,-137.01,40.76,-140.11,53.29,-60.10,61.09,-47.65,79.59
46943,61.44,3.70,-112.71,22.04,-136.05,41.18,-138.57,53.65,-59.17,61.44,-46.74,79.76
47015,61.23,3.04,-112.69,22.19,-136.29,41.59,-138.19,54.21,-58.41,61.06,-45.51,79.35
47087,60.60,1.83,-111.32,23.06,-135.33,43.17,-137.19,55.54,-57.53,61.06,-44.33,79.23
47159,59.99,1.27,-111.26,23.56,-134.80,43.67,-136.74,56.23,-56.82,60.88,-43.29,78.72
47231,59.33,0.50,-110.84,23.93,-134.62,43.84,-136.08,56.65,-55.85,60.79,-42.36,78.67
47303,59.06,0.18,-110.25,23.78,-133.69,44.24,-134.52,56.85,-54.95,61.69,-41.52,79.10
47375,58.96,-0.18,-110.28,24.25,-133.82,44.96,-133.78,57.78,-54.09,61.66,-40.27,78.87
47447,58.42,-0.96,-108.97,24.65,-132.86,45.48,-132.72,57.88,-53.54,61.93,-39.59,79.09
47519,58.22,-1.28,-108.41,24.71,-131.91,45.84,-131.06,58.25,-52.57,62.26,-38.76,79.27
47591,58.20,-1.81,-108.16,25.01,-131.75,46.38,-130.18,58.77,-51.37,61.97,-37.75,78.98
47663,57.75,-2.56,-107.27,25.45,-131.13,47.13,-129.29,59.32,-50.41,61.94,-36.99,78.66
47735,56.89,-2.88,-107.38,25.69,-131.15,47.70,-129.08,60.04,-49.08,61.49,-36.38,78.47
47807,56.57,-3.64,-107.44,25.54,-130.89,48.02,-128.18,60.17,-48.25,61.82,-35.39,78.66
47879,56.32,-4.36,-106.59,25.76,-130.34,48.40,-127.29,60.41,-47.56,62.56,-34.60,79.15
47951,56.28,-4.74,-105.23,25.51,-129.08,48.91,-126.04,60.88,-46.47,62.64,-33.64,78.79
48023,55.60,-5.32,-104.79,26.20,-128.54,49.82,-124.55,61.83,-45.23,63.11,-32.83,78.80
48095,55.11,-6.34,-103.29,26.30,-128.17,50.56,-124.06,62.23,-45.04,63.31,-31.95,78.86
48167,54.65,-6.85,-102.90,26.69,-127.92,51.15,-123.72,62.75,-44.47,63.31,-31.27,78.76
48239,54.23,-7.08,-103.15,27.29,-128.38,51.79,-123.82,63.39,-43.63,63.11,-30.39,78.64
48311,53.57,-7.73,-102.50,27.95,-127.95,52.79,-123.26,64.24,-43.14,63.02,-29.66,78.45
48383,52.80,-8.11,-102.39,28.64,-127.64,53.45,-122.31,64.71,-42.58,63.16,-28.84,78.61
48455,52.56,-9.25,-101.94,28.84,-127.25,54.00,-121.67,65.20,-42.32,63.43,-28.09,78.77
48527,52.15,-9.97,-100.90,28.97,-126.32,54.42,-120.45,65.52,-41.98,63.93,-27.47,79.01
48599,51.91,-10.30,-100.68,29.23,-126.35,54.85,-120.12,66.00,-41.71,63.86,-26.88,78.85
48671,51.31,-10.68,-100.42,29.54,-126.14,55.42,-119.77,66.46,-41.01,63.70,-26.32,79.00
48743,50.96,-11.23,-99.96,29.87,-125.67,55.96,-118.84,67.06,-39.99,63.85,-25.58,79.26
48815,50.21,-11.96,-99.20,30.36,-125.08,56.82,-117.85,67.74,-38.96,63.85,-24.94,79.28
48887,49.74,-12.49,-98.84,30.65,-124.85,57.36,-117.48,68.26,-38.67,63.67,-24.27,79.01
48959,49.50,-13.13,-98.34,30.72,-124.48,57.57,-117.08,68.31,-38.21,63.90,-23.69,78.99
49031,49.15,-13.64,-97.90,30.87,-124.01,57.92,-116.26,68.59,-37.56,64.08,-22.95,78.97
49103,48.92,-14.03,-97.48,31.24,-123.70,58.60,-115.56,69.40,-36.56,63.71,-22.12,78.42
49175,48.22,-14.53,-97.28,31.94,-123.79,59.23,-115.34,69.87,-36.18,63.53,-21.58,78.15
49247,47.37,-14.65,-96.88,32.45,-123.40,60.00,-114.81,70.38,-35.72,63.59,-21.06,78.22
49319,47.22,-14.69,-96.61,32.36,-123.15,60.12,-114.26,70.37,-35.27,63.69,-20.61,78.45
49391,47.27,-14.67,-96.47,32.08,-123.06,60.19,-113.88,70.50,-34.88,63.60,-20.30,78.35
49463,46.97,-14.89,-96.42,32.29,-122.96,60.72,-113.36,70.95,-34.47,63.58,-19.86,78.57
49535,46.91,-15.21,-95.84,32.25,-122.51,60.93,-112.63,71.06,-35.70,64.55,-19.82,78.82
49607,46.75,-15.42,-94.49,32.26,-121.95,61.41,-112.58,71.23,-35.59,65.03,-19.68,79.01
49679,46.39,-15.38,-94.46,32.21,-121.78,61.49,-112.36,71.37,-35.61,64.40,-19.38,79.12
49751,46.34,-15.51,-94.46,32.26,-121.77,61.65,-112.04,71.57,-34.83,64.36,-18.78,78.96
49823,46.09,-15.98,-93.92,32.35,-121.26,61.91,-111.31,71.65,-34.09,64.59,-18.07,78.98
49895,45.79,-16.44,-93.39,32.59,-120.85,62.50,-110.77,72.13,-33.48,64.65,-17.55,78.80
49967,45.32,-16.69,-93.05,32.87,-120.50,63.05,-109.97,72.55,-32.55,64.45,-16.74,78.63
50039,45.22,-17.23,-92.50,33.01,-120.15,63.26,-109.44,72.64,-32.17,64.72,-16.13,78.72
50111,45.09,-17.62,-91.99,33.25,-119.91,63.67,-109.23,72.95,-32.14,64.70,-15.81,78.59
50183,44.65,-17.72,-91.70,33.59,-119.62,64.24,-108.79,73.38,-31.72,64.56,-15.31,78.45
50255,44.41,-18.05,-91.50,33.81,-119.50,64.61,-108.48,73.79,-30.86,64.74,-14.65,78.45
50327,44.04,-18.41,-90.98,34.22,-119.09,65.22,-107.97,74.23,-30.47,64.83,-14.30,78.48
50399,43.82,-18.49,-90.61,34.32,-118.82,65.68,-107.52,74.77,-29.74,64.64,-13.83,78.19
50471,43.62,-18.81,-90.37,34.55,-118.63,65.98,-107.08,74.97,-29.14,64.75,-13.34,78.23
50543,43.53,-19.51,-89.57,34.59,-117.66,66.01,-105.99,74.94,-28.45,64.75,-12.75,78.08
50615,43.37,-19.99,-89.18,34.79,-117.62,66.32,-105.86,75.28,-28.07,64.69,-12.42,77.89
