Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,-6.67,-22.35,-10.29,-22.48,-6.12,22.62,-5.48,26.02,-11.48,16.93,-5.72,30.08
46703,-6.61,-22.50,-10.24,-21.93,-6.09,22.48,-5.51,25.88,-11.34,17.13,-5.89,30.20
46775,-6.56,-22.63,-10.20,-21.48,-6.06,22.32,-5.52,25.75,-11.20,17.34,-6.01,30.32
46847,-6.53,-22.79,-10.14,-20.97,-6.03,22.17,-5.54,25.63,-11.12,17.48,-6.16,30.44
46919,-6.48,-22.91,-10.10,-20.49,-5.99,22.04,-5.54,25.45,-11.00,17.68,-6.29,30.59
46991,-6.43,-22.96,-10.08,-20.02,-5.95,21.88,-5.55,25.33,-10.74,18.06,-6.62,30.53
47063,-6.18,-23.79,-11.38,-18.09,-8.19,24.36,-7.58,28.11,-9.25,23.28,-4.33,34.76
47135,-4.17,-29.58,-14.40,-15.98,-11.79,31.04,-13.51,38.69,-13.31,31.30,-2.22,40.06
47207,-7.30,-38.29,-19.32,-12.09,-21.97,38.40,-21.24,50.63,-17.45,43.69,-0.07,52.55
47279,-6.80,-45.12,-26.19,-7.92,-38.40,38.01,-30.08,52.08,-28.02,48.16,-0.27,62.69
47351,-5.76,-44.89,-26.72,-7.08,-49.76,31.85,-40.64,48.64,-37.19,46.40,-2.81,69.75
47423,-2.80,-45.77,-36.52,-12.02,-66.48,19.93,-53.29,40.13,-45.27,41.60,-4.49,74.01
47495,0.24,-45.82,-43.55,-20.96,-77.06,8.17,-62.78,32.50,-55.54,34.18,-6.13,75.23
47567,3.97,-46.90,-47.32,-29.01,-81.35,-0.90,-67.85,25.94,-58.91,29.09,-6.60,76.15
47639,8.27,-46.51,-49.14,-33.80,-86.86,-6.83,-72.54,21.12,-60.38,24.66,-6.86,77.95
47711,12.12,-44.97,-53.29,-37.71,-92.21,-11.20,-77.75,17.63,-65.38,21.45,-6.47,77.48
47783,16.20,-44.89,-54.12,-40.29,-94.65,-13.82,-81.46,15.11,-69.20,19.09,-6.14,77.55
47855,18.43,-44.16,-58.55,-41.76,-98.86,-15.18,-85.27,13.55,-71.94,17.42,-5.50,76.96
47927,20.00,-44.11,-63.82,-43.22,-103.05,-17.28,-88.07,11.92,-73.82,15.35,-4.58,76.27
47999,21.77,-43.50,-66.01,-43.36,-104.79,-17.50,-89.98,11.37,-74.43,13.99,-3.16,75.87
48071,22.03,-42.38,-66.32,-43.29,-104.62,-17.91,-89.85,10.71,-73.78,13.33,-1.97,74.91
48143,22.11,-42.08,-66.73,-42.75,-104.90,-17.86,-90.20,10.51,-73.10,12.95,-0.55,74.11
