Timestamp,Thumb_angleX,Thumb_angleY,Index_angleX,Index_angleY,Middle_angleX,Middle_angleY,Ring_angleX,Ring_angleY,Pinky_angleX,Pinky_angleY,Wrist_angleX,Wrist_angleY
46631,23.78,-33.03,4.38,28.61,16.42,51.31,9.95,-3.14,-6.07,58.31,21.84,37.07
46703,23.11,-32.85,4.19,28.28,15.99,50.64,9.60,-2.75,-6.10,57.72,21.08,37.03
46775,22.61,-32.90,3.95,27.79,15.52,49.73,9.21,-2.45,-6.11,56.90,20.31,36.99
46847,22.04,-32.84,3.79,27.41,15.14,48.89,8.83,-2.09,-6.17,56.35,19.61,36.98
46919,21.44,-32.75,3.63,27.20,14.78,48.22,8.53,-1.75,-6.18,55.83,19.02,36.95
46991,20.83,-32.69,3.42,26.88,14.38,47.61,8.23,-1.37,-6.18,55.45,18.54,37.00
47063,20.09,-32.43,3.05,27.06,13.98,48.23,8.03,-0.02,-6.10,55.67,19.46,37.30
47135,20.17,-32.18,4.04,27.64,12.55,49.70,4.73,7.88,-10.66,64.93,19.66,44.14
47207,20.03,-38.98,10.20,27.61,17.87,52.51,-3.51,16.72,-12.19,67.71,28.83,48.82
47279,18.27,-52.79,19.47,24.34,23.62,54.14,-15.28,16.39,-19.65,66.52,38.10,53.34
47351,18.17,-59.01,31.46,18.61,33.77,52.32,-27.31,12.95,-30.13,58.23,46.99,57.27
47423,19.45,-59.53,45.13,15.08,43.53,50.38,-40.17,10.60,-37.58,52.30,53.66,60.60
47495,22.61,-58.68,59.03,10.12,55.07,48.05,-44.24,6.45,-45.87,46.53,58.70,62.88
47567,20.17,-55.01,71.59,8.05,63.46,45.89,-44.91,2.93,-43.96,41.33,61.74,62.46
47639,14.92,-52.39,80.81,5.09,69.73,43.42,-46.19,-0.04,-44.05,37.71,63.85,63.62
47711,12.48,-45.89,88.72,3.85,75.86,40.51,-46.79,-1.31,-42.42,36.00,65.78,63.08
47783,9.41,-43.29,94.39,3.58,79.69,41.18,-47.82,-2.65,-42.60,34.49,67.00,63.03
47855,9.28,-40.17,96.63,4.20,80.44,42.73,-47.76,-5.26,-43.08,31.96,66.98,62.32
47927,9.24,-38.61,96.13,4.11,80.20,42.08,-50.02,-6.38,-44.48,31.80,67.29,61.66
47999,9.32,-37.61,94.95,4.22,79.74,41.33,-51.41,-6.37,-44.36,31.31,67.74,60.59
48071,13.42,-38.14,93.68,3.44,79.33,40.68,-53.08,-6.31,-45.63,31.16,68.40,59.52
48143,15.43,-37.99,93.38,3.42,79.33,39.70,-54.26,-6.47,-46.66,31.87,69.17,58.56
48215,15.23,-38.53,92.97,2.41,80.15,38.39,-55.04,-6.09,-46.46,31.82,69.88,57.35
48287,13.83,-38.22,93.43,1.85,82.16,37.51,-56.24,-6.80,-45.71,31.96,70.51,55.81
48359,13.12,-39.05,93.44,0.81,86.72,36.72,-56.14,-6.82,-44.81,31.27,70.86,54.79
48431,13.19,-38.54,93.06,0.74,86.28,35.97,-56.39,-6.35,-43.84,31.27,71.30,53.43
48503,14.00,-38.72,93.14,0.53,86.76,35.58,-56.46,-6.47,-43.19,30.91,71.62,52.46
48575,14.56,-38.75,92.68,-0.23,87.06,34.61,-56.11,-5.88,-41.99,30.47,72.15,51.74
48647,15.58,-38.47,92.67,-0.49,87.17,33.93,-56.13,-4.96,-41.42,30.22,72.59,50.81
48719,16.14,-38.59,92.12,-0.83,87.29,32.82,-55.32,-5.00,-40.27,29.70,72.67,50.08
48791,17.19,-38.71,91.67,-0.84,87.05,32.21,-55.57,-4.74,-40.19,29.26,72.78,49.20
48863,17.27,-38.30,90.93,-1.03,86.60,31.31,-55.99,-4.59,-40.08,29.03,72.96,48.32
48935,17.88,-38.30,90.30,-1.30,86.38,30.77,-55.81,-4.35,-39.65,28.48,73.29,47.68
49007,18.40,-37.49,90.04,-1.28,85.81,30.27,-55.63,-4.14,-38.94,28.16,73.67,46.86
49079,18.89,-37.04,89.67,-1.51,85.43,29.61,-55.80,-3.80,-38.60,27.86,74.07,46.36
49151,19.08,-36.09,89.67,-1.67,85.00,28.93,-55.56,-3.82,-37.81,27.34,74.44,45.63
49223,19.57,-35.60,89.61,-1.85,85.08,28.25,-55.70,-3.91,-37.45,26.84,74.65,44.87
49295,20.06,-35.19,89.61,-2.50,85.15,27.37,-56.14,-3.69,-37.29,26.70,75.05,44.24
49367,20.33,-34.63,89.89,-2.62,85.54,26.92,-56.43,-3.37,-36.94,26.98,75.39,43.49
49439,20.58,-34.62,89.68,-3.04,85.72,26.39,-56.59,-3.05,-36.80,26.87,75.59,42.99
49511,21.22,-34.33,89.64,-2.91,85.62,26.14,-56.80,-2.76,-36.75,26.62,75.57,42.27
49583,21.58,-34.20,89.01,-3.04,85.31,25.58,-57.00,-2.42,-36.59,26.31,75.55,41.34
49655,22.01,-34.38,88.66,-3.24,85.15,25.17,-57.19,-1.97,-36.39,26.30,75.89,40.49
49727,21.66,-34.30,88.24,-3.64,85.14,24.72,-57.38,-1.35,-36.13,26.31,76.16,39.89
49799,22.17,-34.14,87.93,-3.69,85.01,24.55,-57.53,-0.80,-35.85,26.25,76.39,39.40
49871,22.49,-33.93,87.63,-3.88,84.94,24.05,-57.60,-0.64,-35.56,25.96,76.57,38.80
49943,22.80,-33.41,87.40,-3.94,84.87,23.66,-57.75,-0.51,-35.31,25.81,76.92,38.20
50015,23.02,-33.11,87.27,-4.05,84.86,23.36,-57.90,-0.41,-35.20,25.57,77.09,37.55
50087,23.12,-32.94,87.02,-4.19,84.73,23.03,-57.90,-0.25,-34.91,25.25,77.29,37.04
50159,23.39,-32.45,86.87,-4.22,84.56,22.58,-58.34,-0.68,-34.90,25.12,77.46,36.50
50231,22.54,-32.09,86.38,-4.41,84.35,22.18,-58.59,-0.57,-35.15,24.90,77.59,35.97
50303,21.92,-31.84,85.85,-4.61,84.00,21.69,-59.63,-1.41,-35.32,24.80,77.84,35.51
50375,21.54,-31.12,85.72,-4.46,83.78,21.61,-59.56,-1.55,-35.31,24.31,78.05,35.14
50447,20.77,-30.62,85.50,-4.55,83.60,21.29,-60.03,-2.02,-35.48,23.96,78.26,34.66
50519,19.97,-29.98,85.06,-4.52,83.23,20.99,-60.49,-2.04,-35.38,23.81,78.54,34.24
50591,20.36,-29.65,84.88,-4.63,82.87,20.62,-61.03,-1.91,-35.46,23.89,78.74,33.66
50663,20.07,-29.35,84.68,-4.70,82.69,20.30,-61.22,-1.72,-35.32,23.73,79.01,33.28
